Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 1
54, 1910923, 263157, 11296, 337316, 339948, 199258, 27786, 34253, 70, 83 
29, 326327, 106231, 13441, 20243, 12169, 27821, 6449, 6701, 70, 83 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 2
25, 711725, 107234, 10538, 84969, 21340, 33960, 6829, 8834, 83, 77 
0, 420043, 109508, 30918, 228489, 170289, 172950, 25112, 48600, 100, 83 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 3
25, 1490732, 176251, 36101, 77199, 119094, 107536, 14971, 18697, 100, 83 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 4
0, 257915, 64055, 67984, 199367, 57634, 70306, 19452, 29668, 100, 93 
26, 199241, 7330, 1625, 8859, 1068, 892, 670, 695, 100, 93 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 5
54, 624349, 321270, 19754, 91023, 112592, 35170, 20010, 18098, 100, 93 
54, 812955, 53273, 6240, 34073, 32679, 11451, 3804, 2252, 100, 93 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 6
54, 801572, 484228, 175307, 61382, 125158, 59887, 24269, 40024, 100, 93 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 7
25, 799278, 47111, 12138, 2424, 22381, 10152, 2008, 2728, 100, 93 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 8
25, 700895, 296912, 22602, 66890, 32996, 37601, 22787, 26597, 84, 90 
25, 1236932, 501255, 92589, 143843, 114572, 59487, 8804, 12908, 84, 90 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 9
26, 234908, 263235, 7974, 34618, 91673, 40688, 7864, 9803, 87, 97 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 10
25, 893030, 315664, 178204, 98536, 260522, 121174, 14484, 43350, 87, 97 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 11
54, 66851, 123433, 6423, 35520, 80882, 46852, 11470, 18339, 74, 91 
54, 2041003, 342050, 81479, 96788, 74625, 21983, 8399, 10662, 74, 91 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 12
25, 623793, 85426, 100347, 87470, 28324, 15543, 6497, 5508, 74, 91 
25, 163500, 32369, 12837, 2576, 2391, 2112, 651, 780, 74, 91 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 13
25, 970673, 56453, 134119, 25303, 157035, 59525, 18831, 26183, 74, 91 
25, 1330314, 115107, 87260, 132581, 128834, 42715, 7803, 15362, 74, 91 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 14
25, 596798, 165176, 47557, 30414, 62267, 37419, 8837, 14110, 74, 91 
25, 489123, 80340, 2217, 7970, 12490, 7248, 1517, 2860, 74, 91 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 15
54, 959305, 344841, 72982, 133216, 126415, 150047, 64613, 63301, 74, 91 
80, 1299105, 51455, 16657, 10447, 36961, 11864, 3406, 2157, 74, 91 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 16
0, 51728, 19245, 6948, 3282, 23768, 4734, 1351, 1869, 70, 74 
25, 1164046, 12874, 25139, 6273, 10589, 3563, 1658, 2219, 70, 74 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 17
0, 1189162, 416920, 22973, 69322, 293440, 128357, 14238, 78018, 75, 70 
25, 656191, 31361, 1256, 9619, 6754, 2925, 1715, 1970, 75, 70 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 18
54, 226798, 112962, 18777, 21478, 13553, 8701, 867, 1706, 75, 70 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 19
25, 1991288, 189012, 21987, 56908, 91812, 98524, 11898, 34873, 75, 70 
0, 729560, 212756, 52091, 25579, 69033, 70199, 5468, 37714, 78, 70 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 20
26, 690096, 263891, 28688, 34092, 14280, 18402, 8819, 5531, 78, 64 
25, 145337, 69599, 18847, 32291, 42812, 68422, 7661, 17193, 78, 64 
