Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 1
55, 1413326, 279002, 225567, 230254, 250244, 166239, 14109, 130290, 0, 0 
26, 772083, 153105, 63066, 78366, 50828, 65277, 48398, 104202, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 2
26, 109121, 18956, 46112, 40813, 30136, 31618, 20476, 17885, 0, 0 
55, 2387699, 199269, 221036, 58047, 37509, 43303, 30205, 43489, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 3
51, 507705, 497376, 153228, 110246, 225936, 204571, 78036, 277202, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 4
26, 976607, 222455, 336162, 25934, 162614, 57015, 52895, 39367, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 5
26, 956914, 282361, 141443, 146593, 61227, 45648, 72599, 52710, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 6
26, 1686947, 573861, 419775, 1682014, 370777, 429323, 156570, 214724, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 7
55, 682776, 542799, 113393, 89171, 65594, 26306, 28120, 10835, 0, 0 
80, 660661, 197489, 112851, 248192, 154175, 304505, 111044, 516485, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 8
26, 1585190, 424585, 162979, 205064, 65644, 107196, 36451, 134173, 0, 0 
51, 899495, 337106, 315239, 492325, 107168, 64256, 175294, 484670, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 9
26, 918826, 87562, 32456, 20519, 11688, 20550, 27859, 49617, 0, 0 
26, 117543, 93398, 30489, 23541, 49961, 27317, 23497, 94680, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 10
26, 1030474, 186837, 334095, 88238, 46622, 108978, 119595, 134280, 0, 0 
55, 1116079, 358590, 173809, 140957, 193693, 111205, 91118, 330797, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 11
26, 1205859, 375376, 190879, 249193, 63022, 155860, 107180, 218448, 0, 0 
26, 136912, 121247, 63835, 101960, 156471, 31535, 30561, 53774, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 12
26, 151574, 58863, 39672, 30417, 73120, 39929, 34749, 21406, 0, 0 
26, 1546937, 156867, 333939, 509664, 183100, 237988, 85249, 457415, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 13
55, 168543, 47970, 100934, 53392, 32071, 37402, 29363, 44379, 0, 0 
55, 554582, 105741, 104836, 82418, 40073, 42858, 22511, 84057, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 14
26, 643603, 634175, 94011, 220480, 247602, 272413, 249175, 185796, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 15
26, 83967, 16495, 56672, 64502, 127073, 32098, 43962, 74355, 0, 0 
26, 110764, 65459, 38543, 57817, 12564, 38249, 27940, 34651, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 16
26, 662039, 25554, 20600, 74947, 42718, 13419, 17492, 27547, 0, 0 
80, 111106, 168831, 2752, 89073, 49627, 33578, 13687, 180527, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 17
55, 371177, 411274, 330066, 251558, 108160, 200627, 120025, 159720, 0, 0 
51, 667351, 116600, 32666, 30881, 31901, 33649, 26227, 51921, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 18
26, 637471, 314452, 198277, 254942, 85557, 116962, 167781, 155522, 0, 0 
26, 178519, 487633, 197939, 239508, 193797, 125920, 134722, 122603, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 19
26, 468281, 397240, 80421, 189056, 300343, 270447, 32638, 190729, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 20
55, 938774, 115694, 233209, 112984, 106337, 345492, 48283, 191031, 0, 0 
80, 679367, 1272873, 129279, 134092, 215295, 70095, 96143, 271372, 0, 0 
