Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 1
51, 45563, 60445, 128163, 50229, 45422, 52957, 19487, 55977, 0, 0 
80, 1488789, 292649, 223289, 158522, 124101, 155869, 57666, 316478, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 2
80, 655351, 434836, 76050, 93017, 214518, 344807, 197860, 287944, 0, 0 
80, 1735817, 1569614, 1123117, 2144722, 988852, 561262, 373737, 1706103, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 3
51, 374199, 764811, 515227, 306347, 174405, 263033, 87014, 137331, 0, 0 
51, 936415, 233151, 21239, 283429, 42698, 337156, 74483, 528331, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 4
51, 363127, 735477, 152501, 213216, 116737, 269172, 205817, 254374, 0, 0 
51, 1078863, 79604, 424664, 183678, 247360, 123821, 324033, 216191, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 5
51, 369218, 574209, 79309, 181631, 213990, 233674, 71240, 166540, 0, 0 
51, 559571, 228159, 451660, 169455, 486075, 117410, 90038, 170691, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 6
80, 869562, 433201, 322439, 111126, 198732, 79495, 85045, 343725, 0, 0 
80, 193287, 69826, 119550, 20926, 57384, 20737, 33415, 49197, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 7
51, 513838, 205182, 328408, 498763, 297638, 162398, 204487, 526734, 0, 0 
51, 155895, 817940, 94372, 152404, 89158, 198758, 133059, 246573, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 8
80, 1608413, 420917, 154744, 162415, 241583, 122021, 155698, 288103, 0, 0 
51, 571374, 520047, 247991, 127665, 152186, 130037, 96121, 155425, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 9
80, 682789, 150026, 465139, 158271, 157755, 81949, 77771, 391605, 0, 0 
51, 681697, 919606, 442483, 95721, 86637, 161870, 95803, 274079, 0, 0                                      
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 12
51, 291398, 472368, 30318, 129594, 129864, 84490, 172170, 711341, 0, 0 
51, 829951, 549394, 441714, 82612, 83122, 178927, 139897, 164415, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 13
51, 402877, 166249, 587893, 182307, 283347, 140972, 143527, 330928, 0, 0 
80, 1041940, 284468, 145870, 47411, 102855, 173853, 85730, 327810, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 15
51, 748312, 612149, 35648, 282599, 114500, 186407, 90965, 820788, 0, 0 
51, 866808, 321000, 145250, 454952, 153008, 174747, 86634, 537339, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 17
51, 952309, 255422, 117280, 158598, 108522, 182681, 97000, 532188, 0, 0 
51, 619953, 1265795, 340530, 177688, 280116, 119591, 64741, 540315, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 18
80, 375855, 577581, 372217, 166170, 73101, 170751, 92536, 894693, 0, 0 
80, 845449, 457775, 9143, 430955, 127419, 206273, 60262, 697068, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 19
51, 1159746, 212192, 332531, 42184, 57461, 173987, 144415, 909766, 0, 0 
51, 895444, 520648, 228522, 99729, 264645, 202360, 63139, 514272, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 21
51, 439580, 731311, 252776, 362036, 135435, 159291, 76826, 145158, 0, 0 
80, 417424, 1266399, 537523, 122125, 217235, 191498, 125652, 551729, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 1
55, 242460, 220826, 24650, 23633, 8562, 14970, 9233, 31853, 0, 0 
26, 1422279, 56540, 39360, 28756, 7104, 12942, 5266, 28422, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 2
26, 728707, 346124, 130628, 304508, 185856, 204400, 24045, 49537, 0, 0 
55, 557102, 54038, 38313, 24803, 13389, 26545, 6514, 12866, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 3
26, 2304464, 345042, 29597, 23288, 105984, 91061, 50185, 71047, 0, 0 
55, 621311, 65902, 34877, 18241, 24065, 21978, 9384, 9650, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 5
26, 646573, 74341, 41870, 31056, 9880, 15979, 5862, 12482, 0, 0 
26, 113280, 253448, 15057, 18274, 13626, 56540, 21441, 12859, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 6
26, 47058, 16233, 5160, 5563, 4335, 6339, 3887, 3821, 0, 0 
26, 1106664, 322942, 160965, 175065, 100176, 133593, 46026, 194476, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 7
26, 167008, 66700, 5076, 45724, 17039, 22298, 7645, 24163, 0, 0 
55, 584267, 91578, 30934, 20533, 9648, 47060, 19896, 42410, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 8
55, 1401967, 376330, 121117, 43934, 105572, 72052, 49279, 56195, 0, 0 
55, 302111, 31577, 37108, 13937, 61184, 28042, 20388, 23314, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 9
55, 261108, 167574, 23004, 36223, 22720, 62023, 15049, 29139, 0, 0 
55, 1975018, 56614, 95706, 152447, 43759, 98512, 19693, 35068, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 11
55, 1356515, 51996, 24478, 35332, 20633, 31925, 12781, 24664, 0, 0 
55, 950910, 117382, 11468, 20999, 5117, 12293, 2370, 7297, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 15
55, 613467, 971125, 129642, 217801, 76663, 100966, 108677, 167457, 0, 0 
26, 2295934, 721251, 343104, 107405, 61674, 145176, 37408, 79771, 0, 0  
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 18
26, 68223, 16378, 1882, 3165, 3308, 22501, 2712, 14283, 0, 0 
26, 77713, 29590, 5785, 12004, 4493, 15637, 2653, 9915, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 19
55, 761567, 143884, 2782, 21914, 9952, 53110, 5538, 35322, 0, 0 
26, 349129, 231812, 5118, 30512, 11306, 18657, 9882, 18947, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 20
26, 615210, 72461, 11831, 42316, 28293, 20445, 12296, 13640, 0, 0 
55, 823536, 210041, 18184, 56787, 4243, 16815, 18896, 17971, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 24
26, 1071429, 769973, 121900, 196424, 95576, 170530, 66468, 158288, 0, 0 
55, 1850500, 284743, 293817, 66749, 30576, 103459, 43361, 71857, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 25
26, 633282, 108625, 4684, 15233, 8139, 15302, 13542, 11553, 0, 0 
55, 1087977, 60005, 55757, 28154, 6966, 30602, 7115, 16095, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 27
26, 195996, 245830, 13660, 98959, 40397, 51188, 21003, 22562, 0, 0 
26, 1149163, 264907, 36275, 64641, 58860, 40979, 16586, 21902, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 28
26, 441439, 40337, 20888, 8546, 25584, 22101, 4774, 23179, 0, 0 
26, 1062907, 76469, 22472, 14768, 11015, 27707, 3609, 11345, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 29
26, 530627, 109671, 69438, 18942, 5855, 18895, 6680, 17148, 0, 0 
26, 965828, 89665, 15957, 34409, 5990, 27859, 9690, 36349, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 32
55, 421096, 239669, 50530, 27095, 20277, 37619, 17020, 41076, 0, 0 
26, 1060442, 18184, 16099, 22179, 5599, 19344, 4174, 15522, 0, 0  
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 34
26, 844468, 52224, 112930, 20482, 46038, 18468, 15204, 18926, 0, 0 
55, 848557, 98581, 23341, 20934, 19825, 23187, 8076, 3639, 0, 0   
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 36
26, 294865, 81487, 10321, 23546, 10255, 12197, 7939, 10139, 0, 0 
55, 1403517, 54187, 3598, 9144, 7928, 20703, 6577, 21298, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 37
55, 2000224, 599653, 27310, 356080, 147132, 52539, 27357, 30941, 0, 0 
55, 232137, 86645, 70197, 26247, 6301, 29472, 9731, 19120, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 38
26, 730279, 103948, 44395, 13143, 14377, 31316, 6109, 22782, 0, 0 
26, 464412, 208940, 35659, 40743, 26525, 27848, 10575, 39267, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 39
55, 833440, 286260, 52353, 37614, 21021, 28835, 22732, 34669, 0, 0 
55, 630390, 138286, 54321, 23933, 23966, 33545, 14267, 38497, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 40
26, 1131535, 159968, 13432, 24164, 5611, 13253, 5251, 19703, 0, 0 
26, 2415806, 265143, 138349, 125996, 25632, 49016, 16330, 34418, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 41
26, 1429390, 284445, 404129, 174085, 74246, 121976, 60414, 93699, 0, 0 
26, 105272, 51508, 10873, 5322, 3826, 10999, 3589, 7209, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 42
26, 1900100, 571717, 138031, 105699, 22112, 77735, 17265, 26875, 0, 0 
