Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 2
26, 217796, 543846, 230187, 99266, 63277, 100313, 120471, 218202, 0, 0 
55, 679986, 174763, 107258, 60964, 27176, 136848, 126194, 123272, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 3
26, 279446, 178976, 52534, 255592, 132042, 68481, 101281, 529862, 0, 0 
26, 578048, 2163904, 2052642, 276937, 240682, 832332, 366704, 543792, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 4
26, 1445585, 271624, 117371, 48153, 112037, 126513, 143885, 456378, 0, 0 
55, 1287881, 365916, 121390, 144823, 116320, 224091, 105782, 174700, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 5
26, 492770, 861469, 166816, 104075, 124614, 103779, 123974, 136870, 0, 0 
26, 768605, 318150, 95881, 205484, 53803, 61054, 214084, 111004, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 8
80, 97001, 687160, 179120, 191848, 317194, 158422, 99712, 122115, 0, 0 
80, 419399, 986765, 246258, 54661, 200137, 233692, 78773, 322922, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 10
51, 724353, 1390400, 149138, 144004, 87472, 100929, 91073, 369136, 0, 0 
51, 924486, 664115, 125719, 168148, 333494, 301266, 104017, 226183, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 11
80, 1170536, 254115, 858299, 130787, 95314, 51748, 101758, 484877, 0, 0 
80, 481899, 288714, 100631, 368076, 107478, 119850, 118386, 516348, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 12
51, 1726730, 116106, 171374, 36696, 151675, 141450, 93547, 326828, 0, 0 
51, 548903, 383266, 328647, 130241, 134058, 162027, 93962, 354175, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 13
80, 207384, 283077, 368901, 209135, 244356, 261151, 125999, 329797, 0, 0 
80, 1464004, 312709, 212550, 287098, 266617, 235279, 133263, 210375, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 15
51, 427911, 1120587, 330485, 163505, 26508, 112897, 129289, 410573, 0, 0 
51, 764329, 670754, 128214, 57926, 289075, 137932, 97160, 144023, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 17
51, 320866, 227001, 430040, 183261, 225243, 174297, 104126, 96858, 0, 0 
80, 246377, 408393, 169113, 102173, 385063, 234043, 132778, 166262, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 18
51, 545539, 163108, 205128, 205040, 178596, 198922, 99802, 136632, 0, 0 
51, 700327, 261566, 249705, 124018, 271645, 342874, 78986, 132740, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 19
80, 1046739, 371642, 356490, 93590, 184271, 109679, 203576, 291795, 0, 0 
51, 770183, 234805, 422784, 152062, 212496, 181610, 120476, 311521, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 20
55, 558757, 159479, 293236, 185752, 240420, 154996, 115073, 82348, 0, 0 
26, 1480553, 196229, 192084, 80062, 123717, 164870, 65834, 59058, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 55
80, 1581841, 609073, 433575, 94398, 81313, 122205, 74913, 100953, 0, 0 
26, 369347, 475332, 62688, 177819, 170877, 82043, 69346, 225120, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 59
55, 243949, 80166, 181082, 80814, 95298, 45722, 29198, 29172, 0, 0 
26, 740959, 416319, 166164, 149481, 59615, 119867, 81875, 157441, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 60
55, 9287, 43196, 8081, 14826, 5184, 7011, 16500, 5778, 0, 0 
26, 58471, 13514, 14096, 26136, 2140, 13132, 7575, 5377, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 61
55, 1531513, 622809, 27444, 508733, 235988, 234263, 139254, 106231, 0, 0 
26, 981134, 207236, 49021, 94566, 33791, 25862, 14236, 16579, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 62
26, 1848551, 492079, 53502, 518716, 194882, 243315, 238255, 160755, 0, 0 
26, 1577000, 1637289, 535770, 198931, 435174, 616628, 543272, 116191, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 63
26, 583475, 318070, 12569, 119333, 197401, 94129, 47162, 165442, 0, 0 
26, 1434922, 719460, 137998, 326586, 261140, 542960, 214267, 357317, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 64
51, 1885535, 505104, 229454, 221370, 80390, 108531, 81143, 335238, 0, 0 
51, 168735, 1091215, 142098, 175451, 295173, 205956, 137812, 163890, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 65
