Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 1
51, 705447, 146554, 346255, 388012, 150890, 80151, 37665, 244950, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 2
51, 490798, 615707, 194501, 266596, 44139, 95055, 86440, 434509, 0, 0 
51, 348323, 159441, 96763, 161061, 61501, 245681, 118913, 376372, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 3
80, 213187, 173683, 86944, 159604, 83297, 190125, 139583, 312777, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 4
51, 224877, 294387, 281783, 104631, 308995, 127319, 72559, 553604, 0, 0 
51, 1168673, 146980, 259694, 218050, 156381, 141382, 69924, 245778, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 5
51, 221149, 370015, 315839, 134303, 100624, 172068, 133365, 847573, 0, 0 
80, 473111, 418926, 160689, 282888, 195828, 148755, 149623, 230698, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 6
80, 639243, 961012, 132080, 150380, 296505, 144062, 140007, 164849, 0, 0 
51, 835665, 315117, 165987, 52102, 136575, 115118, 212998, 190481, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 7
51, 696797, 553470, 123103, 196251, 215011, 132410, 39018, 134906, 0, 0 
51, 984782, 439560, 96872, 204669, 173887, 207035, 140105, 296478, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 8
51, 685761, 242825, 29354, 237012, 103644, 131749, 122454, 335953, 0, 0 
51, 572566, 795840, 215576, 112676, 150833, 185162, 157271, 528520, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 9
80, 333047, 314017, 173023, 132185, 94044, 148858, 212349, 344827, 0, 0 
51, 386144, 701579, 282070, 29620, 78620, 138169, 61566, 311852, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 10
51, 100355, 1135587, 106284, 124254, 89140, 124306, 67238, 217515, 0, 0 
51, 818211, 118532, 212531, 92250, 290418, 173740, 62159, 515282, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 11
51, 579729, 506061, 110913, 130734, 161984, 97711, 68277, 500402, 0, 0 
51, 902229, 548776, 125875, 198743, 94316, 78704, 26300, 506019, 0, 0 
51, 1234759, 176010, 97748, 53996, 100414, 82484, 129383, 538711, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 12
80, 969042, 293702, 146806, 85957, 267264, 166407, 54530, 348192, 0, 0 
80, 628066, 775918, 92139, 192691, 79391, 82175, 103435, 747487, 0, 0 
80, 1316192, 561205, 67927, 95913, 222246, 109209, 127441, 622209, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 13
51, 497850, 549981, 256405, 165154, 318790, 53438, 117088, 304918, 0, 0 
51, 929777, 387378, 108293, 160520, 391275, 112420, 41460, 166734, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 14
80, 217912, 586100, 152359, 205848, 121718, 144536, 55456, 117776, 0, 0 
51, 1784966, 1247509, 1475509, 721086, 244848, 350580, 366588, 1164487, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 15
26, 1151820, 112332, 1914, 10559, 16611, 33464, 10886, 30568, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 16
55, 207568, 16600, 1175, 8422, 1887, 3212, 507, 1356, 0, 0 
55, 1048183, 168853, 7075, 22997, 12114, 33250, 3524, 18395, 0, 0 
26, 831665, 129405, 29465, 13712, 4560, 34027, 9364, 24715, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 17
