
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 1
51, 209566, 613781, 716262, 139908, 164158, 179187, 104746, 63070, 0, 0 
51, 332125, 79118, 72554, 22309, 6401, 42600, 25547, 44994, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 2
51, 1763374, 259656, 70652, 71386, 99889, 90681, 73413, 79035, 0, 0 
51, 1481768, 282047, 191393, 263398, 69401, 134186, 26220, 47078, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 4
51, 64059, 193797, 635636, 432200, 87937, 112246, 88281, 169018, 0, 0 
51, 1453965, 335085, 426837, 133417, 101100, 164837, 52404, 66441, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 5
51, 196707, 543096, 5511, 23213, 18586, 22934, 11020, 4255, 0, 0 
51, 357130, 97139, 100922, 37411, 28974, 13963, 12972, 18711, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 6
51, 415805, 143285, 445055, 96276, 136234, 137032, 141159, 68140, 0, 0 
51, 201394, 150752, 13722, 32073, 37565, 19619, 10217, 16294, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 8
51, 1872371, 253488, 96177, 136191, 221252, 77273, 167886, 62969, 0, 0 
51, 928929, 847478, 143149, 119336, 89467, 74011, 68522, 52454, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 9
51, 179423, 23895, 56018, 19969, 20451, 10485, 8806, 26199, 0, 0 
51, 1144449, 572121, 669947, 304654, 224475, 111546, 95593, 138853, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 10
80, 1055646, 1363282, 166796, 1227436, 384853, 221737, 226739, 430784, 0, 0 
51, 2058126, 355435, 86553, 135218, 54268, 75144, 45246, 95508, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 11
51, 1588302, 906968, 28873, 111730, 37010, 45326, 52265, 33809, 0, 0 
51, 453145, 44467, 55418, 99609, 14732, 21391, 31662, 23447, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 12
51, 1362102, 818297, 148520, 113044, 128200, 133679, 91092, 67889, 0, 0 
51, 76881, 109897, 61196, 23498, 43466, 11582, 11901, 45445, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 13
51, 244091, 130175, 20616, 14045, 31507, 10168, 14775, 17318, 0, 0 
51, 228748, 65424, 22811, 48659, 35542, 18929, 39606, 45633, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 14
51, 1969328, 518348, 199283, 135013, 124507, 108959, 52193, 114755, 0, 0 
51, 205211, 83688, 7583, 23932, 27408, 25458, 29964, 38291, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 15
51, 1030428, 676676, 207721, 105021, 52771, 62634, 63336, 103102, 0, 0 
80, 532043, 430583, 65281, 245985, 145071, 118662, 66455, 159792, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 16
51, 152585, 48720, 5400, 27279, 18786, 28547, 40811, 30489, 0, 0 
51, 584127, 226916, 386188, 63156, 195039, 271881, 211151, 85088, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 17
51, 114274, 64364, 7835, 22786, 41263, 22966, 13939, 23546, 0, 0 
51, 542887, 1068068, 68007, 327933, 89930, 84918, 209710, 147932, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 18
51, 37063, 125112, 33781, 106299, 57997, 23021, 35678, 46433, 0, 0 
51, 631706, 284231, 80955, 52445, 114793, 93241, 179910, 64928, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 19
51, 360141, 107380, 10015, 40218, 38028, 49743, 19916, 16435, 0, 0 
51, 448688, 253694, 434007, 62419, 223473, 171665, 38343, 260888, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 20
51, 858786, 56716, 16682, 25915, 21745, 23262, 11482, 26429, 0, 0 
80, 627474, 588340, 127941, 356428, 37455, 141264, 112352, 132868, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 21
51, 248498, 151954, 36337, 60125, 128423, 56719, 29513, 50752, 0, 0 
51, 293268, 165494, 19783, 12474, 105151, 101971, 15120, 32496, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 22
51, 149824, 565660, 219831, 39815, 174001, 145562, 98457, 706575, 0, 0 
80, 659235, 1030092, 260990, 114919, 112466, 246418, 46982, 136274, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 23
51, 736507, 179640, 383278, 154766, 470777, 104040, 50167, 219786, 0, 0 
51, 736874, 916780, 195021, 132555, 458817, 449283, 83194, 228398, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 25
51, 538125, 199864, 339047, 193000, 309588, 163804, 65505, 225867, 0, 0 
51, 728292, 231857, 227260, 233326, 358625, 152968, 57587, 60375, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 26
26, 34648, 74298, 25886, 76538, 41738, 36381, 40174, 49600, 0, 0 
