Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 1
51, 636050, 736205, 267309, 190002, 506095, 97284, 109377, 157178, 0, 0 
51, 682653, 459659, 31495, 188639, 65592, 141891, 191359, 355515, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 2
80, 354403, 252732, 473849, 77082, 164095, 111968, 177917, 674050, 0, 0 
80, 215015, 39440, 167209, 86261, 74132, 36288, 24927, 37595, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 4
51, 227609, 595147, 205585, 50554, 67075, 233496, 91072, 443801, 0, 0 
80, 504080, 608096, 194802, 48643, 309642, 102093, 139526, 138978, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 5
80, 181427, 216800, 595916, 190519, 52590, 181050, 111836, 222571, 0, 0 
80, 603873, 640990, 686577, 57336, 370980, 65190, 64948, 344039, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 6
80, 985906, 122393, 261993, 30385, 183717, 130959, 82293, 396472, 0, 0 
80, 804080, 835771, 831689, 133610, 203373, 109349, 107082, 122186, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 7
51, 71116, 1101789, 81084, 117016, 85580, 327637, 109988, 192549, 0, 0 
51, 2368961, 1174897, 260902, 276625, 335410, 603579, 764836, 507909, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 9
51, 754060, 322679, 114005, 261005, 100356, 452108, 102259, 195187, 0, 0 
51, 208329, 199887, 315351, 98641, 334180, 88894, 110834, 68598, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 10
