Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 1
55, 557575, 239134, 228972, 365437, 116197, 140645, 288702, 561278, 0, 0 
26, 322808, 162570, 37087, 13736, 21007, 45728, 39913, 102912, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 2
26, 1025200, 276138, 179456, 46224, 95129, 190075, 140184, 342770, 0, 0 
26, 914423, 144264, 77035, 418209, 130375, 110085, 117411, 272250, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 3
26, 156396, 187103, 11514, 42410, 45619, 42908, 15816, 40049, 0, 0 
55, 127052, 225560, 296618, 48225, 18544, 186130, 178030, 115379, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 4
26, 187532, 522709, 562542, 170493, 41529, 135010, 42578, 68345, 0, 0 
26, 12148, 8756, 4721, 14033, 6236, 6937, 13222, 2694, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 5
55, 124307, 70342, 26983, 24218, 18986, 26627, 26437, 33271, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 6
26, 619841, 410854, 314047, 294299, 96181, 53058, 50206, 94078, 0, 0 
26, 1630963, 595130, 180843, 110787, 90004, 107096, 106967, 98397, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 7
55, 855305, 76274, 40207, 24827, 116261, 85238, 60971, 112109, 0, 0 
55, 153291, 74516, 29733, 36802, 24474, 32778, 40129, 28925, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 8
26, 156891, 111774, 1944, 32255, 14993, 17543, 10420, 14418, 0, 0 
26, 719617, 519422, 154619, 69428, 23498, 56351, 48203, 51544, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 9
26, 853122, 54277, 19391, 24199, 11299, 32717, 10197, 11185, 0, 0 
0, 909919, 310224, 108492, 133261, 357821, 364619, 53264, 31125, 0, 0 
0, 386338, 243989, 52374, 62508, 45645, 49660, 6033, 19273, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 10
29, 291433, 9620, 6622, 13590, 5620, 2885, 1213, 1251, 41, 56 
29, 136225, 15574, 7367, 4863, 2625, 1186, 527, 1741, 41, 56 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 11
0, 245, 114, 74, 148, 146, 21, 89, 1046, 64, 35 
0, 315623, 252944, 40685, 5669, 17155, 14967, 5577, 6774, 43, 41 
29, 48, 120, 70, 176, 236, 70, 252, 1848, 43, 41 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 12
51, 1104775, 541706, 435030, 163057, 102132, 95505, 107602, 77232, 69, 44 
51, 51682, 74249, 54220, 12773, 45562, 13931, 19576, 11609, 69, 44 
55, 2552601, 313657, 390561, 145652, 108854, 237989, 68907, 73302, 69, 44 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 13
55, 844802, 213635, 289717, 96614, 83055, 146143, 125181, 85209, 69, 44 
26, 363274, 629931, 141388, 296779, 206246, 108845, 102281, 50076, 69, 44 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 14
51, 1261150, 1295574, 151858, 119149, 256628, 97140, 136096, 470338, 0, 0 
80, 247094, 557828, 290084, 264850, 107395, 253568, 81480, 216340, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 15
51, 1099593, 352772, 74606, 605354, 165939, 108765, 172652, 438463, 0, 0 
51, 116079, 183592, 30425, 72701, 45482, 36802, 16111, 130120, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 16
80, 756522, 470238, 127808, 159534, 161180, 292123, 230497, 704037, 0, 0 
51, 2095974, 1448190, 1321421, 667985, 676641, 259243, 725268, 1331340, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 17
51, 554404, 605487, 134800, 317646, 179786, 144384, 102321, 487628, 0, 0 
80, 61365, 295882, 46990, 37476, 42997, 18072, 48562, 133982, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 18
26, 510958, 673801, 89112, 179590, 204175, 318410, 121814, 198980, 0, 0 
26, 1118653, 334673, 498782, 131819, 119244, 106418, 212288, 121833, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 19
26, 92365, 177938, 49097, 27110, 3160, 42455, 34340, 34257, 0, 0 
26, 910524, 170718, 139091, 296566, 28916, 91303, 138809, 93734, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 20
26, 87958, 54467, 38712, 41425, 56278, 63950, 36786, 132353, 0, 0 
26, 914062, 499476, 71361, 196463, 228740, 146824, 89321, 132870, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 21
26, 1254385, 483012, 130448, 225974, 279367, 160733, 64795, 168648, 0, 0 
26, 733708, 219705, 184064, 355091, 148084, 70434, 119045, 157636, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 22
26, 458028, 558022, 189780, 158094, 161291, 73037, 214438, 234389, 0, 0 
26, 446940, 1843574, 1174954, 1097124, 1726041, 520286, 310769, 448541, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 23
51, 556368, 904587, 152100, 89041, 120386, 137984, 53916, 94729, 0, 0 
51, 1508675, 1167911, 1835254, 682576, 915297, 725479, 407928, 306732, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 24
51, 628621, 397813, 200557, 88609, 337337, 198423, 87179, 114039, 0, 0 
51, 1317089, 113381, 286323, 43048, 170291, 142556, 48373, 242969, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 25
51, 1559680, 249705, 238569, 218132, 188848, 211523, 107399, 152229, 0, 0 
80, 268942, 311419, 197076, 203703, 105211, 185628, 143672, 122802, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 26
51, 150282, 117721, 56087, 53659, 24684, 58010, 25327, 31166, 0, 0 
51, 356402, 1068798, 248025, 208925, 150875, 160019, 120871, 196135, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 27
51, 697389, 567490, 72223, 250462, 80852, 147486, 153817, 166631, 0, 0 
80, 805175, 653618, 425445, 502882, 319211, 162813, 144055, 309149, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 28
51, 527398, 191219, 121891, 200952, 344265, 188440, 173057, 131057, 0, 0 
51, 638242, 292680, 347549, 213292, 215333, 169297, 103539, 100402, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 29
51, 765422, 531058, 144542, 44821, 214044, 73808, 114392, 214669, 0, 0 
51, 130430, 1134966, 195050, 75143, 287989, 135037, 115611, 283854, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 30
80, 583731, 265035, 853507, 70786, 272727, 85341, 143859, 97739, 0, 0 
80, 501000, 273203, 503412, 121300, 193647, 124048, 64802, 290826, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 31
80, 40737, 118686, 59783, 28394, 22814, 31590, 18098, 30387, 0, 0 
51, 463617, 446569, 262400, 160899, 88512, 124500, 97321, 52064, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 32
51, 100856, 19195, 15149, 28682, 48876, 30456, 19795, 13441, 0, 0 
51, 342324, 1145611, 243136, 58705, 89409, 200938, 93306, 254523, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 33
80, 509237, 316325, 114863, 75461, 91217, 237411, 39332, 87171, 0, 0 
80, 557173, 766222, 147985, 141472, 54509, 175429, 144318, 155818, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 34
51, 1194831, 223979, 229380, 168851, 186057, 106931, 57978, 114247, 0, 0 
80, 496190, 1008835, 85895, 215552, 317594, 214791, 75618, 67705, 0, 0 
80, 355267, 447232, 56989, 82772, 110884, 204183, 68264, 154531, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 35
51, 437736, 452584, 185098, 664594, 118226, 175828, 98652, 118973, 0, 0 
80, 366176, 347422, 228492, 108796, 98350, 168583, 204686, 161579, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 36
51, 106416, 244005, 31510, 15770, 28324, 42103, 17693, 50962, 0, 0 
51, 653383, 794689, 179344, 67789, 161282, 168434, 36780, 93230, 0, 0 
51, 576729, 168887, 215801, 410881, 101161, 168742, 160425, 110958, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 37
51, 811752, 103314, 229189, 141702, 91971, 122284, 90152, 215736, 0, 0 
51, 769224, 235129, 340436, 181155, 238141, 339339, 34158, 90003, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 38
51, 228531, 434397, 214101, 49182, 44111, 145134, 67218, 249438, 0, 0 
51, 509598, 452362, 125347, 248009, 220425, 69798, 87904, 116276, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 39
80, 562053, 254468, 107609, 444078, 165716, 170905, 117552, 110798, 0, 0 
80, 1154203, 234746, 72202, 106729, 191480, 142595, 81767, 109399, 0, 0 
80, 1096873, 671176, 96036, 96305, 345840, 204828, 88342, 148581, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 40
51, 424953, 641033, 31733, 129024, 110871, 150552, 67487, 96956, 0, 0 
51, 1281639, 348768, 368921, 95014, 147777, 200050, 201168, 183431, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 41
51, 486734, 204634, 172201, 292296, 186319, 92980, 170303, 137989, 0, 0 
51, 359739, 1303840, 257585, 138646, 60004, 259655, 53112, 229198, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 42
80, 658087, 102906, 157833, 113524, 177886, 167627, 87195, 213384, 0, 0 
51, 1795640, 488885, 109418, 21376, 119974, 89028, 39942, 170701, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 43
80, 343431, 148469, 3115, 29884, 19323, 39128, 15839, 22655, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 44
51, 328740, 1235986, 333020, 561233, 185024, 75924, 40314, 51174, 0, 0 
51, 329509, 74900, 24590, 16146, 18483, 27248, 7991, 14739, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 45
51, 1197785, 249721, 276989, 42343, 90322, 173315, 92352, 308021, 0, 0 
51, 1455074, 900945, 807538, 777085, 590828, 327474, 342822, 435128, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 46
80, 107398, 86017, 11135, 16150, 25336, 18695, 30029, 24500, 0, 0 
80, 490988, 1355845, 396392, 277089, 133594, 153624, 52650, 136608, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 47
51, 309448, 164195, 345851, 198195, 122359, 117224, 65046, 63936, 0, 0 
51, 914218, 213603, 175886, 78175, 253012, 113189, 51044, 113622, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 48
51, 496303, 458050, 613088, 218242, 103693, 173941, 157115, 68793, 0, 0 
51, 196392, 1007829, 195125, 346294, 255588, 200334, 43980, 65410, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 49
51, 1016590, 928421, 124508, 167508, 217752, 223010, 179504, 87993, 0, 0 
51, 433786, 321668, 150990, 31040, 209874, 102602, 58485, 187162, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 50
80, 999231, 256855, 33097, 70275, 144722, 132872, 66177, 141353, 0, 0 
51, 83494, 296718, 156042, 165413, 274086, 90378, 100213, 373131, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 51
26, 156177, 354971, 182566, 75036, 145915, 148461, 96254, 121315, 0, 0 
26, 743240, 1595386, 510709, 272221, 925445, 309422, 684391, 816843, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 52
26, 244392, 911769, 29622, 246212, 283044, 132706, 74650, 44091, 0, 0 
26, 485018, 352858, 192111, 63808, 133195, 114794, 85106, 205679, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 53
26, 793759, 710060, 500376, 336913, 118942, 125483, 68497, 110953, 0, 0 
26, 547003, 410806, 78710, 487043, 178844, 98387, 82720, 94744, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 54
26, 2686915, 720254, 760273, 527426, 1006434, 647086, 520281, 599517, 0, 0 
26, 1960961, 1620661, 464939, 1415285, 522848, 494812, 690162, 1138978, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 55
51, 652096, 332629, 354866, 257400, 277712, 222264, 107760, 69607, 0, 0 
26, 67602, 116762, 14762, 24970, 60817, 27894, 15853, 22476, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 56
26, 624845, 193806, 23907, 99063, 126161, 146598, 96284, 99446, 0, 0 
55, 251517, 193944, 28896, 218756, 117862, 152445, 142311, 97237, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 57
26, 548126, 463935, 98710, 86525, 78527, 42114, 99880, 130002, 0, 0 
55, 229701, 238209, 415970, 194367, 258766, 240723, 171536, 60995, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 58
80, 684314, 404481, 355215, 96935, 196052, 294501, 135996, 124073, 0, 0 
55, 533719, 356352, 148276, 138416, 262181, 156124, 152468, 125002, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 59
80, 440434, 457703, 355395, 37400, 247949, 138328, 33650, 76056, 0, 0 
26, 1225019, 1137887, 281471, 362223, 158235, 92507, 45002, 55887, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 60
80, 842565, 351433, 335389, 199011, 77479, 97607, 62784, 59423, 0, 0 
80, 410622, 413988, 166015, 93770, 344849, 111510, 60045, 42502, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 61
51, 1534553, 242142, 19110, 146327, 174941, 184498, 72262, 108113, 0, 0 
80, 713827, 205137, 107922, 128231, 89175, 84065, 89602, 249702, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 62
80, 653022, 386281, 154122, 285581, 78433, 155580, 116288, 228295, 0, 0 
55, 1379176, 745769, 1233557, 291790, 492942, 938561, 656212, 1000911, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 63
80, 235599, 962069, 115071, 134498, 286555, 146887, 63653, 67133, 0, 0 
55, 105354, 154451, 83797, 92619, 18477, 47717, 16933, 16202, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 64
80, 562350, 713898, 818586, 110685, 104886, 127120, 223890, 106890, 0, 0 
80, 952735, 463314, 201908, 105755, 59800, 121429, 148038, 147268, 0, 0 
26, 872162, 78575, 374916, 116370, 154695, 117449, 108455, 68298, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 65
51, 501638, 96242, 85490, 37652, 46462, 28249, 24134, 28409, 0, 0 
80, 546250, 683551, 310866, 137222, 145766, 216252, 147502, 276360, 0, 0 
55, 771404, 648182, 899802, 708065, 659094, 392698, 471692, 419838, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 66
80, 1846026, 375408, 125277, 105459, 129590, 129999, 99488, 167135, 0, 0 
