Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 1
26, 914111, 81142, 15126, 40563, 11066, 38806, 5558, 15167, 0, 0 
55, 1271011, 222487, 8060, 39379, 20175, 30474, 7961, 19396, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 2
55, 723453, 53268, 27297, 16961, 33035, 49661, 5303, 38035, 0, 0 
26, 924254, 33004, 6698, 23596, 25882, 15432, 12492, 17770, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 3
26, 1541142, 311336, 70869, 12388, 5018, 29359, 3284, 17908, 0, 0 
26, 1015920, 51131, 26939, 13846, 7806, 14889, 3996, 13691, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 4
55, 1216307, 84272, 32500, 43565, 12678, 20460, 11599, 19560, 0, 0 
26, 2917906, 211183, 143975, 160238, 89252, 81824, 33600, 29125, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 5
26, 640227, 96742, 43750, 7675, 17556, 11076, 4083, 6972, 0, 0 
26, 980394, 121232, 37827, 37419, 11903, 35168, 8921, 25512, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 6
55, 1226193, 77898, 10782, 16376, 12714, 37800, 4894, 10341, 0, 0 
55, 1031586, 33638, 11794, 9430, 12701, 17748, 9546, 20909, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 7
26, 66243, 7964, 1198, 7919, 8742, 3839, 2302, 1566, 0, 0 
26, 1088351, 181456, 56422, 50161, 9766, 45143, 5037, 17267, 0, 0 
26, 953266, 25455, 6781, 14818, 15206, 9717, 2286, 15983, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 8
55, 813453, 158136, 15607, 16907, 41956, 55123, 17303, 21390, 0, 0 
55, 63029, 16224, 10169, 5702, 4720, 10922, 1990, 12726, 0, 0 
55, 877691, 78963, 8894, 14716, 7312, 24722, 3925, 11510, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 9
26, 386338, 59688, 59572, 91132, 15440, 45371, 34151, 57769, 0, 0 
