

Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 4
26, 323137, 427617, 38922, 110419, 167223, 86877, 34179, 147432, 0, 0 
26, 418812, 672880, 170611, 193041, 95616, 87709, 76111, 151487, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 1
26, 390200, 678967, 161221, 280346, 164652, 196552, 138254, 108261, 0, 0 
26, 534150, 505025, 407827, 235075, 69150, 148665, 119738, 158562, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 2
51, 519086, 195506, 80819, 112620, 80678, 135764, 61039, 106456, 0, 0 
51, 123882, 74046, 137719, 57028, 60001, 22125, 32405, 31859, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 3
51, 497629, 320401, 91503, 153347, 137224, 167896, 118939, 86333, 0, 0 
51, 1123706, 359539, 126699, 193276, 228507, 86874, 50841, 140243, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 4
51, 261680, 299891, 247311, 87914, 238865, 126890, 60230, 86575, 0, 0 
51, 710270, 109269, 374977, 133542, 123388, 121458, 192702, 66525, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 5
51, 1109411, 273456, 152549, 117559, 108413, 178739, 112227, 109215, 0, 0 
51, 310767, 611826, 128502, 96982, 432701, 147635, 84238, 127624, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 6
51, 153802, 397919, 439247, 186408, 100788, 151138, 66784, 57806, 0, 0 
51, 601585, 434349, 150043, 121693, 101281, 110101, 106201, 229342, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 8
51, 227565, 435558, 115589, 133553, 115582, 113322, 115249, 72354, 0, 0 
51, 1106639, 444007, 220295, 161578, 166191, 139316, 108635, 160818, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 9
51, 108849, 368217, 146709, 86533, 112140, 129396, 106222, 90697, 0, 0 
51, 1239090, 254776, 28592, 64233, 96945, 224897, 83288, 27593, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 10
51, 396344, 752273, 138564, 291362, 155879, 117596, 160326, 86126, 0, 0 
51, 1570593, 1140960, 838351, 475718, 805274, 489560, 788285, 603902, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 12
51, 1070772, 245851, 246702, 100502, 75614, 95227, 148836, 83593, 0, 0 
51, 586124, 675260, 137968, 167914, 191129, 179476, 117147, 101753, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 13
51, 589964, 259046, 706897, 292147, 704194, 533436, 528601, 380387, 0, 0 
51, 411530, 594218, 45867, 92920, 301566, 120560, 72421, 170248, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 14
51, 394916, 699999, 686277, 147261, 56838, 87679, 161328, 31643, 0, 0 
51, 61763, 52709, 37350, 15283, 89599, 33759, 19994, 37931, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 15
51, 2112170, 986787, 347208, 1200376, 937680, 962007, 680299, 380950, 0, 0 
51, 540099, 422473, 191780, 544374, 168946, 74105, 41729, 120461, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 17
51, 1058362, 388026, 131023, 27565, 416188, 82794, 72193, 51274, 0, 0 
51, 272938, 49974, 15053, 56061, 18024, 30567, 43777, 19281, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 18
51, 448604, 262496, 154764, 152555, 109320, 137390, 154790, 256218, 0, 0 
51, 105764, 46307, 10741, 28492, 51758, 43169, 32746, 19996, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 23
26, 263304, 981164, 155855, 66468, 159850, 112463, 83344, 137908, 0, 0 
26, 2417080, 610071, 235440, 74400, 70840, 54561, 34272, 152262, 0, 0 
Poor Signal, Delta, Theta, Low Alpha, High Alpha, Low Beta, High Beta, Low Gamma, Mid Gamma, Attention, Meditation, 24
26, 1870128, 558916, 160140, 50035, 124065, 115123, 60224, 129816, 0, 0 
26, 646075, 156980, 154749, 173134, 61513, 129857, 66412, 51867, 0, 0 
