First Byte, Second Byte, Brainwave Value, 34
248,0,-2048,
248,0,-2048,
7,202,1994,
7,116,1908,
252,152,-872,
254,21,-491,
7,120,1912,
7,19,1811,
6,199,1735,
6,138,1674,
248,0,-2048,
248,0,-2048,
6,52,1588,
7,117,1909,
255,248,-8,
250,191,-1345,
6,177,1713,
7,53,1845,
6,226,1762,
6,157,1693,
252,91,-933,
248,0,-2048,
252,221,-803,
7,150,1942,
5,55,1335,
250,229,-1307,
4,235,1259,
7,57,1849,
6,229,1765,
6,157,1693,
4,38,1062,
248,0,-2048,
248,0,-2048,
7,165,1957,
7,54,1846,
250,19,-1517,
255,206,-50,
7,100,1892,
7,6,1798,
6,187,1723,
6,130,1666,
248,0,-2048,
248,0,-2048,
7,200,1992,
7,112,1904,
253,8,-760,
254,78,-434,
7,112,1904,
7,9,1801,
6,188,1724,
6,129,1665,
248,0,-2048,
248,0,-2048,
4,45,1069,
7,121,1913,
1,133,389,
253,135,-633,
7,93,1885,
6,249,1785,
6,173,1709,
6,108,1644,
253,181,-587,
248,0,-2048,
251,56,-1224,
7,117,1909,
5,107,1387,
250,76,-1460,
5,82,1362,
7,26,1818,
6,199,1735,
6,131,1667,
4,232,1256,
248,0,-2048,
248,0,-2048,
7,139,1931,
7,50,1842,
249,230,-1562,
254,38,-474,
7,93,1885,
6,251,1787,
6,177,1713,
6,120,1656,
248,0,-2048,
248,0,-2048,
7,186,1978,
7,102,1894,
253,102,-666,
253,232,-536,
7,92,1884,
6,251,1787,
6,178,1714,
6,116,1652,
248,0,-2048,
248,0,-2048,
4,28,1052,
7,100,1892,
1,244,500,
251,57,-1223,
7,61,1853,
7,7,1799,
6,184,1720,
6,118,1654,
255,111,-145,
248,0,-2048,
251,39,-1241,
7,112,1904,
6,20,1556,
250,22,-1514,
3,135,903,
7,29,1821,
6,200,1736,
6,132,1668,
5,130,1410,
248,0,-2048,
248,0,-2048,
7,135,1927,
7,53,1845,
250,126,-1410,
254,18,-494,
7,76,1868,
6,236,1772,
6,163,1699,
6,105,1641,
248,0,-2048,
248,0,-2048,
7,163,1955,
7,83,1875,
254,43,-469,
253,88,-680,
7,70,1862,
6,232,1768,
6,156,1692,
6,97,1633,
248,58,-1990,
248,0,-2048,
3,202,970,
7,72,1864,
2,131,643,
249,220,-1572,
7,23,1815,
6,251,1787,
6,172,1708,
6,106,1642,
0,246,246,
248,0,-2048,
251,29,-1251,
7,89,1881,
6,96,1632,
249,141,-1651,
4,84,1108,
7,5,1797,
6,179,1715,
6,112,1648,
5,229,1509,
248,0,-2048,
248,0,-2048,
7,112,1904,
7,28,1820,
249,229,-1563,
252,91,-933,
7,80,1872,
6,235,1771,
6,162,1698,
6,103,1639,
248,0,-2048,
248,0,-2048,
7,138,1930,
7,76,1868,
254,178,-334,
251,223,-1057,
7,92,1884,
6,246,1782,
6,169,1705,
6,105,1641,
249,150,-1642,
248,0,-2048,
1,201,457,
7,87,1879,
3,150,918,
250,35,-1501,
6,123,1659,
7,6,1798,
6,183,1719,
6,116,1652,
2,59,571,
248,0,-2048,
248,86,-1962,
7,112,1904,
6,185,1721,
249,197,-1595,
1,172,428,
7,38,1830,
6,205,1741,
6,135,1671,
6,49,1585,
248,0,-2048,
248,0,-2048,
7,141,1933,
7,57,1849,
251,69,-1211,
252,63,-961,
7,104,1896,
7,1,1793,
6,180,1716,
6,120,1656,
248,0,-2048,
248,0,-2048,
7,4,1796,
7,98,1890,
255,185,-71,
252,154,-870,
7,96,1888,
6,249,1785,
6,173,1709,
6,108,1644,
251,4,-1276,
248,0,-2048,
255,41,-215,
7,102,1894,
4,68,1092,
250,27,-1509,
6,88,1624,
7,18,1810,
6,193,1729,
6,124,1660,
3,98,866,
248,0,-2048,
248,0,-2048,
7,118,1910,
6,245,1781,
249,203,-1589,
1,74,330,
7,41,1833,
6,210,1746,
6,139,1675,
6,76,1612,
248,0,-2048,
248,0,-2048,
7,145,1937,
7,58,1850,
251,158,-1122,
253,6,-762,
7,74,1866,
6,234,1770,
6,162,1698,
6,101,1637,
248,0,-2048,
248,0,-2048,
6,213,1749,
7,72,1864,
0,105,105,
250,188,-1348,
7,92,1884,
6,249,1785,
6,171,1707,
6,106,1642,
252,121,-903,
248,0,-2048,
254,198,-314,
7,92,1884,
4,236,1260,
250,41,-1495,
7,39,1831,
6,248,1784,
6,169,1705,
6,103,1639,
4,109,1133,
248,0,-2048,
248,0,-2048,
7,87,1879,
6,246,1782,
249,63,-1729,
255,251,-5,
7,26,1818,
6,196,1732,
6,123,1659,
6,70,1606,
248,0,-2048,
248,0,-2048,
7,117,1909,
7,32,1824,
251,141,-1139,
250,164,-1372,
7,83,1875,
6,237,1773,
6,163,1699,
6,101,1637,
248,0,-2048,
248,0,-2048,
6,21,1557,
7,72,1864,
0,163,163,
249,248,-1544,
7,40,1832,
7,7,1799,
6,184,1720,
6,117,1653,
254,87,-425,
248,0,-2048,
