First Byte, Second Byte, Brainwave Value, 50
7,255,2047,
248,0,-2048,
248,0,-2048,
250,228,-1308,
255,88,-168,
7,255,2047,
3,177,945,
248,0,-2048,
248,0,-2048,
0,205,205,
7,255,2047,
0,131,131,
248,0,-2048,
248,0,-2048,
249,164,-1628,
7,255,2047,
6,155,1691,
248,0,-2048,
248,0,-2048,
248,170,-1878,
7,255,2047,
7,255,2047,
248,0,-2048,
249,162,-1630,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,50,50,
1,152,408,
7,255,2047,
251,201,-1079,
248,0,-2048,
248,0,-2048,
3,210,978,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,168,-1624,
2,235,747,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,107,-1173,
7,255,2047,
255,242,-14,
248,0,-2048,
251,22,-1258,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
2,179,691,
2,252,764,
7,255,2047,
249,254,-1538,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,182,-1610,
7,255,2047,
7,255,2047,
6,124,1660,
248,0,-2048,
248,0,-2048,
2,121,633,
7,255,2047,
251,230,-1050,
248,0,-2048,
254,141,-371,
5,146,1426,
7,255,2047,
6,53,1589,
248,0,-2048,
248,0,-2048,
248,152,-1896,
7,255,2047,
1,37,293,
248,0,-2048,
248,0,-2048,
248,14,-2034,
4,193,1217,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
250,130,-1406,
7,255,2047,
248,82,-1966,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,26,-1766,
7,227,2019,
7,255,2047,
4,55,1079,
248,0,-2048,
248,0,-2048,
0,23,23,
7,255,2047,
2,205,717,
248,0,-2048,
250,124,-1412,
254,92,-420,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,21,-1771,
7,255,2047,
4,48,1072,
248,0,-2048,
248,0,-2048,
250,14,-1522,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,58,-1222,
7,255,2047,
7,255,2047,
250,191,-1345,
248,0,-2048,
248,0,-2048,
6,8,1544,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
252,57,-967,
7,255,2047,
255,146,-110,
248,0,-2048,
248,0,-2048,
252,26,-998,
7,255,2047,
2,137,649,
248,0,-2048,
249,5,-1787,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,182,1974,
248,0,-2048,
248,0,-2048,
2,115,627,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
251,51,-1229,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
4,24,1048,
7,255,2047,
250,95,-1441,
248,0,-2048,
248,0,-2048,
7,231,2023,
7,255,2047,
4,104,1128,
248,0,-2048,
248,0,-2048,
251,98,-1182,
7,255,2047,
0,232,232,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
3,106,874,
248,0,-2048,
248,0,-2048,
248,0,-2048,
250,46,-1490,
7,255,2047,
248,3,-2045,
248,99,-1949,
248,186,-1862,
7,255,2047,
7,255,2047,
248,179,-1869,
248,7,-2041,
248,150,-1898,
7,255,2047,
7,255,2047,
254,12,-500,
248,0,-2048,
248,0,-2048,
254,228,-284,
7,255,2047,
251,95,-1185,
248,0,-2048,
248,0,-2048,
3,96,864,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,92,-1700,
7,255,2047,
7,123,1915,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
251,184,-1096,
7,255,2047,
248,0,-2048,
248,1,-2047,
248,90,-1958,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,60,-1988,
7,255,2047,
7,255,2047,
1,129,385,
248,0,-2048,
248,0,-2048,
255,73,-183,
7,255,2047,
252,197,-827,
248,0,-2048,
248,0,-2048,
248,29,-2019,
1,8,264,
1,229,485,
248,50,-1998,
248,141,-1907,
249,133,-1659,
7,255,2047,
7,255,2047,
248,0,-2048,
248,74,-1974,
248,157,-1891,
4,187,1211,
7,255,2047,
248,24,-2024,
248,116,-1932,
248,203,-1845,
7,255,2047,
7,255,2047,
248,10,-2038,
248,100,-1948,
248,180,-1868,
248,255,-1793,
0,90,90,
249,43,-1749,
249,125,-1667,
249,200,-1592,
5,176,1456,
7,255,2047,
254,54,-458,
248,226,-1822,
249,53,-1739,
255,182,-74,
7,255,2047,
4,218,1242,
248,101,-1947,
248,185,-1863,
252,126,-898,
7,255,2047,
253,150,-618,
248,79,-1969,
248,166,-1882,
248,245,-1803,
7,255,2047,
7,255,2047,
248,83,-1965,
248,172,-1876,
249,41,-1751,
7,255,2047,
7,255,2047,
248,23,-2025,
248,109,-1939,
248,189,-1859,
2,252,764,
7,255,2047,
248,44,-2004,
248,135,-1913,
248,221,-1827,
7,255,2047,
7,255,2047,
248,54,-1994,
248,140,-1908,
248,221,-1827,
249,41,-1751,
3,134,902,
249,43,-1749,
249,126,-1666,
249,202,-1590,
2,106,618,
7,255,2047,
253,37,-731,
249,7,-1785,
249,88,-1704,
253,198,-570,
7,255,2047,
7,255,2047,
248,118,-1930,
248,202,-1846,
250,152,-1384,
7,255,2047,
0,248,248,
248,90,-1958,
248,178,-1870,
248,254,-1794,
4,80,1104,
7,255,2047,
248,137,-1911,
248,229,-1819,
249,59,-1733,
7,255,2047,
7,255,2047,
248,37,-2011,
248,123,-1925,
249,23,-1769,
7,255,2047,
7,255,2047,
249,23,-1769,
248,0,-2048,
248,85,-1963,
7,255,2047,
7,255,2047,
251,183,-1097,
248,0,-2048,
248,0,-2048,
3,104,872,
7,255,2047,
4,65,1089,
248,0,-2048,
248,0,-2048,
2,221,733,
7,255,2047,
249,20,-1772,
248,0,-2048,
248,0,-2048,
248,3,-2045,
248,119,-1929,
248,133,-1915,
248,202,-1846,
249,21,-1771,
249,251,-1541,
7,255,2047,
5,98,1378,
248,125,-1923,
248,211,-1837,
249,30,-1762,
254,138,-374,
7,133,1925,
249,5,-1787,
249,91,-1701,
249,171,-1621,
7,255,2047,
7,255,2047,
248,178,-1870,
249,7,-1785,
249,199,-1593,
7,255,2047,
7,255,2047,
251,15,-1265,
248,53,-1995,
248,138,-1910,
3,221,989,
7,255,2047,
248,68,-1980,
248,38,-2010,
248,123,-1925,
0,179,179,
7,255,2047,
4,66,1090,
248,0,-2048,
248,28,-2020,
252,234,-790,
7,255,2047,
254,71,-441,
248,0,-2048,
248,25,-2023,
248,109,-1939,
7,255,2047,
6,114,1650,
248,0,-2048,
248,63,-1985,
248,185,-1863,
7,255,2047,
