First Byte, Second Byte, Brainwave Value, 18
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,124,-1924,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
3,154,922,
248,0,-2048,
248,0,-2048,
248,0,-2048,
250,168,-1368,
7,255,2047,
7,255,2047,
7,255,2047,
6,8,1544,
7,255,2047,
7,3,1795,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
251,200,-1080,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
5,20,1300,
248,0,-2048,
248,0,-2048,
248,0,-2048,
253,185,-583,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
5,147,1427,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
0,8,8,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,85,1877,
248,0,-2048,
248,0,-2048,
248,0,-2048,
250,46,-1490,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,103,1895,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
255,139,-117,
248,0,-2048,
248,0,-2048,
248,0,-2048,
254,125,-387,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,130,1922,
248,0,-2048,
248,0,-2048,
248,0,-2048,
2,67,579,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
249,26,-1766,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
4,170,1194,
248,0,-2048,
248,0,-2048,
248,0,-2048,
5,161,1441,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,176,1968,
248,0,-2048,
248,0,-2048,
248,0,-2048,
250,236,-1300,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
253,185,-583,
248,0,-2048,
248,0,-2048,
248,0,-2048,
6,121,1657,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
3,180,948,
248,0,-2048,
248,0,-2048,
248,0,-2048,
254,89,-423,
7,255,2047,
7,255,2047,
7,255,2047,
7,225,2017,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
6,102,1638,
6,56,1592,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
4,225,1249,
7,255,2047,
255,88,-168,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,113,1905,
7,255,2047,
7,98,1890,
248,0,-2048,
248,0,-2048,
248,0,-2048,
255,135,-121,
7,255,2047,
7,255,2047,
7,255,2047,
3,171,939,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,192,1984,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
4,108,1132,
248,0,-2048,
248,0,-2048,
248,0,-2048,
3,215,983,
7,255,2047,
7,255,2047,
7,255,2047,
4,74,1098,
7,255,2047,
