First Byte, Second Byte, Brainwave Value, 11
248,0,-2048,
250,220,-1316,
7,255,2047,
7,255,2047,
0,52,52,
248,0,-2048,
248,74,-1974,
7,255,2047,
7,255,2047,
7,102,1894,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,70,-186,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
4,19,1043,
7,255,2047,
7,255,2047,
251,37,-1243,
248,0,-2048,
250,95,-1441,
7,255,2047,
7,255,2047,
251,46,-1234,
248,0,-2048,
252,124,-900,
7,255,2047,
7,255,2047,
2,135,647,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,155,923,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
254,232,-280,
0,73,73,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,15,-1265,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,58,58,
7,255,2047,
7,255,2047,
3,3,771,
248,0,-2048,
250,37,-1499,
7,255,2047,
7,255,2047,
2,16,528,
248,0,-2048,
250,253,-1283,
7,255,2047,
7,255,2047,
7,236,2028,
251,141,-1139,
254,35,-477,
7,255,2047,
7,255,2047,
7,138,1930,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
1,164,420,
255,123,-133,
5,74,1354,
7,165,1957,
7,83,1875,
248,0,-2048,
248,0,-2048,
7,41,1833,
7,182,1974,
7,101,1893,
255,125,-131,
248,0,-2048,
254,87,-425,
7,150,1942,
7,58,1850,
255,24,-232,
248,0,-2048,
2,136,648,
7,141,1933,
7,53,1845,
6,22,1558,
254,46,-466,
255,95,-161,
6,236,1772,
6,148,1684,
5,17,1297,
248,0,-2048,
254,63,-449,
6,214,1750,
6,125,1661,
6,42,1578,
249,21,-1771,
248,0,-2048,
3,147,915,
6,163,1699,
6,42,1578,
248,0,-2048,
248,0,-2048,
7,51,1843,
6,205,1741,
6,137,1673,
249,185,-1607,
248,0,-2048,
0,185,185,
7,3,1795,
6,177,1713,
249,115,-1677,
248,0,-2048,
5,210,1490,
7,50,1842,
6,228,1764,
251,76,-1204,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,182,1974,
254,5,-507,
248,0,-2048,
253,62,-706,
7,255,2047,
7,243,2035,
2,184,696,
248,0,-2048,
248,0,-2048,
5,32,1312,
7,255,2047,
5,101,1381,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,204,204,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
5,153,1433,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,181,-843,
7,255,2047,
7,255,2047,
250,137,-1399,
248,0,-2048,
255,107,-149,
7,255,2047,
7,255,2047,
2,99,611,
248,0,-2048,
250,107,-1429,
7,255,2047,
7,255,2047,
3,44,812,
248,0,-2048,
248,254,-1794,
7,255,2047,
7,255,2047,
7,255,2047,
5,2,1282,
3,51,819,
7,255,2047,
7,254,2046,
7,157,1949,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,250,2042,
7,173,1965,
251,181,-1099,
248,196,-1852,
0,192,192,
7,220,2012,
7,132,1924,
248,101,-1947,
248,0,-2048,
6,53,1589,
7,237,2029,
7,152,1944,
2,50,562,
250,47,-1489,
253,45,-723,
7,177,1969,
7,76,1868,
0,40,40,
248,0,-2048,
255,88,-168,
7,189,1981,
7,99,1891,
3,86,854,
248,0,-2048,
248,0,-2048,
7,254,2046,
7,177,1969,
5,199,1479,
248,0,-2048,
248,106,-1942,
7,255,2047,
7,203,1995,
6,237,1773,
248,0,-2048,
248,0,-2048,
4,9,1033,
7,255,2047,
7,243,2035,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
249,197,-1595,
248,0,-2048,
254,88,-424,
7,255,2047,
7,255,2047,
250,201,-1335,
248,0,-2048,
3,117,885,
7,255,2047,
7,255,2047,
0,140,140,
248,0,-2048,
249,29,-1763,
7,255,2047,
7,255,2047,
0,162,162,
248,0,-2048,
250,125,-1411,
7,255,2047,
7,255,2047,
5,112,1392,
248,0,-2048,
248,0,-2048,
6,37,1573,
7,255,2047,
6,199,1735,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
