First Byte, Second Byte, Brainwave Value, 13
7,255,2047,
248,0,-2048,
248,69,-1979,
248,149,-1899,
248,221,-1827,
249,36,-1756,
249,101,-1691,
249,167,-1625,
7,255,2047,
7,255,2047,
7,255,2047,
248,171,-1877,
248,22,-2026,
248,104,-1944,
248,181,-1867,
248,251,-1797,
249,61,-1731,
249,127,-1665,
1,252,508,
7,255,2047,
7,255,2047,
255,204,-52,
248,0,-2048,
248,77,-1971,
248,155,-1893,
248,228,-1820,
249,40,-1752,
249,105,-1687,
251,24,-1256,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,55,-1993,
248,134,-1914,
248,206,-1842,
249,21,-1771,
249,87,-1705,
249,181,-1611,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,11,-2037,
248,92,-1956,
248,169,-1879,
248,238,-1810,
249,52,-1740,
249,118,-1674,
6,196,1732,
7,255,2047,
7,255,2047,
248,10,-2038,
248,31,-2017,
248,115,-1933,
248,188,-1860,
249,5,-1787,
249,70,-1722,
249,136,-1656,
2,185,697,
7,255,2047,
7,255,2047,
0,232,232,
248,0,-2048,
248,72,-1976,
248,150,-1898,
248,221,-1827,
249,35,-1757,
249,101,-1691,
250,173,-1363,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,53,-1995,
248,133,-1915,
248,205,-1843,
249,20,-1772,
249,86,-1706,
249,154,-1638,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,31,-2017,
248,111,-1937,
248,187,-1861,
249,3,-1789,
249,69,-1723,
249,136,-1656,
7,255,2047,
7,255,2047,
7,255,2047,
248,89,-1959,
248,13,-2035,
248,94,-1954,
248,171,-1877,
248,243,-1805,
249,55,-1737,
249,121,-1671,
1,244,500,
7,255,2047,
7,255,2047,
0,125,125,
248,0,-2048,
248,69,-1979,
248,146,-1902,
248,219,-1829,
249,31,-1761,
249,99,-1693,
253,187,-581,
7,255,2047,
7,255,2047,
7,219,2011,
248,0,-2048,
248,26,-2022,
248,107,-1941,
248,181,-1867,
248,251,-1797,
249,61,-1731,
249,148,-1644,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,3,-2045,
248,84,-1964,
248,158,-1890,
248,231,-1817,
249,42,-1750,
249,109,-1683,
7,255,2047,
7,255,2047,
7,255,2047,
248,14,-2034,
248,0,-2048,
248,74,-1974,
248,150,-1898,
248,221,-1827,
249,36,-1756,
249,102,-1690,
1,134,390,
7,255,2047,
7,255,2047,
252,184,-840,
248,0,-2048,
248,82,-1966,
248,158,-1890,
248,231,-1817,
249,42,-1750,
249,108,-1684,
251,195,-1085,
7,255,2047,
7,255,2047,
7,140,1932,
248,0,-2048,
248,55,-1993,
248,134,-1914,
248,206,-1842,
249,21,-1771,
249,87,-1705,
250,39,-1497,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,1,-2047,
248,79,-1969,
248,156,-1892,
248,228,-1820,
249,40,-1752,
249,107,-1685,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,76,-1972,
248,153,-1895,
248,223,-1825,
249,37,-1755,
249,104,-1688,
1,10,266,
7,255,2047,
7,255,2047,
254,84,-428,
248,0,-2048,
248,75,-1973,
248,152,-1896,
248,223,-1825,
249,37,-1755,
249,103,-1689,
250,120,-1416,
7,255,2047,
7,255,2047,
7,76,1868,
248,0,-2048,
248,71,-1977,
248,150,-1898,
248,222,-1826,
249,36,-1756,
249,101,-1691,
249,169,-1623,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,55,-1993,
248,135,-1913,
248,207,-1841,
249,22,-1770,
249,89,-1703,
249,155,-1637,
7,255,2047,
7,255,2047,
7,255,2047,
248,92,-1956,
248,23,-2025,
248,106,-1942,
248,181,-1867,
248,251,-1797,
249,62,-1730,
249,127,-1665,
1,42,298,
7,255,2047,
7,255,2047,
255,28,-228,
248,5,-2043,
248,87,-1961,
248,166,-1882,
248,236,-1812,
249,47,-1745,
249,116,-1676,
254,44,-468,
7,255,2047,
7,255,2047,
5,81,1361,
248,0,-2048,
248,55,-1993,
248,134,-1914,
248,205,-1843,
249,21,-1771,
249,86,-1706,
249,197,-1595,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,4,-2044,
248,86,-1962,
248,159,-1889,
248,231,-1817,
249,42,-1750,
249,110,-1682,
7,255,2047,
7,255,2047,
7,255,2047,
248,26,-2022,
248,0,-2048,
248,68,-1980,
248,143,-1905,
248,216,-1832,
249,28,-1764,
249,95,-1697,
0,87,87,
7,255,2047,
7,255,2047,
255,51,-205,
248,0,-2048,
248,68,-1980,
248,146,-1902,
248,218,-1830,
249,30,-1762,
249,98,-1694,
252,218,-806,
7,255,2047,
7,255,2047,
6,244,1780,
248,0,-2048,
248,40,-2008,
248,120,-1928,
248,195,-1853,
249,7,-1785,
249,74,-1718,
249,162,-1630,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,15,-2033,
248,95,-1953,
248,171,-1877,
248,243,-1805,
249,54,-1738,
249,121,-1671,
7,255,2047,
7,255,2047,
7,255,2047,
248,9,-2039,
248,20,-2028,
248,102,-1946,
248,178,-1870,
248,249,-1799,
249,59,-1733,
249,124,-1668,
3,215,983,
7,255,2047,
7,255,2047,
250,47,-1489,
248,22,-2026,
248,104,-1944,
248,181,-1867,
248,251,-1797,
249,62,-1730,
249,130,-1662,
253,20,-748,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,50,-1998,
248,127,-1921,
248,202,-1846,
249,15,-1777,
249,82,-1710,
249,151,-1641,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,52,-1996,
248,131,-1917,
248,204,-1844,
249,19,-1773,
249,85,-1707,
249,152,-1640,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,20,-2028,
248,101,-1947,
248,174,-1874,
248,247,-1801,
249,57,-1735,
249,123,-1669,
2,66,578,
7,255,2047,
7,255,2047,
254,223,-289,
248,0,-2048,
248,78,-1970,
248,156,-1892,
248,230,-1818,
249,40,-1752,
249,106,-1686,
251,72,-1208,
7,255,2047,
7,255,2047,
6,54,1590,
248,0,-2048,
248,69,-1979,
248,148,-1900,
248,220,-1828,
249,34,-1758,
249,99,-1693,
249,169,-1623,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,39,-2009,
248,119,-1929,
248,195,-1853,
249,8,-1784,
249,74,-1718,
249,142,-1650,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,21,-2027,
248,102,-1946,
248,178,-1870,
248,249,-1799,
249,59,-1733,
249,125,-1667,
2,165,677,
7,255,2047,
7,255,2047,
253,38,-730,
248,8,-2040,
248,89,-1959,
248,166,-1882,
248,237,-1811,
249,51,-1741,
249,116,-1676,
250,206,-1330,
7,255,2047,
7,255,2047,
4,140,1164,
248,10,-2038,
248,94,-1954,
248,172,-1876,
248,245,-1803,
249,56,-1736,
249,121,-1671,
249,187,-1605,
7,255,2047,
7,255,2047,
7,255,2047,
248,15,-2033,
248,100,-1948,
248,179,-1869,
248,251,-1797,
249,63,-1729,
249,127,-1665,
249,191,-1601,
6,96,1632,
7,255,2047,
7,255,2047,
248,39,-2009,
248,94,-1954,
248,175,-1873,
248,249,-1799,
249,62,-1730,
249,126,-1666,
249,190,-1602,
1,137,393,
7,255,2047,
7,255,2047,
250,70,-1466,
248,85,-1963,
248,165,-1883,
