First Byte, Second Byte, Brainwave Value, 4
248,0,-2048,
7,255,2047,
7,255,2047,
0,21,21,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,26,1818,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
5,213,1493,
7,255,2047,
7,255,2047,
249,155,-1637,
248,0,-2048,
253,134,-634,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,156,-868,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
249,223,-1569,
7,255,2047,
7,255,2047,
252,212,-812,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,192,1216,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
2,7,519,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
5,43,1323,
7,255,2047,
7,255,2047,
250,85,-1451,
248,0,-2048,
252,19,-1005,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,13,-1011,
7,255,2047,
7,255,2047,
5,59,1339,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
251,137,-1143,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,132,1156,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
3,51,819,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,81,337,
7,255,2047,
7,255,2047,
249,84,-1708,
248,0,-2048,
250,249,-1287,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
250,206,-1330,
7,255,2047,
7,255,2047,
3,214,982,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
252,91,-933,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,139,1675,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,248,248,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,211,467,
7,255,2047,
7,255,2047,
253,236,-532,
248,0,-2048,
248,249,-1799,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,200,-1592,
7,255,2047,
7,255,2047,
5,185,1465,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
254,250,-262,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,251,1787,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,250,-6,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
254,199,-313,
7,255,2047,
7,255,2047,
253,105,-663,
248,0,-2048,
249,78,-1714,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,236,1772,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
255,99,-157,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,241,2033,
7,255,2047,
7,104,1896,
248,0,-2048,
248,0,-2048,
6,131,1667,
7,255,2047,
7,255,2047,
249,67,-1725,
248,0,-2048,
1,81,337,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
254,180,-332,
7,255,2047,
7,255,2047,
255,186,-70,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,165,1957,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,43,299,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,219,475,
7,255,2047,
7,105,1897,
248,0,-2048,
248,0,-2048,
3,115,883,
7,255,2047,
7,255,2047,
251,115,-1165,
248,0,-2048,
251,227,-1053,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,10,-1270,
7,255,2047,
7,255,2047,
5,102,1382,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
250,111,-1425,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,105,873,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
3,67,835,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
2,2,514,
7,255,2047,
7,255,2047,
252,73,-951,
248,0,-2048,
251,88,-1192,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
250,164,-1372,
7,255,2047,
7,255,2047,
3,67,835,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
251,172,-1108,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,218,1242,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,231,487,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,210,210,
7,255,2047,
7,255,2047,
252,108,-916,
248,0,-2048,
250,152,-1384,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,236,-1812,
7,255,2047,
7,255,2047,
4,80,1104,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
253,6,-762,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,99,1635,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,13,269,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,97,97,
7,255,2047,
7,255,2047,
253,155,-613,
248,0,-2048,
248,61,-1987,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,93,-1955,
7,255,2047,
7,255,2047,
5,195,1475,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
254,148,-364,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,189,1725,
248,0,-2048,
248,0,-2048,
7,28,1820,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,38,294,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
254,116,-396,
7,255,2047,
7,255,2047,
0,170,170,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,179,1971,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
0,131,131,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
6,131,1667,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
5,226,1506,
7,255,2047,
7,255,2047,
