First Byte, Second Byte, Brainwave Value, 21
253,227,-541,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,132,-124,
7,255,2047,
7,255,2047,
0,138,138,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,96,1888,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
251,43,-1237,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
5,82,1362,
7,255,2047,
4,109,1133,
248,0,-2048,
248,0,-2048,
6,109,1645,
7,255,2047,
7,255,2047,
249,22,-1770,
248,0,-2048,
251,182,-1098,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,188,-836,
7,255,2047,
7,255,2047,
1,178,434,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
253,186,-582,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
4,2,1026,
7,255,2047,
6,130,1666,
248,0,-2048,
248,0,-2048,
4,48,1072,
7,255,2047,
7,255,2047,
249,135,-1657,
248,0,-2048,
250,153,-1383,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,39,-1241,
7,255,2047,
7,255,2047,
3,153,921,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
0,34,34,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,24,280,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
2,129,641,
7,255,2047,
7,255,2047,
253,150,-618,
248,0,-2048,
248,204,-1844,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,99,-1693,
7,255,2047,
7,255,2047,
5,202,1482,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
249,24,-1768,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,99,611,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
254,191,-321,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,235,-21,
7,255,2047,
7,255,2047,
