First Byte, Second Byte, Brainwave Value, 29
250,216,-1320,
7,255,2047,
7,255,2047,
0,39,39,
249,93,-1699,
249,168,-1624,
249,235,-1557,
250,40,-1496,
250,95,-1441,
250,152,-1384,
250,205,-1331,
7,255,2047,
7,255,2047,
7,255,2047,
249,71,-1721,
249,149,-1643,
249,219,-1573,
250,76,-1460,
250,75,-1461,
250,132,-1404,
250,186,-1350,
0,205,205,
7,255,2047,
7,255,2047,
249,20,-1772,
249,99,-1693,
249,172,-1620,
252,55,-969,
253,29,-739,
250,13,-1523,
250,88,-1448,
6,70,1606,
7,255,2047,
7,255,2047,
251,202,-1078,
248,167,-1881,
248,247,-1801,
251,253,-1027,
0,246,246,
249,59,-1733,
249,143,-1649,
249,218,-1574,
7,255,2047,
7,255,2047,
4,181,1205,
248,126,-1922,
248,211,-1837,
249,31,-1761,
249,98,-1694,
249,157,-1635,
249,219,-1573,
250,24,-1512,
1,53,309,
7,255,2047,
7,255,2047,
248,218,-1830,
249,42,-1750,
249,118,-1674,
251,7,-1273,
249,218,-1574,
250,26,-1510,
250,89,-1447,
252,245,-779,
7,255,2047,
7,255,2047,
248,228,-1820,
249,52,-1740,
249,126,-1666,
252,66,-958,
249,203,-1589,
250,8,-1528,
250,75,-1461,
250,163,-1373,
7,255,2047,
7,255,2047,
251,249,-1031,
249,18,-1774,
249,93,-1699,
251,234,-1046,
0,224,224,
249,163,-1629,
249,242,-1550,
250,57,-1479,
7,255,2047,
7,255,2047,
5,97,1377,
248,214,-1834,
249,38,-1754,
249,115,-1677,
249,200,-1592,
249,228,-1564,
250,31,-1505,
250,91,-1445,
0,197,197,
7,255,2047,
7,255,2047,
249,4,-1788,
249,84,-1708,
249,157,-1635,
250,238,-1298,
250,5,-1531,
250,67,-1469,
250,126,-1410,
1,137,393,
7,255,2047,
7,255,2047,
248,204,-1844,
249,15,-1777,
249,95,-1697,
1,135,391,
3,92,860,
249,91,-1701,
249,179,-1613,
255,76,-180,
7,255,2047,
7,255,2047,
255,86,-170,
248,72,-1976,
248,155,-1893,
248,235,-1813,
249,42,-1750,
249,105,-1687,
249,169,-1623,
249,233,-1559,
7,171,1963,
7,255,2047,
4,129,1153,
248,183,-1865,
249,8,-1784,
249,86,-1706,
252,24,-1000,
249,168,-1624,
249,239,-1553,
250,50,-1486,
0,248,248,
7,255,2047,
7,255,2047,
248,211,-1837,
249,36,-1756,
249,111,-1681,
250,186,-1350,
249,218,-1574,
250,25,-1511,
250,87,-1449,
253,41,-727,
7,255,2047,
7,255,2047,
248,215,-1833,
249,20,-1772,
249,98,-1694,
250,156,-1380,
249,198,-1594,
250,7,-1529,
250,71,-1465,
250,133,-1403,
7,255,2047,
7,255,2047,
254,37,-475,
249,38,-1754,
249,115,-1677,
249,188,-1604,
249,245,-1547,
250,42,-1494,
250,101,-1435,
250,157,-1379,
7,255,2047,
7,255,2047,
6,203,1739,
249,51,-1741,
249,126,-1666,
249,200,-1592,
250,142,-1394,
250,51,-1485,
250,107,-1429,
250,166,-1370,
3,29,797,
7,255,2047,
7,255,2047,
249,11,-1781,
249,91,-1701,
249,165,-1627,
249,244,-1548,
250,27,-1509,
250,85,-1451,
250,141,-1395,
251,121,-1159,
7,255,2047,
7,255,2047,
249,55,-1737,
249,77,-1715,
249,154,-1638,
254,125,-387,
1,184,440,
249,188,-1604,
250,13,-1523,
251,108,-1172,
7,255,2047,
7,255,2047,
1,248,504,
248,165,-1883,
248,246,-1802,
249,84,-1708,
249,182,-1610,
249,171,-1621,
249,237,-1555,
250,44,-1492,
6,33,1569,
7,255,2047,
7,255,2047,
248,215,-1833,
249,40,-1752,
249,157,-1635,
7,255,2047,
3,33,801,
248,231,-1817,
249,61,-1731,
3,250,1018,
7,255,2047,
7,255,2047,
248,0,-2048,
248,60,-1988,
248,147,-1901,
253,66,-702,
248,211,-1837,
249,34,-1758,
249,110,-1682,
249,219,-1573,
7,255,2047,
7,255,2047,
249,56,-1736,
248,132,-1916,
248,213,-1835,
250,204,-1332,
249,91,-1701,
249,115,-1677,
249,186,-1606,
249,255,-1537,
7,255,2047,
7,255,2047,
0,82,82,
248,202,-1846,
249,28,-1764,
251,5,-1275,
7,103,1895,
249,29,-1763,
249,119,-1673,
249,197,-1595,
7,255,2047,
7,255,2047,
7,255,2047,
248,91,-1957,
248,175,-1873,
249,2,-1790,
1,84,340,
249,19,-1773,
249,105,-1687,
249,181,-1611,
253,21,-747,
7,255,2047,
7,255,2047,
248,104,-1944,
248,187,-1861,
249,11,-1781,
249,86,-1706,
249,142,-1650,
249,204,-1588,
250,9,-1527,
250,77,-1459,
7,255,2047,
7,255,2047,
249,102,-1690,
249,3,-1789,
249,78,-1714,
255,121,-135,
7,255,2047,
249,20,-1772,
249,60,-1732,
250,210,-1326,
7,255,2047,
7,255,2047,
3,231,999,
248,5,-2043,
248,89,-1959,
248,171,-1877,
248,239,-1809,
249,46,-1746,
249,114,-1678,
249,180,-1612,
4,91,1115,
7,255,2047,
7,255,2047,
248,114,-1934,
248,197,-1851,
249,22,-1770,
1,196,452,
249,76,-1716,
249,105,-1687,
249,183,-1609,
255,148,-108,
7,255,2047,
7,255,2047,
248,79,-1969,
248,164,-1884,
248,244,-1804,
249,62,-1730,
249,121,-1671,
249,183,-1609,
249,245,-1547,
250,54,-1482,
7,255,2047,
7,255,2047,
249,255,-1537,
248,247,-1801,
249,70,-1722,
249,140,-1652,
249,201,-1591,
250,4,-1532,
250,62,-1474,
250,121,-1415,
7,255,2047,
7,255,2047,
2,36,548,
249,24,-1768,
249,101,-1691,
249,172,-1620,
249,239,-1553,
250,31,-1505,
250,89,-1447,
250,148,-1388,
6,225,1761,
7,255,2047,
7,255,2047,
249,5,-1787,
249,85,-1707,
249,158,-1634,
255,115,-141,
249,191,-1601,
250,8,-1528,
250,77,-1459,
252,116,-908,
7,255,2047,
7,255,2047,
248,216,-1832,
249,38,-1754,
249,114,-1678,
249,190,-1602,
249,238,-1554,
250,40,-1496,
250,99,-1437,
250,158,-1378,
7,255,2047,
7,255,2047,
250,31,-1505,
249,72,-1720,
249,147,-1645,
249,216,-1576,
250,19,-1517,
250,74,-1462,
250,131,-1405,
250,186,-1350,
7,255,2047,
7,255,2047,
6,99,1635,
249,54,-1738,
249,131,-1661,
249,215,-1577,
4,34,1058,
249,174,-1618,
249,255,-1537,
250,73,-1463,
2,132,644,
7,255,2047,
7,255,2047,
248,232,-1816,
249,57,-1735,
249,132,-1660,
249,202,-1590,
249,255,-1537,
250,55,-1481,
250,111,-1425,
253,206,-562,
7,255,2047,
7,255,2047,
248,223,-1825,
249,45,-1747,
249,121,-1671,
250,228,-1308,
253,71,-697,
249,233,-1559,
250,50,-1486,
250,120,-1416,
7,255,2047,
7,255,2047,
252,158,-866,
249,21,-1771,
249,99,-1693,
249,170,-1622,
249,230,-1562,
250,29,-1507,
250,87,-1449,
250,147,-1389,
7,255,2047,
7,255,2047,
5,235,1515,
249,11,-1781,
249,89,-1703,
249,163,-1629,
249,235,-1557,
250,24,-1512,
250,79,-1457,
250,138,-1398,
4,188,1212,
7,255,2047,
7,255,2047,
248,248,-1800,
249,71,-1721,
249,142,-1650,
249,211,-1581,
250,11,-1525,
250,69,-1467,
250,125,-1411,
252,239,-785,
7,255,2047,
7,255,2047,
248,239,-1809,
249,54,-1738,
249,130,-1662,
250,218,-1318,
0,197,197,
249,205,-1587,
250,28,-1508,
250,104,-1432,
7,255,2047,
7,255,2047,
254,190,-322,
248,235,-1813,
249,58,-1734,
249,134,-1658,
249,226,-1566,
249,247,-1545,
250,52,-1484,
250,110,-1426,
7,255,2047,
7,255,2047,
6,245,1781,
248,244,-1804,
249,67,-1725,
249,141,-1651,
253,252,-516,
249,190,-1602,
250,10,-1526,
250,79,-1457,
3,50,818,
7,255,2047,
7,255,2047,
248,204,-1844,
249,30,-1762,
249,106,-1686,
250,4,-1532,
249,222,-1570,
250,25,-1511,
250,86,-1450,
251,178,-1102,
7,255,2047,
7,255,2047,
249,21,-1771,
249,27,-1765,
249,103,-1689,
249,183,-1609,
249,236,-1556,
250,25,-1511,
250,86,-1450,
250,148,-1388,
7,255,2047,
7,255,2047,
255,133,-123,
249,18,-1774,
249,94,-1698,
249,172,-1620,
0,42,42,
249,191,-1601,
250,14,-1522,
250,86,-1450,
7,255,2047,
7,255,2047,
7,255,2047,
248,227,-1821,
249,52,-1740,
249,126,-1666,
249,190,-1602,
249,248,-1544,
250,52,-1484,
250,108,-1428,
255,170,-86,
7,255,2047,
7,255,2047,
248,244,-1804,
249,68,-1724,
249,141,-1651,
249,228,-1564,
250,7,-1529,
250,61,-1475,
250,119,-1417,
251,127,-1153,
7,255,2047,
7,255,2047,
249,139,-1653,
249,47,-1745,
249,122,-1670,
249,196,-1596,
249,252,-1540,
250,51,-1485,
250,107,-1429,
250,168,-1368,
7,255,2047,
7,255,2047,
0,181,181,
249,26,-1766,
249,103,-1689,
249,174,-1618,
250,147,-1389,
250,24,-1512,
250,85,-1451,
250,143,-1393,
7,255,2047,
7,255,2047,
7,255,2047,
249,10,-1782,
249,89,-1703,
249,163,-1629,
249,226,-1566,
250,27,-1509,
250,85,-1451,
250,140,-1396,
0,137,137,
7,255,2047,
7,255,2047,
248,250,-1798,
249,73,-1719,
249,149,-1643,
250,117,-1419,
250,133,-1403,
250,41,-1495,
250,105,-1431,
251,60,-1220,
7,255,2047,
7,255,2047,
250,22,-1514,
249,40,-1752,
249,116,-1676,
249,186,-1606,
249,246,-1546,
250,43,-1493,
250,102,-1434,
250,159,-1377,
7,255,2047,
7,255,2047,
1,200,456,
249,38,-1754,
249,115,-1677,
249,187,-1605,
253,38,-730,
249,249,-1543,
250,66,-1470,
250,132,-1404,
5,225,1505,
7,255,2047,
7,255,2047,
249,12,-1780,
249,92,-1700,
249,167,-1625,
251,38,-1242,
250,7,-1529,
