First Byte, Second Byte, Brainwave Value, 28
3,243,1011,
248,4,-2044,
248,87,-1961,
248,169,-1879,
248,238,-1810,
249,46,-1746,
249,114,-1678,
249,179,-1613,
1,67,323,
7,255,2047,
7,255,2047,
248,132,-1916,
248,215,-1833,
249,38,-1754,
7,255,2047,
7,255,2047,
6,91,1627,
6,74,1610,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
254,37,-475,
252,254,-770,
248,0,-2048,
248,0,-2048,
249,168,-1624,
7,255,2047,
7,255,2047,
251,230,-1050,
248,0,-2048,
248,0,-2048,
1,169,425,
7,255,2047,
7,255,2047,
7,255,2047,
4,91,1115,
7,255,2047,
7,255,2047,
6,24,1560,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,75,1867,
248,0,-2048,
248,0,-2048,
248,0,-2048,
4,156,1180,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
3,153,921,
248,0,-2048,
248,0,-2048,
249,174,-1618,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
255,246,-10,
0,90,90,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
254,57,-455,
248,0,-2048,
248,0,-2048,
248,221,-1827,
255,233,-23,
248,0,-2048,
248,58,-1990,
248,142,-1906,
7,255,2047,
7,255,2047,
7,128,1920,
248,0,-2048,
248,0,-2048,
248,124,-1924,
7,86,1878,
249,180,-1612,
248,57,-1991,
248,141,-1907,
6,25,1561,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,8,-2040,
250,30,-1506,
248,119,-1929,
248,200,-1848,
249,20,-1772,
251,84,-1196,
7,255,2047,
7,255,2047,
248,82,-1966,
248,36,-2012,
248,120,-1928,
5,6,1286,
7,255,2047,
4,38,1062,
7,200,1992,
2,184,696,
7,255,2047,
7,255,2047,
1,33,289,
248,0,-2048,
248,0,-2048,
249,138,-1654,
4,165,1189,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,95,-1953,
7,255,2047,
5,76,1356,
252,244,-780,
248,216,-1832,
6,163,1699,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,4,-2044,
248,87,-1961,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
1,209,465,
7,255,2047,
3,234,1002,
7,231,2023,
1,165,421,
7,255,2047,
7,255,2047,
1,187,443,
248,0,-2048,
248,0,-2048,
248,0,-2048,
250,70,-1466,
248,0,-2048,
248,0,-2048,
248,0,-2048,
6,75,1611,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
253,12,-756,
248,0,-2048,
248,86,-1962,
248,168,-1880,
0,45,45,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,44,-2004,
251,18,-1262,
248,150,-1898,
248,214,-1834,
249,37,-1755,
249,139,-1653,
7,255,2047,
7,255,2047,
249,235,-1557,
248,70,-1978,
248,153,-1895,
253,71,-697,
7,105,1897,
249,107,-1685,
249,124,-1668,
250,4,-1532,
7,255,2047,
7,255,2047,
4,123,1147,
248,0,-2048,
248,30,-2018,
248,158,-1890,
251,175,-1105,
248,197,-1851,
249,22,-1770,
249,98,-1694,
6,176,1712,
7,255,2047,
7,255,2047,
248,28,-2020,
248,115,-1933,
248,205,-1843,
7,255,2047,
2,16,528,
249,21,-1771,
249,98,-1694,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,2,-2046,
251,47,-1233,
248,247,-1801,
248,159,-1889,
248,244,-1804,
250,42,-1494,
7,255,2047,
7,255,2047,
252,9,-1015,
248,0,-2048,
248,84,-1964,
3,10,778,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
6,89,1625,
248,0,-2048,
248,0,-2048,
248,0,-2048,
1,253,509,
248,0,-2048,
248,0,-2048,
248,0,-2048,
3,125,893,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
1,52,308,
248,0,-2048,
248,0,-2048,
253,8,-760,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
253,250,-518,
251,77,-1203,
248,0,-2048,
248,0,-2048,
248,79,-1969,
7,255,2047,
7,255,2047,
252,143,-881,
248,0,-2048,
248,0,-2048,
255,86,-170,
7,255,2047,
7,255,2047,
7,255,2047,
5,133,1413,
7,255,2047,
7,255,2047,
6,42,1578,
248,0,-2048,
248,0,-2048,
248,0,-2048,
253,196,-572,
248,0,-2048,
248,0,-2048,
248,0,-2048,
254,35,-477,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,214,2006,
2,68,580,
248,0,-2048,
248,0,-2048,
254,115,-397,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
4,25,1049,
7,255,2047,
249,130,-1662,
250,203,-1333,
252,6,-1018,
7,255,2047,
7,255,2047,
255,14,-242,
248,0,-2048,
248,0,-2048,
254,39,-473,
7,255,2047,
254,95,-417,
255,79,-177,
249,20,-1772,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,40,-2008,
7,255,2047,
255,187,-69,
248,0,-2048,
248,0,-2048,
4,7,1031,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
5,237,1517,
255,67,-189,
248,0,-2048,
248,0,-2048,
253,54,-714,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
0,58,58,
1,234,490,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
0,56,56,
248,0,-2048,
248,0,-2048,
248,0,-2048,
249,52,-1740,
248,70,-1978,
248,150,-1898,
248,227,-1821,
3,245,1013,
7,255,2047,
7,255,2047,
248,0,-2048,
248,53,-1995,
249,18,-1774,
7,255,2047,
7,255,2047,
7,255,2047,
3,7,775,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,19,-2029,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,126,-1922,
250,243,-1293,
248,101,-1947,
248,185,-1863,
249,10,-1782,
7,255,2047,
7,255,2047,
1,26,282,
248,0,-2048,
248,82,-1966,
248,159,-1889,
248,230,-1818,
249,41,-1751,
249,107,-1685,
249,171,-1621,
4,49,1073,
7,255,2047,
7,255,2047,
248,125,-1923,
248,211,-1837,
249,30,-1762,
250,46,-1490,
249,146,-1646,
249,211,-1581,
250,18,-1518,
255,151,-105,
7,255,2047,
7,255,2047,
248,153,-1895,
248,234,-1814,
249,55,-1737,
249,125,-1667,
249,186,-1606,
249,246,-1546,
250,47,-1489,
250,110,-1426,
7,255,2047,
7,255,2047,
249,255,-1537,
249,28,-1764,
249,106,-1686,
249,178,-1614,
249,236,-1556,
250,37,-1499,
250,93,-1443,
250,153,-1383,
7,255,2047,
7,255,2047,
2,242,754,
249,56,-1736,
249,133,-1659,
249,203,-1589,
250,8,-1528,
250,62,-1474,
250,120,-1416,
250,173,-1363,
2,48,560,
7,255,2047,
7,255,2047,
249,67,-1725,
249,143,-1649,
249,216,-1576,
250,23,-1513,
250,76,-1460,
250,132,-1404,
250,185,-1351,
252,62,-962,
7,255,2047,
7,255,2047,
249,51,-1741,
249,127,-1665,
249,202,-1590,
255,215,-41,
4,245,1269,
249,187,-1605,
250,13,-1523,
251,121,-1159,
7,255,2047,
7,255,2047,
253,34,-734,
248,200,-1848,
249,25,-1767,
249,108,-1684,
249,158,-1634,
249,216,-1576,
250,21,-1515,
250,83,-1453,
7,255,2047,
7,255,2047,
5,85,1365,
248,251,-1797,
249,74,-1718,
249,148,-1644,
249,212,-1580,
250,12,-1524,
250,70,-1466,
250,125,-1411,
255,103,-153,
7,255,2047,
7,255,2047,
249,38,-1754,
249,117,-1675,
249,188,-1604,
249,252,-1540,
250,53,-1483,
250,108,-1428,
250,164,-1372,
251,131,-1149,
7,255,2047,
7,255,2047,
249,45,-1747,
249,122,-1670,
249,196,-1596,
250,6,-1530,
250,61,-1475,
250,117,-1419,
250,171,-1365,
250,229,-1307,
7,255,2047,
7,255,2047,
252,212,-812,
249,107,-1685,
249,182,-1610,
249,249,-1543,
250,52,-1484,
250,107,-1429,
250,162,-1374,
250,216,-1320,
7,255,2047,
7,255,2047,
4,200,1224,
249,109,-1683,
249,185,-1607,
249,252,-1540,
250,57,-1479,
250,111,-1425,
250,167,-1369,
250,219,-1317,
0,245,245,
7,255,2047,
7,255,2047,
249,85,-1707,
249,163,-1629,
249,233,-1559,
250,40,-1496,
250,94,-1442,
250,150,-1386,
250,202,-1334,
251,168,-1112,
7,255,2047,
7,255,2047,
249,68,-1724,
249,135,-1657,
249,206,-1586,
250,18,-1518,
250,73,-1463,
250,127,-1409,
250,182,-1354,
250,238,-1298,
7,255,2047,
7,255,2047,
254,79,-433,
249,121,-1671,
249,195,-1597,
250,6,-1530,
250,62,-1474,
250,120,-1416,
250,173,-1363,
250,228,-1308,
7,255,2047,
7,255,2047,
6,245,1781,
249,106,-1686,
249,182,-1610,
249,250,-1542,
250,55,-1481,
250,108,-1428,
250,165,-1371,
250,216,-1320,
255,3,-253,
7,255,2047,
7,255,2047,
249,79,-1713,
249,157,-1635,
249,229,-1563,
250,37,-1499,
250,90,-1446,
250,143,-1393,
250,199,-1337,
251,27,-1253,
7,255,2047,
7,255,2047,
249,114,-1678,
249,140,-1652,
249,213,-1579,
250,25,-1511,
250,78,-1458,
250,132,-1404,
250,185,-1351,
250,243,-1293,
7,255,2047,
7,255,2047,
1,70,326,
249,102,-1690,
249,178,-1614,
249,244,-1548,
250,47,-1489,
250,105,-1431,
250,157,-1379,
250,212,-1324,
4,119,1143,
7,255,2047,
7,135,1927,
249,115,-1677,
249,189,-1603,
250,5,-1531,
254,110,-402,
254,215,-297,
250,72,-1464,
250,132,-1404,
7,255,2047,
7,255,2047,
7,255,2047,
248,173,-1875,
248,255,-1793,
249,76,-1716,
249,151,-1641,
249,204,-1588,
250,7,-1529,
250,67,-1469,
250,150,-1386,
7,255,2047,
7,255,2047,
250,24,-1512,
249,22,-1770,
249,100,-1692,
250,44,-1492,
253,72,-696,
249,220,-1572,
250,39,-1497,
250,107,-1429,
7,255,2047,
7,255,2047,
3,44,812,
249,11,-1781,
249,89,-1703,
249,163,-1629,
249,223,-1569,
250,25,-1511,
250,83,-1453,
250,138,-1398,
2,227,739,
7,255,2047,
7,255,2047,
249,45,-1747,
249,123,-1669,
249,198,-1594,
251,116,-1164,
250,29,-1507,
250,90,-1446,
250,151,-1385,
0,27,27,
7,255,2047,
7,255,2047,
248,246,-1802,
249,69,-1723,
249,142,-1650,
249,212,-1580,
250,11,-1525,
250,69,-1467,
250,124,-1412,
250,185,-1351,
7,255,2047,
7,255,2047,
250,164,-1372,
249,79,-1713,
249,155,-1637,
249,234,-1558,
250,108,-1428,
250,68,-1468,
250,126,-1410,
250,186,-1350,
7,255,2047,
7,255,2047,
5,119,1399,
249,34,-1758,
249,109,-1683,
249,183,-1609,
249,244,-1548,
250,43,-1493,
250,100,-1436,
250,155,-1381,
0,185,185,
7,255,2047,
7,255,2047,
249,63,-1729,
249,140,-1652,
249,214,-1578,
250,103,-1433,
250,68,-1468,
250,123,-1413,
250,180,-1356,
254,76,-436,
7,255,2047,
7,255,2047,
249,13,-1779,
249,90,-1702,
249,165,-1627,
249,246,-1546,
250,29,-1507,
250,85,-1451,
250,141,-1395,
250,201,-1335,
7,255,2047,
7,255,2047,
252,63,-961,
249,89,-1703,
249,164,-1628,
249,233,-1559,
250,35,-1501,
250,89,-1447,
250,143,-1393,
250,200,-1336,
7,255,2047,
7,255,2047,
5,180,1460,
249,76,-1716,
249,153,-1639,
249,223,-1569,
250,28,-1508,
250,82,-1454,
250,137,-1399,
250,190,-1346,
0,202,202,
7,255,2047,
7,255,2047,
249,63,-1729,
249,141,-1651,
