First Byte, Second Byte, Brainwave Value, 20
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
253,43,-725,
7,255,2047,
7,255,2047,
6,228,1764,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
251,150,-1130,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,202,1226,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
0,188,188,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,237,2029,
7,255,2047,
7,255,2047,
5,38,1318,
248,0,-2048,
250,31,-1505,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,219,-37,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
0,37,37,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,81,337,
7,255,2047,
7,133,1925,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
255,101,-155,
248,0,-2048,
253,243,-525,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
2,85,597,
7,255,2047,
7,255,2047,
6,133,1669,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
251,102,-1178,
248,0,-2048,
249,117,-1675,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,0,1536,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
250,41,-1495,
248,0,-2048,
3,1,769,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
2,57,569,
248,0,-2048,
248,101,-1947,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,51,307,
7,255,2047,
7,255,2047,
7,27,1819,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
