First Byte, Second Byte, Brainwave Value, 26
249,204,-1588,
250,8,-1528,
250,68,-1468,
250,122,-1414,
250,183,-1353,
7,255,2047,
7,255,2047,
254,140,-372,
249,34,-1758,
249,108,-1684,
249,178,-1614,
249,238,-1554,
250,42,-1494,
250,101,-1435,
5,186,1466,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,46,-1746,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,197,1989,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,204,1996,
248,0,-2048,
248,0,-2048,
251,27,-1253,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,244,2036,
7,171,1963,
7,107,1899,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,200,1992,
7,130,1922,
7,60,1852,
6,251,1787,
255,204,-52,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,185,1977,
7,116,1908,
7,43,1835,
6,233,1769,
6,179,1715,
248,0,-2048,
248,0,-2048,
248,0,-2048,
254,122,-390,
7,255,2047,
7,255,2047,
3,220,988,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
6,118,1654,
7,255,2047,
7,255,2047,
5,48,1328,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
0,154,154,
7,255,2047,
7,255,2047,
7,255,2047,
253,203,-565,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,231,-1817,
7,255,2047,
7,255,2047,
7,255,2047,
4,152,1176,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
252,248,-776,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,101,-1947,
7,255,2047,
7,255,2047,
7,255,2047,
253,213,-555,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,3,-2045,
248,79,-1969,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,3,-2045,
248,77,-1971,
0,59,59,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,4,-2044,
248,76,-1972,
248,255,-1793,
7,255,2047,
7,255,2047,
7,255,2047,
249,3,-1789,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,72,-1976,
248,148,-1900,
7,255,2047,
7,255,2047,
7,255,2047,
3,122,890,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,57,-1991,
248,133,-1915,
3,128,896,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,44,-2004,
248,119,-1929,
250,41,-1495,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,31,-2017,
248,107,-1941,
248,183,-1865,
7,255,2047,
7,255,2047,
7,255,2047,
255,108,-148,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,10,-2038,
248,85,-1963,
248,157,-1891,
7,11,1803,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,73,-1975,
248,148,-1900,
253,254,-514,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,57,-1991,
248,132,-1916,
248,231,-1817,
7,255,2047,
7,255,2047,
7,255,2047,
249,92,-1700,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,38,-2010,
248,110,-1938,
248,186,-1862,
7,255,2047,
7,255,2047,
7,255,2047,
4,148,1172,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,8,-2040,
248,84,-1964,
248,156,-1892,
0,252,252,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,71,-1977,
248,143,-1905,
250,185,-1351,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,40,-2008,
248,115,-1933,
248,190,-1858,
7,255,2047,
7,255,2047,
7,255,2047,
255,133,-123,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,21,-2027,
248,94,-1954,
248,169,-1879,
6,132,1668,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,6,-2042,
248,79,-1969,
248,153,-1895,
252,40,-984,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,62,-1986,
248,137,-1911,
248,230,-1818,
7,255,2047,
7,255,2047,
7,255,2047,
249,74,-1718,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,42,-2006,
248,117,-1931,
248,190,-1858,
7,255,2047,
7,255,2047,
7,255,2047,
5,72,1352,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,8,-2040,
248,83,-1965,
248,154,-1894,
0,225,225,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,63,-1985,
248,137,-1911,
250,99,-1437,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,30,-2018,
248,105,-1943,
248,182,-1866,
7,255,2047,
7,255,2047,
7,255,2047,
255,134,-122,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,18,-2030,
248,90,-1958,
248,165,-1883,
5,27,1307,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,2,-2046,
248,76,-1972,
248,150,-1898,
253,120,-648,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,42,-2006,
248,117,-1931,
248,219,-1829,
7,255,2047,
7,255,2047,
7,255,2047,
251,146,-1134,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,15,-2033,
248,90,-1958,
248,165,-1883,
7,255,2047,
7,255,2047,
7,255,2047,
5,148,1428,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,10,-2038,
248,85,-1963,
248,157,-1891,
0,73,73,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,62,-1986,
248,137,-1911,
249,246,-1546,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,35,-2013,
248,106,-1942,
248,183,-1865,
7,255,2047,
7,255,2047,
7,255,2047,
1,42,298,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,10,-2038,
248,85,-1963,
248,158,-1890,
4,50,1074,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,71,-1977,
248,143,-1905,
251,217,-1063,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,47,-2001,
248,122,-1926,
248,207,-1841,
7,255,2047,
7,255,2047,
7,255,2047,
251,216,-1064,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,22,-2026,
248,98,-1950,
248,171,-1877,
7,255,2047,
7,255,2047,
7,255,2047,
6,114,1650,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,14,-2034,
248,89,-1959,
248,163,-1885,
0,121,121,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,61,-1987,
248,135,-1913,
250,15,-1521,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,29,-2019,
248,103,-1945,
248,180,-1868,
7,255,2047,
7,255,2047,
7,255,2047,
0,212,212,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,14,-2034,
248,89,-1959,
248,164,-1884,
4,10,1034,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,71,-1977,
248,142,-1906,
250,206,-1330,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,56,-1992,
248,127,-1921,
248,204,-1844,
7,255,2047,
7,255,2047,
7,255,2047,
252,117,-907,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,38,-2010,
248,114,-1934,
248,186,-1862,
7,255,2047,
7,255,2047,
7,255,2047,
6,237,1773,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,23,-2025,
248,95,-1953,
248,169,-1879,
255,92,-164,
7,255,2047,
