First Byte, Second Byte, Brainwave Value, 2
7,255,2047,
253,189,-579,
253,234,-534,
254,12,-500,
254,39,-473,
254,58,-454,
254,77,-435,
254,99,-413,
254,114,-398,
254,135,-377,
7,255,2047,
253,232,-536,
253,255,-513,
254,36,-476,
254,62,-450,
254,83,-429,
254,101,-411,
254,119,-393,
254,135,-377,
254,151,-361,
7,58,1850,
1,192,448,
254,41,-471,
254,75,-437,
254,105,-407,
254,123,-389,
254,139,-373,
254,156,-356,
254,172,-340,
254,185,-327,
1,12,268,
7,255,2047,
254,57,-455,
254,93,-419,
254,123,-389,
254,143,-369,
254,158,-354,
254,174,-338,
254,191,-321,
254,203,-309,
255,98,-158,
7,255,2047,
253,248,-520,
254,30,-482,
254,67,-445,
254,92,-420,
254,109,-403,
254,126,-386,
254,146,-366,
254,162,-350,
254,178,-334,
7,255,2047,
2,225,737,
253,195,-573,
253,235,-533,
254,11,-501,
254,34,-478,
254,54,-458,
254,73,-439,
254,92,-420,
254,108,-404,
2,40,552,
7,58,1850,
253,248,-520,
254,29,-483,
254,61,-451,
254,85,-427,
254,102,-410,
254,119,-393,
254,138,-374,
254,152,-360,
1,121,377,
7,255,2047,
253,135,-633,
253,184,-584,
253,221,-547,
253,251,-517,
254,15,-497,
254,38,-474,
254,59,-453,
254,77,-435,
254,105,-407,
7,255,2047,
0,118,118,
253,107,-661,
253,151,-617,
253,186,-582,
253,212,-556,
253,234,-534,
253,255,-513,
254,22,-490,
254,42,-470,
7,255,2047,
7,255,2047,
253,92,-676,
253,139,-629,
253,175,-593,
253,203,-565,
253,228,-540,
253,251,-517,
254,19,-493,
254,36,-476,
4,168,1192,
7,255,2047,
252,222,-802,
253,21,-747,
253,63,-705,
253,100,-668,
253,125,-643,
253,152,-616,
253,179,-589,
253,201,-567,
253,254,-514,
7,255,2047,
254,186,-326,
252,246,-778,
253,38,-730,
253,75,-693,
253,105,-663,
253,133,-635,
253,157,-611,
253,183,-585,
253,206,-562,
7,255,2047,
7,255,2047,
252,163,-861,
252,214,-810,
253,3,-765,
253,36,-732,
253,66,-702,
253,92,-676,
253,121,-647,
253,147,-621,
2,36,548,
7,255,2047,
252,185,-839,
252,242,-782,
253,28,-740,
253,63,-705,
253,93,-675,
253,121,-647,
253,149,-619,
253,171,-597,
254,30,-482,
7,255,2047,
253,191,-577,
252,218,-806,
253,10,-758,
253,47,-721,
253,78,-690,
253,106,-662,
253,134,-634,
253,158,-610,
253,186,-582,
7,255,2047,
6,16,1552,
252,201,-823,
252,252,-772,
253,39,-729,
253,70,-698,
253,100,-668,
253,125,-643,
253,152,-616,
253,175,-593,
6,150,1686,
7,255,2047,
252,155,-869,
252,212,-812,
252,255,-769,
253,36,-732,
253,66,-702,
253,94,-674,
253,123,-645,
253,148,-620,
255,60,-196,
7,255,2047,
252,204,-820,
252,179,-845,
252,227,-797,
253,10,-758,
253,40,-728,
253,71,-697,
253,100,-668,
253,124,-644,
253,154,-614,
7,255,2047,
3,129,897,
252,166,-858,
252,217,-807,
253,4,-764,
253,36,-732,
253,66,-702,
253,93,-675,
253,121,-647,
253,146,-622,
3,201,969,
7,255,2047,
252,239,-785,
253,36,-732,
253,75,-693,
253,107,-661,
253,135,-633,
253,162,-606,
253,186,-582,
253,207,-561,
255,104,-152,
7,255,2047,
252,227,-797,
253,21,-747,
253,66,-702,
253,101,-667,
253,127,-641,
253,154,-614,
253,181,-587,
253,204,-564,
254,15,-497,
7,255,2047,
2,105,617,
252,173,-851,
252,223,-801,
253,9,-759,
253,40,-728,
253,70,-698,
253,99,-669,
253,125,-643,
253,152,-616,
7,255,2047,
7,255,2047,
252,191,-833,
252,246,-778,
253,31,-737,
253,66,-702,
253,93,-675,
253,122,-646,
253,149,-619,
253,172,-596,
0,167,167,
7,255,2047,
252,190,-834,
252,247,-777,
253,36,-732,
253,72,-696,
253,101,-667,
253,127,-641,
253,154,-614,
253,179,-589,
253,232,-536,
7,255,2047,
255,109,-147,
252,205,-819,
252,254,-770,
253,39,-729,
253,70,-698,
253,99,-669,
253,125,-643,
253,152,-616,
253,175,-593,
7,255,2047,
7,85,1877,
252,234,-790,
253,28,-740,
253,69,-699,
253,101,-667,
253,126,-642,
253,154,-614,
253,180,-588,
253,201,-567,
1,160,416,
7,255,2047,
252,242,-782,
253,39,-729,
253,79,-689,
253,115,-653,
253,140,-628,
253,167,-601,
253,191,-577,
