First Byte, Second Byte, Brainwave Value, 1
250,249,-1287,
251,54,-1226,
2,115,627,
5,155,1435,
250,254,-1282,
251,72,-1208,
252,39,-985,
7,255,2047,
7,255,2047,
250,5,-1531,
250,78,-1458,
250,143,-1393,
253,83,-685,
3,26,794,
250,164,-1372,
250,237,-1299,
251,44,-1236,
7,255,2047,
7,255,2047,
250,95,-1441,
250,12,-1524,
250,84,-1452,
250,188,-1348,
0,19,19,
250,163,-1373,
250,234,-1302,
251,56,-1224,
7,255,2047,
7,255,2047,
254,22,-490,
249,216,-1576,
250,31,-1505,
250,103,-1433,
3,48,816,
252,180,-844,
250,120,-1416,
251,152,-1128,
5,243,1523,
7,255,2047,
7,255,2047,
249,43,-1749,
249,123,-1669,
249,199,-1593,
2,106,618,
254,67,-445,
249,226,-1566,
250,50,-1486,
250,154,-1382,
7,255,2047,
7,255,2047,
249,39,-1753,
249,121,-1671,
249,196,-1596,
253,15,-753,
251,243,-1037,
250,35,-1501,
250,106,-1430,
250,170,-1366,
1,144,400,
7,255,2047,
250,203,-1333,
249,236,-1556,
250,53,-1483,
251,172,-1108,
7,255,2047,
7,255,2047,
253,205,-563,
7,255,2047,
7,255,2047,
7,255,2047,
6,41,1577,
248,0,-2048,
248,0,-2048,
248,63,-1985,
6,25,1561,
254,104,-408,
248,39,-2009,
249,20,-1772,
255,127,-129,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,53,-1995,
5,157,1437,
4,96,1120,
248,12,-2036,
248,115,-1933,
249,199,-1593,
7,255,2047,
7,255,2047,
248,3,-2045,
248,0,-2048,
248,73,-1975,
254,63,-449,
254,248,-264,
248,149,-1899,
248,238,-1810,
249,60,-1732,
254,186,-326,
7,255,2047,
252,238,-786,
248,175,-1873,
249,3,-1789,
250,53,-1483,
7,74,1866,
249,149,-1643,
249,79,-1713,
249,164,-1628,
254,61,-451,
7,255,2047,
7,231,2023,
248,182,-1866,
249,9,-1783,
249,90,-1702,
6,214,1750,
0,195,195,
249,55,-1737,
249,141,-1651,
251,25,-1255,
7,255,2047,
7,255,2047,
248,117,-1931,
248,199,-1849,
249,24,-1768,
2,68,580,
4,161,1185,
249,6,-1786,
249,95,-1697,
249,171,-1621,
7,255,2047,
7,255,2047,
249,43,-1749,
248,237,-1811,
249,61,-1731,
250,156,-1380,
3,81,849,
249,108,-1684,
249,197,-1595,
250,15,-1521,
4,184,1208,
7,255,2047,
1,184,440,
249,9,-1783,
249,88,-1704,
249,164,-1628,
255,62,-194,
249,195,-1597,
250,14,-1522,
250,88,-1448,
253,153,-615,
7,255,2047,
7,255,2047,
249,40,-1752,
249,119,-1673,
249,195,-1597,
3,104,872,
0,119,119,
249,197,-1595,
250,23,-1513,
250,220,-1316,
7,255,2047,
7,255,2047,
248,242,-1806,
249,63,-1729,
249,140,-1652,
255,60,-196,
7,255,2047,
249,83,-1709,
249,173,-1619,
249,251,-1541,
7,255,2047,
7,255,2047,
254,130,-382,
248,246,-1802,
249,70,-1722,
249,204,-1588,
254,110,-402,
249,188,-1604,
250,9,-1527,
250,76,-1460,
250,157,-1379,
7,255,2047,
3,203,971,
249,181,-1611,
250,2,-1534,
250,71,-1465,
0,152,152,
252,162,-862,
250,121,-1415,
250,195,-1341,
251,202,-1078,
7,255,2047,
7,255,2047,
249,149,-1643,
249,226,-1566,
250,40,-1496,
251,252,-1028,
251,212,-1068,
250,150,-1386,
250,216,-1320,
251,19,-1261,
7,210,2002,
7,255,2047,
250,19,-1517,
250,93,-1443,
250,159,-1377,
250,221,-1315,
251,27,-1253,
251,57,-1223,
251,105,-1175,
251,152,-1128,
255,78,-178,
7,255,2047,
255,83,-173,
250,151,-1385,
250,217,-1319,
251,23,-1257,
255,20,-236,
251,44,-1236,
251,107,-1173,
251,165,-1115,
252,223,-801,
7,255,2047,
7,255,2047,
250,118,-1418,
250,186,-1350,
250,249,-1287,
253,37,-731,
251,204,-1076,
251,86,-1194,
251,146,-1134,
251,199,-1081,
7,255,2047,
7,255,2047,
250,91,-1445,
250,164,-1372,
250,228,-1308,
252,152,-872,
3,92,860,
250,245,-1291,
251,60,-1220,
251,121,-1159,
7,255,2047,
7,255,2047,
252,69,-955,
250,71,-1465,
250,139,-1397,
250,233,-1303,
3,105,873,
250,170,-1366,
250,245,-1291,
251,52,-1228,
254,156,-356,
7,255,2047,
4,201,1225,
250,29,-1507,
250,102,-1434,
250,168,-1368,
0,86,86,
250,218,-1318,
250,238,-1298,
251,46,-1234,
251,109,-1171,
7,255,2047,
7,255,2047,
250,50,-1486,
250,122,-1414,
250,187,-1349,
255,20,-236,
4,57,1081,
250,178,-1358,
250,252,-1284,
251,79,-1201,
7,255,2047,
7,255,2047,
249,194,-1598,
249,255,-1537,
250,70,-1466,
251,183,-1097,
5,67,1347,
250,71,-1465,
250,152,-1384,
250,219,-1317,
6,72,1608,
7,255,2047,
254,99,-413,
249,197,-1595,
250,13,-1523,
250,89,-1447,
0,144,144,
250,92,-1444,
250,167,-1369,
250,232,-1304,
251,216,-1064,
7,255,2047,
5,37,1317,
250,11,-1525,
250,85,-1451,
250,152,-1384,
252,181,-843,
250,217,-1319,
251,11,-1269,
251,70,-1210,
251,124,-1156,
7,255,2047,
7,255,2047,
250,55,-1481,
250,126,-1410,
250,191,-1345,
251,31,-1249,
251,61,-1219,
251,76,-1204,
251,126,-1154,
251,172,-1108,
5,247,1527,
7,255,2047,
250,200,-1336,
250,171,-1365,
250,236,-1300,
251,62,-1218,
255,165,-91,
251,57,-1223,
