First Byte, Second Byte, Brainwave Value, 11
7,255,2047,
7,255,2047,
252,70,-954,
252,125,-899,
252,171,-853,
252,210,-814,
252,244,-780,
253,19,-749,
253,46,-722,
253,76,-692,
3,181,949,
7,255,2047,
252,74,-950,
252,135,-889,
252,182,-842,
252,220,-804,
252,253,-771,
253,28,-740,
253,58,-710,
253,86,-682,
254,201,-311,
7,255,2047,
252,189,-835,
252,103,-921,
252,152,-872,
252,194,-830,
252,229,-795,
253,5,-763,
253,36,-732,
253,62,-706,
253,95,-673,
7,255,2047,
3,2,770,
252,92,-932,
252,147,-877,
252,189,-835,
252,227,-797,
253,4,-764,
253,34,-734,
253,61,-707,
253,92,-676,
7,255,2047,
7,255,2047,
252,72,-952,
252,126,-898,
252,173,-851,
252,212,-812,
252,246,-778,
253,22,-746,
253,51,-717,
253,77,-691,
4,58,1082,
7,255,2047,
252,45,-979,
252,105,-919,
252,153,-871,
252,194,-830,
252,229,-795,
253,4,-764,
253,34,-734,
253,61,-707,
254,3,-509,
7,255,2047,
253,13,-755,
252,98,-926,
252,148,-876,
252,188,-836,
252,226,-798,
253,2,-766,
253,30,-738,
253,60,-708,
253,92,-676,
7,255,2047,
4,113,1137,
252,90,-934,
252,143,-881,
252,187,-837,
252,223,-801,
252,255,-769,
253,30,-738,
253,60,-708,
253,89,-679,
7,255,2047,
7,255,2047,
252,84,-940,
252,140,-884,
252,185,-839,
252,223,-801,
252,255,-769,
253,30,-738,
253,60,-708,
253,88,-680,
2,193,705,
7,255,2047,
252,60,-964,
252,120,-904,
252,167,-857,
252,206,-818,
252,242,-782,
253,18,-750,
253,46,-722,
253,74,-694,
253,247,-521,
7,255,2047,
253,229,-539,
252,88,-936,
252,138,-886,
252,181,-843,
252,217,-807,
252,249,-775,
253,24,-744,
253,53,-715,
253,85,-683,
7,255,2047,
5,96,1376,
252,83,-941,
252,136,-888,
252,181,-843,
252,217,-807,
252,250,-774,
253,25,-743,
253,55,-713,
253,85,-683,
7,255,2047,
7,255,2047,
252,75,-949,
252,134,-890,
252,180,-844,
252,217,-807,
252,251,-773,
