First Byte, Second Byte, Brainwave Value, 32
248,0,-2048,
248,0,-2048,
6,35,1571,
5,208,1488,
5,145,1425,
5,89,1369,
5,40,1320,
4,43,1067,
4,233,1257,
4,177,1201,
251,20,-1260,
248,0,-2048,
253,202,-566,
5,250,1530,
5,182,1462,
5,124,1404,
5,72,1352,
5,13,1293,
4,154,1178,
4,212,1236,
2,136,648,
248,0,-2048,
250,105,-1431,
5,233,1513,
5,164,1444,
5,105,1385,
5,54,1334,
5,10,1290,
4,213,1237,
4,169,1193,
4,121,1145,
248,0,-2048,
248,0,-2048,
6,3,1539,
5,180,1460,
5,120,1400,
5,67,1347,
5,21,1301,
2,237,749,
4,210,1234,
4,160,1184,
248,0,-2048,
248,0,-2048,
5,235,1515,
5,197,1477,
5,134,1414,
5,80,1360,
5,28,1308,
4,244,1268,
4,193,1217,
4,148,1172,
254,67,-445,
248,0,-2048,
0,105,105,
5,183,1463,
5,117,1397,
5,61,1341,
5,11,1291,
4,229,1253,
4,178,1202,
4,136,1160,
2,88,600,
248,0,-2048,
248,0,-2048,
5,216,1496,
5,146,1426,
5,87,1367,
5,36,1316,
4,247,1271,
4,202,1226,
4,153,1177,
4,119,1143,
248,0,-2048,
248,0,-2048,
5,199,1479,
5,123,1403,
5,66,1346,
5,12,1292,
4,225,1249,
4,179,1203,
4,133,1157,
4,92,1116,
248,14,-2034,
248,0,-2048,
5,58,1338,
5,132,1412,
5,70,1350,
5,17,1297,
4,225,1249,
4,186,1210,
4,139,1163,
4,93,1117,
253,78,-690,
248,0,-2048,
255,131,-125,
5,154,1434,
5,89,1369,
5,37,1317,
4,243,1267,
4,201,1225,
4,154,1178,
4,108,1132,
4,23,1047,
248,0,-2048,
248,0,-2048,
5,148,1428,
5,80,1360,
5,23,1303,
4,230,1254,
4,192,1216,
2,67,579,
4,131,1155,
4,86,1110,
248,0,-2048,
248,0,-2048,
5,235,1515,
5,154,1434,
5,93,1373,
5,41,1321,
4,250,1274,
3,213,981,
4,171,1195,
4,124,1148,
249,67,-1725,
248,0,-2048,
4,106,1130,
5,162,1442,
5,99,1379,
5,44,1324,
4,250,1274,
4,211,1235,
4,162,1186,
4,117,1141,
1,104,360,
248,0,-2048,
0,198,198,
5,119,1399,
5,55,1335,
5,2,1282,
4,210,1234,
4,170,1194,
4,128,1152,
4,80,1104,
4,34,1058,
248,0,-2048,
248,0,-2048,
5,123,1403,
5,54,1334,
5,0,1280,
4,208,1232,
4,164,1188,
4,98,1122,
4,76,1100,
4,43,1067,
248,0,-2048,
248,0,-2048,
5,146,1426,
5,69,1349,
5,11,1291,
4,217,1241,
4,173,1197,
4,12,1036,
4,91,1115,
4,51,1075,
249,6,-1786,
248,0,-2048,
2,89,601,
5,129,1409,
5,66,1346,
5,12,1292,
4,220,1244,
4,85,1109,
4,163,1187,
4,106,1130,
255,253,-3,
248,0,-2048,
250,98,-1438,
5,181,1461,
5,114,1394,
5,57,1337,
5,7,1287,
4,219,1243,
4,178,1202,
4,128,1152,
4,85,1109,
248,0,-2048,
248,0,-2048,
5,192,1472,
5,117,1397,
5,59,1339,
5,8,1288,
4,219,1243,
4,179,1203,
4,129,1153,
4,92,1116,
248,0,-2048,
248,0,-2048,
5,176,1456,
5,97,1377,
5,38,1318,
4,243,1267,
4,196,1220,
4,156,1180,
4,108,1132,
4,69,1093,
253,188,-580,
248,0,-2048,
5,27,1307,
5,53,1333,
4,249,1273,
4,199,1223,
4,153,1177,
4,117,1141,
4,73,1097,
4,28,1052,
2,172,684,
248,0,-2048,
249,254,-1538,
5,86,1366,
5,22,1302,
4,226,1250,
4,178,1202,
4,141,1165,
2,64,576,
4,88,1112,
4,41,1065,
248,0,-2048,
248,0,-2048,
5,169,1449,
5,92,1372,
5,37,1317,
4,242,1266,
4,197,1221,
4,156,1180,
4,107,1131,
4,70,1094,
248,0,-2048,
248,0,-2048,
5,163,1443,
5,102,1382,
5,42,1322,
4,247,1271,
4,200,1224,
4,163,1187,
4,116,1140,
4,73,1097,
250,152,-1384,
248,0,-2048,
0,114,114,
5,152,1432,
5,88,1368,
5,35,1315,
4,242,1266,
4,199,1223,
4,151,1175,
4,107,1131,
3,182,950,
248,0,-2048,
250,67,-1469,
5,132,1412,
5,65,1345,
5,9,1289,
4,216,1240,
4,178,1202,
254,143,-369,
4,162,1186,
4,92,1116,
248,0,-2048,
248,0,-2048,
5,229,1509,
5,150,1430,
5,90,1370,
5,37,1317,
4,245,1269,
4,200,1224,
4,154,1178,
4,116,1140,
248,0,-2048,
248,0,-2048,
5,198,1478,
5,118,1398,
5,56,1336,
5,6,1286,
4,214,1238,
4,173,1197,
4,125,1149,
4,84,1108,
1,53,309,
248,0,-2048,
255,136,-120,
5,105,1385,
5,41,1321,
4,245,1269,
4,198,1222,
4,131,1155,
255,223,-33,
4,140,1164,
3,135,903,
248,0,-2048,
248,0,-2048,
5,186,1466,
5,115,1395,
