First Byte, Second Byte, Brainwave Value, 4
5,96,1376,
5,40,1320,
4,247,1271,
4,204,1228,
4,161,1185,
4,113,1137,
4,81,1105,
248,0,-2048,
248,0,-2048,
5,155,1435,
5,83,1363,
5,25,1305,
4,232,1256,
4,187,1211,
3,87,855,
4,118,1142,
4,73,1097,
248,0,-2048,
248,0,-2048,
5,185,1465,
5,115,1395,
5,54,1334,
5,3,1283,
4,213,1237,
254,42,-470,
2,9,521,
4,203,1227,
249,186,-1606,
248,0,-2048,
0,244,244,
5,242,1522,
5,176,1456,
5,117,1397,
5,65,1345,
5,23,1303,
4,228,1252,
4,179,1203,
4,24,1048,
248,0,-2048,
249,22,-1770,
5,197,1477,
5,125,1405,
5,70,1350,
5,19,1299,
4,230,1254,
4,187,1211,
4,137,1161,
4,103,1127,
248,0,-2048,
248,0,-2048,
5,145,1425,
5,70,1350,
5,13,1293,
4,219,1243,
4,176,1200,
4,121,1145,
4,89,1113,
4,51,1075,
248,0,-2048,
248,0,-2048,
5,26,1306,
5,108,1388,
5,49,1329,
4,252,1276,
4,204,1228,
4,165,1189,
4,117,1141,
4,75,1099,
1,29,285,
248,0,-2048,
4,19,1043,
5,45,1325,
4,242,1266,
4,189,1213,
4,145,1169,
4,106,1130,
4,64,1088,
4,21,1045,
3,241,1009,
248,0,-2048,
248,0,-2048,
5,102,1382,
5,32,1312,
4,233,1257,
4,185,1209,
4,144,1168,
4,104,1128,
4,56,1080,
4,24,1048,
248,0,-2048,
248,0,-2048,
5,107,1387,
5,34,1314,
4,233,1257,
4,184,1208,
4,139,1163,
4,81,1105,
4,58,1082,
4,20,1044,
249,222,-1570,
248,0,-2048,
4,80,1104,
5,68,1348,
5,8,1288,
4,213,1237,
4,167,1191,
4,132,1156,
4,90,1114,
4,43,1067,
0,128,128,
248,0,-2048,
249,38,-1754,
5,138,1418,
5,72,1352,
5,19,1299,
4,226,1250,
4,187,1211,
4,45,1069,
4,104,1128,
4,44,1068,
248,0,-2048,
248,0,-2048,
5,181,1461,
5,106,1386,
5,50,1330,
5,0,1280,
4,211,1235,
4,140,1164,
4,120,1144,
4,84,1108,
248,0,-2048,
248,0,-2048,
5,185,1465,
5,103,1383,
5,43,1323,
4,248,1272,
4,203,1227,
0,182,182,
4,139,1163,
4,144,1168,
249,246,-1546,
248,0,-2048,
2,250,762,
5,176,1456,
5,109,1389,
5,56,1336,
5,6,1286,
4,221,1245,
4,171,1195,
4,125,1149,
3,103,871,
248,0,-2048,
250,179,-1357,
5,151,1431,
5,85,1365,
5,28,1308,
4,234,1258,
4,196,1220,
4,148,1172,
4,103,1127,
4,70,1094,
248,0,-2048,
248,0,-2048,
5,130,1410,
5,57,1337,
5,3,1283,
4,210,1234,
4,166,1190,
4,80,1104,
4,82,1106,
4,43,1067,
248,0,-2048,
248,0,-2048,
5,155,1435,
5,76,1356,
5,19,1299,
4,225,1249,
4,179,1203,
4,117,1141,
4,103,1127,
4,57,1081,
251,94,-1186,
248,0,-2048,
0,102,102,
5,131,1411,
5,67,1347,
5,12,1292,
4,220,1244,
4,182,1206,
4,136,1160,
4,89,1113,
3,228,996,
248,0,-2048,
248,0,-2048,
5,138,1418,
5,70,1350,
5,13,1293,
4,220,1244,
4,180,1204,
4,135,1159,
4,89,1113,
4,57,1081,
248,0,-2048,
248,0,-2048,
5,151,1431,
5,75,1355,
5,20,1300,
4,226,1250,
4,181,1205,
