First Byte, Second Byte, Brainwave Value, 3
7,255,2047,
7,255,2047,
248,0,-2048,
254,45,-467,
7,255,2047,
7,255,2047,
251,60,-1220,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
254,76,-436,
248,0,-2048,
248,0,-2048,
249,170,-1622,
7,255,2047,
7,255,2047,
254,111,-401,
248,0,-2048,
6,196,1732,
7,255,2047,
4,49,1073,
248,0,-2048,
248,0,-2048,
248,0,-2048,
6,67,1603,
7,255,2047,
3,68,836,
248,0,-2048,
252,204,-820,
7,255,2047,
6,22,1558,
248,0,-2048,
248,0,-2048,
248,0,-2048,
3,48,816,
7,255,2047,
7,255,2047,
248,0,-2048,
249,200,-1592,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
0,76,76,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,33,289,
248,0,-2048,
248,0,-2048,
248,133,-1915,
7,255,2047,
7,255,2047,
255,187,-69,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,215,2007,
248,0,-2048,
4,140,1164,
7,255,2047,
7,255,2047,
251,115,-1165,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
252,106,-918,
7,255,2047,
7,255,2047,
0,60,60,
248,0,-2048,
248,0,-2048,
5,25,1305,
7,255,2047,
7,255,2047,
249,154,-1638,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,88,88,
7,255,2047,
7,255,2047,
0,41,41,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
251,155,-1125,
248,0,-2048,
248,60,-1988,
7,255,2047,
7,255,2047,
5,77,1357,
248,0,-2048,
254,84,-428,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
