First Byte, Second Byte, Brainwave Value, 22
2,214,726,
248,0,-2048,
248,0,-2048,
3,202,970,
3,145,913,
3,102,870,
3,69,837,
3,39,807,
3,5,773,
2,233,745,
2,210,722,
253,213,-555,
248,0,-2048,
3,225,993,
3,155,923,
3,112,880,
3,75,843,
3,49,817,
3,12,780,
2,240,752,
2,214,726,
2,114,626,
248,0,-2048,
3,96,864,
3,150,918,
3,104,872,
3,68,836,
3,39,807,
3,5,773,
2,232,744,
2,205,717,
2,188,700,
248,0,-2048,
253,55,-713,
3,139,907,
3,89,857,
3,52,820,
3,22,790,
2,248,760,
2,216,728,
2,193,705,
2,169,681,
248,14,-2034,
248,0,-2048,
3,137,905,
3,81,849,
3,41,809,
3,9,777,
2,241,753,
2,208,720,
2,181,693,
2,156,668,
255,191,-65,
248,0,-2048,
3,146,914,
3,80,848,
3,37,805,
3,4,772,
2,235,747,
2,202,714,
2,176,688,
2,152,664,
2,125,637,
248,0,-2048,
2,103,615,
3,91,859,
3,45,813,
3,11,779,
2,242,754,
2,210,722,
2,182,694,
2,157,669,
2,140,652,
248,0,-2048,
251,167,-1113,
3,97,865,
3,45,813,
3,9,777,
2,236,748,
2,210,722,
2,180,692,
2,154,666,
2,134,646,
249,158,-1634,
248,0,-2048,
3,80,848,
3,24,792,
2,244,756,
2,214,726,
2,189,701,
2,160,672,
2,135,647,
2,114,626,
0,148,148,
248,0,-2048,
3,83,851,
3,19,787,
2,234,746,
2,203,715,
2,181,693,
2,151,663,
2,125,637,
2,104,616,
2,91,603,
248,0,-2048,
1,240,496,
3,12,780,
2,226,738,
2,194,706,
2,170,682,
2,144,656,
2,116,628,
2,92,604,
2,77,589,
248,0,-2048,
248,24,-2024,
3,69,837,
3,19,787,
2,237,749,
2,211,723,
2,185,697,
2,153,665,
2,130,642,
2,109,621,
251,38,-1242,
248,0,-2048,
3,106,874,
3,48,816,
3,8,776,
2,232,744,
2,211,723,
2,177,689,
2,151,663,
2,130,642,
1,96,352,
248,0,-2048,
3,132,900,
3,67,835,
3,23,791,
2,246,758,
2,225,737,
2,192,704,
2,163,675,
2,139,651,
2,128,640,
248,0,-2048,
0,52,52,
3,74,842,
3,28,796,
2,249,761,
2,225,737,
2,195,707,
2,165,677,
2,141,653,
2,123,635,
248,0,-2048,
248,126,-1922,
3,66,834,
3,16,784,
2,233,745,
2,205,717,
2,181,693,
2,150,662,
2,128,640,
2,105,617,
253,19,-749,
248,0,-2048,
3,71,839,
3,13,781,
2,232,744,
2,201,713,
2,180,692,
2,148,660,
2,123,635,
2,102,614,
2,1,513,
248,0,-2048,
3,76,844,
3,22,790,
2,235,747,
2,203,715,
2,182,694,
2,151,663,
2,124,636,
2,103,615,
2,89,601,
248,0,-2048,
255,14,-242,
3,22,790,
2,232,744,
2,199,711,
2,176,688,
2,148,660,
2,120,632,
2,99,611,
2,81,593,
248,7,-2041,
248,0,-2048,
3,44,812,
2,249,761,
2,213,725,
2,184,696,
2,162,674,
2,132,644,
2,108,620,
2,87,599,
255,28,-228,
248,0,-2048,
3,99,867,
3,35,803,
2,249,761,
2,218,730,
2,196,708,
2,164,676,
2,138,650,
2,117,629,
2,83,595,
248,0,-2048,
2,198,710,
3,54,822,
3,9,777,
2,231,743,
2,209,721,
2,178,690,
2,150,662,
2,128,640,
2,112,624,
248,0,-2048,
251,166,-1114,
3,64,832,
3,13,781,
2,234,746,
2,208,720,
2,180,692,
2,151,663,
2,129,641,
2,107,619,
250,89,-1447,
248,0,-2048,
3,84,852,
3,26,794,
2,245,757,
2,215,727,
2,189,701,
2,161,673,
2,136,648,
2,115,627,
0,170,170,
248,0,-2048,
3,129,897,
3,60,828,
3,19,787,
2,242,754,
2,217,729,
2,185,697,
2,161,673,
2,136,648,
2,122,634,
248,0,-2048,
0,163,163,
3,83,851,
3,37,805,
3,2,770,
2,231,743,
2,201,713,
2,172,684,
2,149,661,
2,131,643,
248,0,-2048,
249,68,-1724,
3,98,866,
3,44,812,
3,7,775,
2,235,747,
2,209,721,
2,178,690,
2,152,664,
2,132,644,
251,188,-1092,
248,0,-2048,
3,97,865,
3,38,806,
3,0,768,
2,226,738,
2,201,713,
2,169,681,
2,146,658,
2,122,634,
1,123,379,
248,0,-2048,
3,100,868,
3,34,802,
2,248,760,
2,216,728,
2,194,706,
2,163,675,
2,137,649,
2,115,627,
2,102,614,
248,0,-2048,
0,161,161,
3,35,803,
2,245,757,
2,212,724,
2,187,699,
2,160,672,
2,132,644,
2,108,620,
2,91,603,
248,0,-2048,
248,120,-1928,
3,50,818,
3,0,768,
2,218,730,
2,193,705,
2,166,678,
2,137,649,
2,116,628,
2,93,605,
253,187,-581,
248,0,-2048,
3,51,819,
2,248,760,
2,211,723,
2,182,694,
2,162,674,
2,130,642,
2,105,617,
2,85,597,
1,213,469,
248,0,-2048,
3,54,822,
3,35,803,
2,248,760,
2,216,728,
2,194,706,
2,163,675,
2,135,647,
2,114,626,
2,100,612,
248,0,-2048,
254,122,-390,
3,45,813,
3,0,768,
2,220,732,
2,196,708,
2,168,680,
2,139,651,
2,118,630,
2,99,611,
248,0,-2048,
248,0,-2048,
3,50,818,
3,0,768,
2,218,730,
2,192,704,
2,167,679,
2,137,649,
2,114,626,
2,92,604,
255,44,-212,
248,0,-2048,
3,59,827,
3,0,768,
2,216,728,
2,187,699,
1,225,481,
2,165,677,
2,124,636,
2,100,612,
2,22,534,
248,0,-2048,
0,75,75,
3,116,884,
3,69,837,
3,34,802,
3,9,777,
2,233,745,
2,201,713,
2,177,689,
2,160,672,
248,0,-2048,
249,157,-1635,
3,153,921,
3,101,869,
3,61,829,
3,34,802,
3,5,773,
2,226,738,
2,200,712,
2,179,691,
249,110,-1682,
248,0,-2048,
3,168,936,
3,107,875,
3,68,836,
3,34,802,
3,6,774,
2,230,742,
2,202,714,
2,179,691,
1,69,325,
248,0,-2048,
3,105,873,
3,42,810,
3,4,772,
2,227,739,
2,200,712,
2,171,683,
2,147,659,
2,124,636,
2,112,624,
248,0,-2048,
1,194,450,
3,48,816,
3,3,771,
2,226,738,
2,198,710,
2,169,681,
2,145,657,
2,121,633,
2,104,616,
248,0,-2048,
249,148,-1644,
3,61,829,
3,11,779,
2,232,744,
2,203,715,
2,177,689,
2,150,662,
2,128,640,
2,105,617,
251,238,-1042,
248,0,-2048,
3,70,838,
3,12,780,
2,231,743,
2,201,713,
2,178,690,
2,148,660,
2,124,636,
2,102,614,
1,147,403,
248,0,-2048,
3,92,860,
3,27,795,
2,243,755,
2,211,723,
2,185,697,
2,156,668,
2,132,644,
2,109,621,
2,97,609,
248,0,-2048,
255,130,-126,
3,44,812,
3,0,768,
2,220,732,
2,195,707,
2,167,679,
2,139,651,
2,118,630,
2,100,612,
248,0,-2048,
248,0,-2048,
3,64,832,
3,10,778,
2,230,742,
2,201,713,
2,176,688,
2,148,660,
2,123,635,
2,102,614,
254,6,-506,
248,0,-2048,
3,99,867,
3,37,805,
2,252,764,
2,221,733,
2,197,709,
2,167,679,
2,144,656,
2,120,632,
2,32,544,
248,0,-2048,
3,32,800,
3,68,836,
3,24,792,
2,246,758,
2,219,731,
2,188,700,
2,163,675,
2,138,650,
2,124,636,
248,0,-2048,
252,152,-872,
3,89,857,
3,39,807,
3,4,772,
2,231,743,
2,202,714,
2,176,688,
2,150,662,
2,131,643,
248,0,-2048,
248,0,-2048,
3,117,885,
3,59,827,
3,21,789,
2,246,758,
2,219,731,
2,188,700,
2,164,676,
2,140,652,
255,98,-158,
248,0,-2048,
3,138,906,
3,72,840,
3,32,800,
2,253,765,
