First Byte, Second Byte, Brainwave Value, 23
253,119,-649,
248,0,-2048,
3,83,851,
3,23,791,
2,241,753,
2,211,723,
2,185,697,
2,155,667,
2,132,644,
2,108,620,
1,209,465,
248,0,-2048,
3,98,866,
3,49,817,
3,5,773,
2,228,740,
2,202,714,
2,172,684,
2,148,660,
2,123,635,
2,112,624,
248,0,-2048,
255,182,-74,
3,39,807,
2,249,761,
2,216,728,
2,192,704,
2,164,676,
2,136,648,
2,114,626,
2,96,608,
248,0,-2048,
248,0,-2048,
3,55,823,
3,3,771,
2,224,736,
2,195,707,
2,169,681,
2,140,652,
2,118,630,
2,97,609,
253,251,-517,
248,0,-2048,
3,88,856,
3,26,794,
2,244,756,
2,213,725,
2,188,700,
2,157,669,
2,134,646,
2,112,624,
2,45,557,
248,0,-2048,
3,39,807,
3,45,813,
3,3,771,
2,226,738,
2,201,713,
2,170,682,
2,146,658,
2,122,634,
2,107,619,
248,0,-2048,
254,42,-470,
3,49,817,
3,1,769,
2,221,733,
2,197,709,
2,170,682,
2,140,652,
2,118,630,
2,100,612,
248,0,-2048,
248,0,-2048,
3,70,838,
3,17,785,
2,235,747,
2,208,720,
2,183,695,
2,152,664,
2,129,641,
2,106,618,
255,223,-33,
248,0,-2048,
3,86,854,
3,23,791,
2,240,752,
2,209,721,
2,185,697,
2,154,666,
2,130,642,
2,107,619,
2,85,597,
248,0,-2048,
2,100,612,
3,49,817,
3,5,773,
2,227,739,
2,202,714,
2,172,684,
2,147,659,
2,123,635,
2,107,619,
248,0,-2048,
251,66,-1214,
3,73,841,
3,24,792,
2,244,756,
2,216,728,
2,189,701,
2,161,673,
2,136,648,
2,116,628,
249,45,-1747,
248,0,-2048,
3,103,871,
3,45,813,
3,7,775,
2,233,745,
2,210,722,
2,177,689,
2,152,664,
2,130,642,
0,43,43,
248,0,-2048,
3,140,908,
3,72,840,
3,32,800,
2,252,764,
2,231,743,
2,197,709,
2,169,681,
2,146,658,
2,129,641,
248,0,-2048,
1,132,388,
3,98,866,
3,51,819,
3,16,784,
2,245,757,
2,214,726,
2,185,697,
2,162,674,
2,144,656,
248,0,-2048,
252,56,-968,
3,71,839,
3,22,790,
2,243,755,
2,215,727,
2,188,700,
2,160,672,
2,135,647,
2,115,627,
250,19,-1517,
248,0,-2048,
3,76,844,
3,22,790,
2,241,753,
2,211,723,
2,186,698,
2,155,667,
2,133,645,
2,109,621,
0,233,233,
248,0,-2048,
3,104,872,
3,39,807,
2,253,765,
2,220,732,
2,199,711,
2,167,679,
2,141,653,
2,119,631,
2,106,618,
248,0,-2048,
1,163,419,
3,43,811,
2,253,765,
2,220,732,
2,197,709,
2,167,679,
2,140,652,
2,118,630,
2,101,613,
248,0,-2048,
250,54,-1482,
3,45,813,
2,252,764,
2,217,729,
2,192,704,
2,166,678,
2,136,648,
2,114,626,
2,93,605,
251,179,-1101,
248,0,-2048,
3,72,840,
3,16,784,
2,233,745,
2,203,715,
2,179,691,
2,149,661,
2,124,636,
2,104,616,
1,163,419,
248,0,-2048,
3,92,860,
3,28,796,
2,243,755,
2,211,723,
2,187,699,
2,156,668,
2,133,645,
2,109,621,
2,98,610,
248,0,-2048,
0,136,136,
3,41,809,
2,251,763,
2,218,730,
2,194,706,
2,165,677,
2,137,649,
2,115,627,
2,98,610,
248,0,-2048,
248,121,-1927,
3,55,823,
3,5,773,
2,226,738,
2,197,709,
2,171,683,
2,141,653,
2,119,631,
2,99,611,
253,19,-749,
248,0,-2048,
3,50,818,
2,249,761,
2,212,724,
2,183,695,
2,160,672,
2,131,643,
2,107,619,
2,87,599,
1,219,475,
248,0,-2048,
3,65,833,
3,3,771,
2,217,729,
2,186,698,
2,165,677,
2,135,647,
2,112,624,
2,88,600,
2,76,588,
248,0,-2048,
255,86,-170,
3,22,790,
2,233,745,
2,199,711,
2,178,690,
2,151,663,
2,120,632,
2,98,610,
2,82,594,
248,0,-2048,
248,0,-2048,
3,68,836,
3,13,781,
2,233,745,
2,204,716,
2,180,692,
2,150,662,
2,128,640,
2,105,617,
254,227,-285,
248,0,-2048,
3,56,824,
2,252,764,
2,215,727,
2,186,698,
2,164,676,
2,134,646,
2,112,624,
2,89,601,
2,39,551,
248,0,-2048,
3,33,801,
3,16,784,
2,228,740,
2,196,708,
2,171,683,
2,144,656,
2,119,631,
2,98,610,
2,83,595,
248,0,-2048,
254,27,-485,
3,22,790,
2,232,744,
2,199,711,
2,173,685,
2,148,660,
2,121,633,
2,99,611,
2,82,594,
248,79,-1969,
248,0,-2048,
3,33,801,
2,235,747,
2,200,712,
2,172,684,
2,150,662,
2,121,633,
2,99,611,
2,80,592,
255,107,-149,
248,0,-2048,
