First Byte, Second Byte, Brainwave Value, 15
249,110,-1682,
249,174,-1618,
249,237,-1555,
7,255,2047,
7,255,2047,
7,255,2047,
248,51,-1997,
248,132,-1916,
248,212,-1836,
249,27,-1765,
249,93,-1699,
249,156,-1636,
249,219,-1573,
254,171,-341,
7,255,2047,
7,255,2047,
252,58,-966,
248,107,-1941,
248,188,-1860,
249,8,-1784,
249,75,-1717,
249,139,-1653,
249,201,-1591,
250,51,-1485,
7,255,2047,
7,255,2047,
6,180,1716,
248,83,-1965,
248,165,-1883,
248,242,-1806,
249,54,-1738,
249,118,-1674,
249,181,-1611,
249,247,-1545,
7,255,2047,
7,255,2047,
7,255,2047,
248,43,-2005,
248,125,-1923,
248,205,-1843,
249,21,-1771,
249,86,-1706,
249,150,-1642,
249,214,-1578,
2,42,554,
7,255,2047,
7,255,2047,
248,201,-1847,
248,116,-1932,
248,197,-1851,
249,13,-1779,
249,79,-1713,
249,143,-1649,
249,205,-1587,
251,9,-1271,
7,255,2047,
7,255,2047,
0,214,214,
248,104,-1944,
248,186,-1862,
249,6,-1786,
249,72,-1720,
249,137,-1655,
249,199,-1593,
250,9,-1527,
7,255,2047,
7,255,2047,
7,255,2047,
248,71,-1977,
248,153,-1895,
248,231,-1817,
249,44,-1748,
249,107,-1685,
249,171,-1621,
249,235,-1557,
7,255,2047,
7,255,2047,
7,255,2047,
248,44,-2004,
248,125,-1923,
248,207,-1841,
249,45,-1747,
249,86,-1706,
249,150,-1642,
249,214,-1578,
1,68,324,
7,255,2047,
7,255,2047,
252,100,-924,
248,86,-1962,
248,168,-1880,
248,245,-1803,
249,55,-1737,
249,116,-1676,
249,181,-1611,
250,110,-1426,
7,255,2047,
7,255,2047,
7,19,1811,
248,56,-1992,
248,137,-1911,
248,216,-1832,
249,27,-1765,
249,92,-1700,
249,156,-1636,
249,221,-1571,
7,255,2047,
7,255,2047,
7,255,2047,
248,53,-1995,
248,136,-1912,
248,216,-1832,
249,29,-1763,
249,93,-1699,
249,156,-1636,
249,221,-1571,
5,36,1316,
7,255,2047,
7,255,2047,
248,195,-1853,
248,104,-1944,
248,185,-1863,
249,4,-1788,
249,68,-1724,
249,133,-1659,
249,197,-1595,
251,6,-1274,
7,255,2047,
7,255,2047,
0,121,121,
248,100,-1948,
248,182,-1866,
249,2,-1790,
249,68,-1724,
249,132,-1660,
249,195,-1597,
250,6,-1530,
7,255,2047,
7,255,2047,
7,255,2047,
248,69,-1979,
248,151,-1897,
248,230,-1818,
249,42,-1750,
249,106,-1686,
249,170,-1622,
249,235,-1557,
7,255,2047,
7,255,2047,
7,255,2047,
248,20,-2028,
248,101,-1947,
248,183,-1865,
250,101,-1435,
249,31,-1761,
249,105,-1687,
249,174,-1618,
2,58,570,
7,255,2047,
7,255,2047,
252,146,-878,
248,55,-1993,
248,137,-1911,
249,35,-1757,
249,53,-1739,
249,76,-1716,
249,143,-1649,
249,228,-1564,
7,255,2047,
7,255,2047,
6,53,1589,
248,58,-1990,
248,141,-1907,
248,219,-1829,
249,33,-1759,
249,94,-1698,
249,159,-1633,
249,227,-1565,
7,255,2047,
7,255,2047,
7,255,2047,
248,47,-2001,
248,131,-1917,
248,213,-1835,
249,37,-1755,
249,88,-1704,
249,152,-1640,
249,216,-1576,
6,48,1584,
7,255,2047,
7,255,2047,
248,110,-1938,
248,102,-1946,
248,183,-1865,
249,2,-1790,
249,66,-1726,
249,131,-1661,
249,194,-1598,
251,149,-1131,
7,255,2047,
7,255,2047,
0,36,36,
248,90,-1958,
248,173,-1875,
248,254,-1794,
249,118,-1674,
249,117,-1675,
249,182,-1610,
250,155,-1381,
7,255,2047,
7,255,2047,
7,255,2047,
248,15,-2033,
248,101,-1947,
248,202,-1846,
250,87,-1449,
249,27,-1765,
249,102,-1690,
249,173,-1619,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,79,-1969,
248,163,-1885,
248,235,-1813,
249,44,-1748,
249,109,-1683,
249,173,-1619,
254,61,-451,
7,255,2047,
7,255,2047,
250,216,-1320,
248,89,-1959,
248,170,-1878,
248,246,-1802,
249,56,-1736,
249,120,-1672,
249,183,-1609,
250,111,-1425,
7,255,2047,
7,255,2047,
5,49,1329,
248,70,-1978,
248,152,-1896,
248,231,-1817,
249,42,-1750,
249,105,-1687,
249,169,-1623,
249,235,-1557,
7,255,2047,
7,255,2047,
7,255,2047,
248,49,-1999,
248,132,-1916,
248,213,-1835,
249,76,-1716,
249,87,-1705,
249,151,-1641,
249,216,-1576,
7,167,1959,
7,255,2047,
7,255,2047,
248,108,-1940,
248,92,-1956,
248,173,-1875,
248,248,-1800,
249,57,-1735,
249,122,-1670,
249,185,-1607,
251,138,-1142,
7,255,2047,
7,255,2047,
255,105,-151,
248,90,-1958,
248,171,-1877,
248,248,-1800,
249,60,-1732,
249,124,-1668,
249,187,-1605,
249,253,-1539,
7,255,2047,
7,255,2047,
7,255,2047,
248,74,-1974,
248,158,-1890,
248,236,-1812,
249,82,-1710,
249,109,-1683,
249,173,-1619,
249,237,-1555,
7,255,2047,
7,255,2047,
7,255,2047,
248,43,-2005,
248,125,-1923,
248,205,-1843,
249,21,-1771,
249,88,-1704,
249,151,-1641,
249,214,-1578,
255,239,-17,
7,255,2047,
7,255,2047,
249,234,-1558,
248,115,-1933,
248,197,-1851,
249,13,-1779,
249,79,-1713,
249,143,-1649,
249,205,-1587,
250,150,-1386,
7,255,2047,
7,255,2047,
3,185,953,
248,94,-1954,
248,175,-1873,
248,251,-1797,
249,66,-1726,
249,127,-1665,
249,191,-1601,
249,255,-1537,
7,255,2047,
7,255,2047,
7,255,2047,
248,68,-1980,
248,149,-1899,
248,227,-1821,
249,41,-1751,
249,107,-1685,
249,170,-1622,
249,234,-1558,
7,150,1942,
7,255,2047,
7,255,2047,
248,51,-1997,
248,119,-1929,
248,198,-1850,
249,14,-1778,
249,83,-1709,
249,148,-1644,
249,210,-1582,
253,149,-619,
7,255,2047,
7,255,2047,
254,138,-374,
248,91,-1957,
248,174,-1874,
248,249,-1799,
249,61,-1731,
249,125,-1667,
249,188,-1604,
250,10,-1526,
7,255,2047,
7,255,2047,
7,255,2047,
248,68,-1980,
248,150,-1898,
248,228,-1820,
249,41,-1751,
249,106,-1686,
249,169,-1623,
249,234,-1558,
7,255,2047,
7,255,2047,
7,255,2047,
248,40,-2008,
248,122,-1926,
248,202,-1846,
249,19,-1773,
249,85,-1707,
249,148,-1644,
249,213,-1579,
2,251,763,
7,255,2047,
7,255,2047,
249,169,-1623,
248,94,-1954,
248,178,-1870,
248,251,-1797,
249,62,-1730,
249,127,-1665,
249,190,-1602,
251,138,-1142,
7,255,2047,
7,255,2047,
3,81,849,
248,68,-1980,
248,149,-1899,
248,226,-1822,
249,39,-1753,
249,104,-1688,
249,168,-1624,
249,234,-1558,
7,255,2047,
7,255,2047,
7,255,2047,
248,43,-2005,
248,126,-1922,
248,205,-1843,
249,22,-1770,
249,86,-1706,
249,150,-1642,
249,214,-1578,
7,255,2047,
7,255,2047,
7,255,2047,
248,29,-2019,
248,106,-1942,
248,186,-1862,
249,6,-1786,
249,70,-1722,
249,133,-1659,
249,196,-1596,
254,200,-312,
7,255,2047,
7,255,2047,
253,228,-540,
248,78,-1970,
248,159,-1889,
248,235,-1813,
249,47,-1745,
249,115,-1677,
249,178,-1614,
250,7,-1529,
7,255,2047,
7,255,2047,
7,104,1896,
248,63,-1985,
248,148,-1900,
248,223,-1825,
249,38,-1754,
249,104,-1688,
249,167,-1625,
249,232,-1560,
7,255,2047,
7,255,2047,
7,255,2047,
248,40,-2008,
248,122,-1926,
248,201,-1847,
249,18,-1774,
249,85,-1707,
249,148,-1644,
249,212,-1580,
3,19,787,
7,255,2047,
7,255,2047,
248,242,-1806,
248,104,-1944,
248,185,-1863,
249,3,-1789,
249,71,-1721,
249,135,-1657,
249,198,-1594,
251,186,-1094,
7,255,2047,
7,255,2047,
1,224,480,
248,78,-1970,
248,162,-1886,
248,236,-1812,
249,51,-1741,
249,116,-1676,
249,179,-1613,
249,246,-1546,
7,255,2047,
7,255,2047,
7,255,2047,
248,51,-1997,
248,133,-1915,
248,213,-1835,
249,26,-1766,
249,91,-1701,
249,155,-1637,
249,219,-1573,
7,255,2047,
7,255,2047,
7,255,2047,
248,26,-2022,
248,108,-1940,
248,187,-1861,
249,4,-1788,
249,73,-1719,
249,137,-1655,
249,199,-1593,
254,219,-293,
7,255,2047,
7,255,2047,
251,167,-1113,
248,94,-1954,
248,175,-1873,
248,250,-1798,
249,62,-1730,
249,127,-1665,
249,189,-1603,
250,70,-1466,
7,255,2047,
7,255,2047,
6,84,1620,
248,72,-1976,
248,153,-1895,
248,231,-1817,
249,43,-1749,
249,110,-1682,
249,173,-1619,
249,238,-1554,
7,255,2047,
7,255,2047,
7,255,2047,
248,41,-2007,
248,125,-1923,
248,203,-1845,
249,20,-1772,
249,86,-1706,
249,150,-1642,
249,213,-1579,
4,131,1155,
7,255,2047,
7,255,2047,
248,126,-1922,
248,106,-1942,
248,186,-1862,
249,4,-1788,
249,72,-1720,
249,137,-1655,
249,199,-1593,
251,199,-1081,
7,255,2047,
7,255,2047,
0,176,176,
248,88,-1960,
248,170,-1878,
248,246,-1802,
249,58,-1734,
249,123,-1669,
249,186,-1606,
249,253,-1539,
7,255,2047,
7,255,2047,
7,255,2047,
248,56,-1992,
248,138,-1910,
248,218,-1830,
249,34,-1758,
249,94,-1698,
249,159,-1633,
249,223,-1569,
7,255,2047,
7,255,2047,
7,255,2047,
248,34,-2014,
248,116,-1932,
248,196,-1852,
249,12,-1780,
249,76,-1716,
249,141,-1651,
249,204,-1588,
255,228,-28,
7,255,2047,
7,255,2047,
251,10,-1270,
248,98,-1950,
248,179,-1869,
248,252,-1796,
249,66,-1726,
249,131,-1661,
249,191,-1601,
250,126,-1410,
7,255,2047,
7,255,2047,
5,234,1514,
248,69,-1979,
248,152,-1896,
248,229,-1819,
249,42,-1750,
249,106,-1686,
249,170,-1622,
249,235,-1557,
7,255,2047,
7,255,2047,
7,255,2047,
248,53,-1995,
248,135,-1913,
248,214,-1834,
249,28,-1764,
249,95,-1697,
249,158,-1634,
249,221,-1571,
6,7,1543,
7,255,2047,
7,255,2047,
248,89,-1959,
248,108,-1940,
248,188,-1860,
249,7,-1785,
249,73,-1719,
249,137,-1655,
249,200,-1592,
252,185,-839,
7,255,2047,
7,255,2047,
255,127,-129,
248,88,-1960,
248,168,-1880,
248,244,-1804,
249,56,-1736,
249,122,-1670,
249,185,-1607,
249,255,-1537,
7,255,2047,
7,255,2047,
7,255,2047,
248,60,-1988,
248,142,-1906,
248,219,-1829,
249,36,-1756,
249,102,-1690,
249,165,-1627,
249,229,-1563,
7,255,2047,
7,255,2047,
7,255,2047,
248,31,-2017,
248,116,-1932,
248,195,-1853,
249,10,-1782,
249,77,-1715,
249,142,-1650,
249,205,-1587,
1,225,481,
7,255,2047,
7,255,2047,
250,42,-1494,
248,92,-1956,
248,172,-1876,
248,248,-1800,
249,59,-1733,
249,124,-1668,
249,187,-1605,
251,85,-1195,
7,255,2047,
7,255,2047,
4,60,1084,
248,61,-1987,
248,142,-1906,
248,219,-1829,
249,35,-1757,
249,101,-1691,
249,164,-1628,
249,229,-1563,
7,255,2047,
7,255,2047,
7,255,2047,
248,43,-2005,
248,126,-1922,
248,205,-1843,
249,22,-1770,
249,88,-1704,
249,152,-1640,
249,216,-1576,
7,81,1873,
7,255,2047,
7,255,2047,
248,40,-2008,
248,106,-1942,
248,186,-1862,
249,6,-1786,
249,72,-1720,
249,136,-1656,
249,199,-1593,
254,125,-387,
7,255,2047,
7,255,2047,
254,100,-412,
248,78,-1970,
248,159,-1889,
248,235,-1813,
249,50,-1742,
249,115,-1677,
249,178,-1614,
250,3,-1533,
7,255,2047,
7,255,2047,
7,255,2047,
248,58,-1990,
248,140,-1908,
248,217,-1831,
249,31,-1761,
249,99,-1693,
249,163,-1629,
249,229,-1563,
7,255,2047,
7,255,2047,
7,255,2047,
248,28,-2020,
248,110,-1938,
248,189,-1859,
249,7,-1785,
249,74,-1718,
249,138,-1654,
249,201,-1591,
2,104,616,
7,255,2047,
7,255,2047,
249,98,-1694,
248,94,-1954,
248,179,-1869,
248,251,-1797,
249,61,-1731,
249,125,-1667,
249,189,-1603,
251,166,-1114,
7,255,2047,
7,255,2047,
3,88,856,
248,66,-1982,
248,147,-1901,
248,222,-1826,
249,37,-1755,
249,104,-1688,
249,167,-1625,
249,232,-1560,
7,255,2047,
7,255,2047,
7,255,2047,
248,51,-1997,
248,134,-1914,
248,212,-1836,
249,26,-1766,
249,92,-1700,
249,156,-1636,
249,219,-1573,
7,255,2047,
7,255,2047,
7,255,2047,
248,29,-2019,
248,107,-1941,
248,187,-1861,
249,6,-1786,
249,70,-1722,
249,136,-1656,
249,199,-1593,
255,202,-54,
7,255,2047,
7,255,2047,
