First Byte, Second Byte, Brainwave Value, 31
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
2,35,547,
248,0,-2048,
248,0,-2048,
248,0,-2048,
2,70,582,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,179,435,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
254,59,-453,
7,255,2047,
7,255,2047,
249,232,-1560,
248,0,-2048,
248,0,-2048,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,88,856,
248,0,-2048,
248,0,-2048,
7,255,2047,
250,140,-1396,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
5,213,1493,
3,120,888,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,196,-60,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
254,37,-475,
7,255,2047,
7,255,2047,
253,121,-647,
248,0,-2048,
249,63,-1729,
7,255,2047,
251,152,-1128,
248,0,-2048,
248,0,-2048,
248,15,-2033,
7,255,2047,
7,255,2047,
7,105,1897,
248,0,-2048,
248,0,-2048,
7,255,2047,
3,102,870,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
6,120,1656,
7,255,2047,
7,255,2047,
249,147,-1645,
248,0,-2048,
252,195,-829,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
252,216,-808,
7,255,2047,
7,255,2047,
2,184,696,
248,0,-2048,
248,0,-2048,
254,239,-273,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,51,-1997,
248,126,-1922,
7,184,1976,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,24,-2024,
248,95,-1953,
248,170,-1878,
248,242,-1806,
0,211,211,
7,255,2047,
7,255,2047,
254,88,-424,
248,0,-2048,
248,0,-2048,
248,70,-1978,
248,146,-1902,
248,217,-1831,
249,29,-1763,
250,86,-1450,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,74,-1974,
248,150,-1898,
248,220,-1828,
249,34,-1758,
249,102,-1690,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,5,-2043,
248,86,-1962,
248,162,-1886,
248,232,-1816,
249,45,-1747,
249,110,-1682,
4,164,1188,
7,255,2047,
7,255,2047,
255,84,-172,
248,0,-2048,
248,59,-1989,
248,124,-1924,
248,196,-1852,
249,10,-1782,
249,78,-1714,
253,53,-715,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
0,10,10,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,116,-1932,
7,255,2047,
7,255,2047,
7,255,2047,
255,133,-123,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
251,72,-1208,
248,0,-2048,
248,0,-2048,
6,80,1616,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,44,1836,
248,0,-2048,
248,0,-2048,
250,227,-1309,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,244,2036,
7,181,1973,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,213,2005,
7,144,1936,
7,74,1866,
253,132,-636,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,252,2044,
7,179,1971,
7,107,1899,
7,40,1832,
6,231,1767,
3,114,882,
248,0,-2048,
248,0,-2048,
1,167,423,
7,255,2047,
7,224,2016,
7,148,1940,
7,80,1872,
7,10,1802,
6,202,1738,
6,150,1686,
248,0,-2048,
248,0,-2048,
249,207,-1585,
7,255,2047,
7,185,1977,
7,110,1902,
7,41,1833,
6,231,1767,
6,168,1704,
6,112,1648,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,252,2044,
7,164,1956,
7,88,1880,
7,19,1811,
6,210,1746,
6,147,1683,
6,89,1625,
250,195,-1341,
248,0,-2048,
248,0,-2048,
7,234,2026,
7,193,1985,
7,115,1907,
7,43,1835,
6,232,1768,
6,169,1705,
6,107,1643,
4,58,1082,
248,0,-2048,
248,0,-2048,
2,40,552,
7,201,1993,
7,121,1913,
7,51,1843,
6,237,1773,
6,176,1712,
6,114,1650,
5,214,1494,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,176,1968,
7,101,1893,
7,33,1825,
6,220,1756,
6,160,1696,
6,101,1637,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,251,2043,
7,177,1969,
7,103,1895,
7,36,1828,
6,227,1763,
6,164,1700,
1,135,391,
248,0,-2048,
248,0,-2048,
5,40,1320,
7,244,2036,
7,164,1956,
7,90,1882,
7,23,1815,
6,214,1750,
6,151,1687,
4,247,1271,
248,0,-2048,
248,0,-2048,
249,180,-1612,
7,255,2047,
7,201,1993,
7,125,1917,
7,56,1848,
6,246,1782,
6,182,1718,
6,22,1558,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,197,1989,
7,124,1916,
7,56,1848,
6,246,1782,
6,189,1725,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,243,2035,
7,168,1960,
7,98,1890,
7,32,1824,
6,226,1762,
248,0,-2048,
248,0,-2048,
248,0,-2048,
0,28,28,
7,255,2047,
7,255,2047,
7,219,2011,
7,148,1940,
7,80,1872,
7,12,1804,
3,131,899,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,236,2028,
7,164,1956,
7,92,1884,
7,26,1818,
6,214,1750,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,254,2046,
7,182,1974,
7,112,1904,
7,43,1835,
6,237,1773,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,114,1906,
7,255,2047,
7,255,2047,
7,196,1988,
7,124,1916,
7,56,1848,
6,248,1784,
251,37,-1243,
248,0,-2048,
248,0,-2048,
253,156,-612,
7,255,2047,
7,255,2047,
7,230,2022,
7,157,1949,
7,87,1879,
7,22,1814,
2,124,636,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,194,1986,
7,122,1914,
7,54,1846,
6,250,1786,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,248,2040,
7,177,1969,
7,105,1897,
7,37,1829,
6,232,1768,
248,0,-2048,
248,0,-2048,
248,0,-2048,
5,197,1477,
7,255,2047,
7,255,2047,
7,209,2001,
7,136,1928,
7,68,1860,
7,3,1795,
0,210,210,
248,0,-2048,
248,0,-2048,
248,135,-1913,
7,255,2047,
7,255,2047,
7,241,2033,
7,167,1959,
7,98,1890,
7,29,1821,
6,27,1563,
248,0,-2048,
