First Byte, Second Byte, Brainwave Value, 24
7,255,2047,
7,255,2047,
7,255,2047,
4,252,1276,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
254,220,-292,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,226,2018,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
253,137,-631,
248,0,-2048,
248,0,-2048,
248,0,-2048,
252,247,-777,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
5,236,1516,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
255,220,-36,
7,255,2047,
7,255,2047,
7,121,1913,
7,255,2047,
7,255,2047,
253,42,-726,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
252,108,-916,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,193,1985,
248,0,-2048,
248,0,-2048,
248,0,-2048,
253,238,-530,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
0,61,61,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,154,1946,
7,255,2047,
7,255,2047,
255,75,-181,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
255,58,-198,
7,255,2047,
7,255,2047,
