First Byte, Second Byte, Brainwave Value, 5
248,0,-2048,
248,0,-2048,
6,129,1665,
6,50,1586,
5,241,1521,
5,183,1463,
5,137,1417,
252,213,-811,
5,130,1410,
5,64,1344,
248,0,-2048,
248,0,-2048,
6,160,1696,
6,87,1623,
6,20,1556,
5,216,1496,
5,164,1444,
254,107,-405,
5,123,1403,
5,102,1382,
249,255,-1537,
248,0,-2048,
254,37,-475,
6,140,1676,
6,67,1603,
6,4,1540,
5,202,1482,
5,32,1312,
4,153,1177,
5,92,1372,
2,11,523,
248,0,-2048,
249,124,-1668,
6,107,1643,
6,33,1569,
5,227,1507,
5,169,1449,
5,124,1404,
250,70,-1466,
5,150,1430,
5,59,1339,
248,0,-2048,
248,0,-2048,
6,213,1749,
6,123,1659,
6,55,1591,
5,250,1530,
5,198,1478,
0,246,246,
5,150,1430,
5,83,1363,
248,99,-1949,
248,0,-2048,
4,17,1041,
6,91,1627,
6,22,1558,
5,217,1497,
5,163,1443,
3,115,883,
4,8,1032,
5,83,1363,
255,188,-68,
248,0,-2048,
250,157,-1379,
6,108,1644,
6,34,1570,
5,228,1508,
5,170,1450,
5,119,1399,
255,159,-97,
5,98,1378,
4,251,1275,
248,0,-2048,
248,0,-2048,
6,119,1655,
6,37,1573,
5,229,1509,
5,171,1451,
5,123,1403,
252,127,-897,
5,129,1409,
5,57,1337,
248,0,-2048,
248,0,-2048,
6,57,1593,
6,76,1612,
6,8,1544,
5,204,1484,
5,151,1431,
1,17,273,
5,98,1378,
5,70,1350,
253,59,-709,
248,0,-2048,
252,61,-963,
6,107,1643,
6,34,1570,
5,227,1507,
5,170,1450,
5,40,1320,
0,77,77,
5,102,1382,
4,87,1111,
248,0,-2048,
248,0,-2048,
6,128,1664,
6,48,1584,
5,237,1517,
5,181,1461,
5,136,1416,
248,0,-2048,
5,201,1481,
5,124,1404,
248,0,-2048,
248,0,-2048,
6,141,1677,
6,153,1689,
6,83,1619,
6,21,1557,
5,220,1500,
255,58,-198,
5,185,1465,
5,147,1427,
249,253,-1539,
248,0,-2048,
255,230,-26,
6,165,1701,
6,91,1627,
6,27,1563,
5,226,1506,
5,167,1447,
5,138,1418,
5,76,1356,
3,161,929,
248,0,-2048,
248,0,-2048,
6,103,1639,
6,27,1563,
5,219,1499,
5,165,1445,
5,121,1401,
249,35,-1757,
5,162,1442,
5,58,1338,
248,0,-2048,
248,0,-2048,
6,201,1737,
6,112,1648,
6,43,1579,
5,241,1521,
5,188,1468,
250,250,-1286,
5,152,1432,
5,156,1436,
248,0,-2048,
248,0,-2048,
1,48,304,
6,196,1732,
6,121,1657,
6,57,1593,
6,0,1536,
4,77,1101,
5,132,1412,
5,144,1424,
0,193,193,
248,0,-2048,
251,148,-1132,
6,145,1681,
6,69,1605,
6,6,1542,
5,203,1483,
5,160,1440,
2,112,624,
5,97,1377,
4,243,1267,
248,0,-2048,
248,0,-2048,
6,157,1693,
6,72,1608,
6,6,1542,
5,203,1483,
5,155,1435,
252,146,-878,
5,155,1435,
5,86,1366,
248,0,-2048,
248,0,-2048,
6,154,1690,
6,88,1624,
6,21,1557,
5,216,1496,
5,164,1444,
3,54,822,
5,117,1397,
5,55,1335,
252,230,-794,
248,0,-2048,
253,165,-603,
6,88,1624,
6,17,1553,
5,211,1491,
5,154,1434,
5,27,1307,
0,138,138,
5,84,1364,
3,196,964,
248,0,-2048,
248,0,-2048,
6,132,1668,
6,51,1587,
5,243,1523,
5,185,1465,
5,137,1417,
2,202,714,
5,66,1346,
5,12,1292,
248,0,-2048,
248,0,-2048,
6,115,1651,
6,26,1562,
5,217,1497,
5,160,1440,
5,108,1388,
2,48,560,
5,67,1347,
5,2,1282,
248,118,-1930,
248,0,-2048,
2,13,525,
6,42,1578,
5,230,1510,
5,170,1450,
5,118,1398,
2,216,728,
255,14,-242,
5,89,1369,
1,168,424,
248,0,-2048,
248,0,-2048,
6,145,1681,
6,67,1603,
6,2,1538,
5,199,1479,
5,153,1433,
249,147,-1645,
5,187,1467,
5,72,1352,
248,0,-2048,
248,0,-2048,
6,245,1781,
6,154,1690,
6,86,1622,
6,24,1560,
5,228,1508,
250,219,-1317,
5,184,1464,
5,194,1474,
248,0,-2048,
248,0,-2048,
2,193,705,
6,212,1748,
6,137,1673,
6,72,1608,
6,12,1548,
3,101,869,
4,64,1088,
5,185,1465,
0,84,84,
248,0,-2048,
249,191,-1601,
6,197,1733,
6,119,1655,
6,54,1590,
5,249,1529,
5,202,1482,
255,169,-87,
5,166,1446,
4,196,1220,
248,0,-2048,
248,0,-2048,
6,224,1760,
6,135,1671,
6,68,1604,
6,6,1542,
5,212,1492,
1,187,443,
5,149,1429,
5,88,1368,
248,0,-2048,
248,0,-2048,
6,153,1689,
6,90,1626,
6,23,1559,
5,218,1498,
5,165,1445,
1,6,262,
3,84,852,
5,115,1395,
250,244,-1292,
248,0,-2048,
250,132,-1404,
6,171,1707,
