First Byte, Second Byte, Brainwave Value, 33
255,89,-167,
255,99,-157,
255,105,-151,
255,115,-141,
5,56,1336,
255,69,-187,
255,46,-210,
255,69,-187,
255,84,-172,
255,93,-163,
255,103,-153,
255,110,-146,
255,118,-138,
255,124,-132,
2,8,520,
5,5,1285,
255,19,-237,
255,44,-212,
255,62,-194,
255,75,-181,
255,87,-169,
255,94,-162,
255,102,-154,
255,108,-148,
255,136,-120,
7,210,2002,
255,18,-238,
255,44,-212,
255,62,-194,
255,76,-180,
255,87,-169,
255,95,-161,
255,103,-153,
255,109,-147,
255,120,-136,
4,197,1221,
255,61,-195,
255,86,-170,
255,102,-154,
255,114,-142,
255,122,-134,
255,131,-125,
255,136,-120,
255,141,-115,
255,150,-106,
7,16,1808,
1,20,276,
255,35,-221,
255,59,-197,
255,76,-180,
255,89,-167,
255,95,-161,
255,105,-151,
255,111,-145,
255,119,-137,
1,25,281,
6,197,1733,
255,7,-249,
255,36,-220,
255,55,-201,
255,68,-188,
255,77,-179,
255,87,-169,
255,94,-162,
255,103,-153,
255,116,-140,
5,218,1498,
255,42,-214,
255,67,-189,
255,85,-171,
255,95,-161,
255,105,-151,
255,115,-141,
255,120,-136,
255,126,-130,
255,137,-119,
7,255,2047,
4,151,1175,
254,91,-421,
254,125,-387,
254,152,-360,
254,170,-342,
254,186,-326,
254,201,-311,
254,214,-298,
254,228,-284,
2,228,740,
0,44,44,
254,166,-346,
254,195,-317,
254,214,-298,
254,231,-281,
254,244,-268,
254,254,-258,
255,10,-246,
255,21,-235,
255,79,-177,
1,210,466,
254,238,-274,
255,8,-248,
255,25,-231,
255,39,-217,
255,51,-205,
255,59,-197,
255,69,-187,
255,76,-180,
255,91,-165,
7,255,2047,
254,182,-330,
254,149,-363,
254,180,-332,
254,201,-311,
254,217,-295,
254,230,-282,
254,244,-268,
254,253,-259,
255,11,-245,
7,148,1940,
254,239,-273,
254,185,-327,
254,212,-300,
254,231,-281,
254,246,-266,
255,3,-253,
255,13,-243,
255,25,-231,
255,36,-220,
1,155,411,
4,129,1153,
254,198,-314,
254,228,-284,
254,248,-264,
255,8,-248,
255,21,-235,
255,31,-225,
255,41,-215,
255,52,-204,
255,85,-171,
7,255,2047,
254,214,-298,
254,244,-268,
255,9,-247,
255,24,-232,
255,37,-219,
255,46,-210,
255,57,-199,
255,66,-190,
255,77,-179,
7,255,2047,
254,199,-313,
254,227,-285,
254,251,-261,
255,13,-243,
255,28,-228,
255,39,-217,
255,47,-209,
255,57,-199,
255,69,-187,
7,113,1905,
1,196,452,
254,200,-312,
254,229,-283,
254,249,-263,
255,8,-248,
255,21,-235,
255,30,-226,
255,41,-215,
255,51,-205,
0,189,189,
5,246,1526,
254,211,-301,
254,238,-274,
255,4,-252,
255,19,-237,
255,30,-226,
255,41,-215,
255,52,-204,
255,59,-197,
255,74,-182,
7,255,2047,
254,217,-295,
254,247,-265,
255,13,-243,
255,29,-227,
255,42,-214,
255,53,-203,
255,61,-195,
255,71,-185,
255,83,-173,
7,255,2047,
0,19,19,
254,199,-313,
254,228,-284,
254,247,-265,
255,6,-250,
255,19,-237,
255,28,-228,
255,39,-217,
255,47,-209,
2,221,733,
255,206,-50,
254,247,-265,
255,14,-242,
255,34,-222,
255,44,-212,
255,56,-200,
255,63,-193,
255,74,-182,
255,83,-173,
0,18,18,
7,255,2047,
254,186,-326,
254,220,-292,
254,244,-268,
255,5,-251,
255,19,-237,
255,29,-227,
255,40,-216,
255,50,-206,
