First Byte, Second Byte, Brainwave Value, 15
248,0,-2048,
249,10,-1782,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
253,56,-712,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
5,60,1340,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
252,105,-919,
248,0,-2048,
2,59,571,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
3,120,888,
7,255,2047,
7,255,2047,
3,82,850,
248,0,-2048,
248,146,-1902,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
250,106,-1430,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
252,253,-771,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,184,1208,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
252,31,-993,
248,0,-2048,
2,137,649,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
3,230,998,
7,255,2047,
7,255,2047,
4,122,1146,
248,0,-2048,
250,125,-1411,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
250,254,-1282,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
252,86,-938,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,134,1158,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
250,220,-1316,
248,0,-2048,
2,224,736,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
4,172,1196,
7,255,2047,
7,255,2047,
2,229,741,
248,0,-2048,
250,188,-1348,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,243,-1037,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
251,143,-1137,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,32,1056,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
250,186,-1350,
248,0,-2048,
2,59,571,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
4,123,1147,
7,255,2047,
7,255,2047,
3,70,838,
248,0,-2048,
250,11,-1525,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,69,-955,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
250,234,-1302,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,123,891,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
250,105,-1431,
248,0,-2048,
4,133,1157,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
6,87,1623,
7,255,2047,
7,255,2047,
3,48,816,
248,0,-2048,
250,185,-1351,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
253,62,-706,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
250,7,-1529,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,236,748,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
249,184,-1608,
248,0,-2048,
4,19,1043,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
6,193,1729,
7,255,2047,
7,255,2047,
2,226,738,
248,0,-2048,
251,25,-1255,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,126,-898,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
249,219,-1573,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,138,650,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,243,-1805,
248,0,-2048,
3,131,899,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
6,114,1650,
7,255,2047,
7,255,2047,
2,43,555,
248,0,-2048,
251,61,-1219,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
253,38,-730,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
249,79,-1713,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,59,571,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
4,86,1110,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
6,86,1622,
7,255,2047,
7,255,2047,
0,144,144,
248,0,-2048,
251,63,-1217,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
253,207,-561,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,151,-1897,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,51,1843,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
255,249,-7,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
4,29,1053,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,91,91,
7,255,2047,
7,255,2047,
250,36,-1500,
248,0,-2048,
249,236,-1556,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,153,-1639,
7,255,2047,
7,255,2047,
4,252,1276,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,95,-1953,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
0,244,244,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
5,243,1523,
7,255,2047,
7,253,2045,
248,0,-2048,
248,0,-2048,
6,242,1778,
7,255,2047,
7,255,2047,
255,93,-163,
248,0,-2048,
252,57,-967,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
254,121,-391,
7,255,2047,
7,255,2047,
7,156,1948,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
0,43,43,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
5,139,1419,
7,255,2047,
7,131,1923,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
255,104,-152,
248,0,-2048,
253,47,-721,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,115,-141,
7,255,2047,
7,255,2047,
7,37,1829,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
255,116,-140,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
6,87,1623,
7,255,2047,
7,11,1803,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
254,186,-326,
248,0,-2048,
253,42,-726,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,58,58,
7,255,2047,
7,255,2047,
6,167,1703,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
254,169,-343,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
6,64,1600,
7,255,2047,
6,107,1643,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
253,73,-695,
248,0,-2048,
253,213,-555,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,173,173,
7,255,2047,
7,255,2047,
5,246,1526,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,124,-1924,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
