First Byte, Second Byte, Brainwave Value, 13
248,0,-2048,
6,60,1596,
5,232,1512,
5,169,1449,
5,113,1393,
5,60,1340,
5,12,1292,
4,224,1248,
4,182,1206,
248,0,-2048,
248,0,-2048,
255,174,-82,
6,49,1585,
5,236,1516,
5,177,1457,
5,119,1399,
5,69,1349,
5,20,1300,
4,230,1254,
0,36,36,
248,0,-2048,
254,139,-373,
5,249,1529,
5,180,1460,
5,122,1402,
5,69,1349,
5,25,1305,
4,232,1256,
4,184,1208,
2,71,583,
248,0,-2048,
248,0,-2048,
6,91,1627,
6,9,1545,
5,202,1482,
5,141,1421,
5,91,1371,
5,48,1328,
4,248,1272,
4,211,1235,
248,0,-2048,
248,0,-2048,
6,101,1637,
6,18,1554,
5,210,1490,
5,151,1431,
5,99,1379,
5,51,1331,
5,0,1280,
4,213,1237,
248,0,-2048,
248,0,-2048,
2,201,713,
6,6,1542,
5,195,1475,
5,136,1416,
5,82,1362,
5,39,1319,
4,243,1267,
4,196,1220,
252,227,-797,
248,0,-2048,
252,38,-986,
6,17,1553,
5,202,1482,
5,144,1424,
5,88,1368,
5,42,1322,
4,249,1273,
4,200,1224,
3,84,852,
248,0,-2048,
248,0,-2048,
6,39,1575,
5,217,1497,
5,156,1436,
5,102,1382,
5,52,1332,
5,4,1284,
4,212,1236,
4,177,1201,
248,0,-2048,
248,0,-2048,
6,37,1573,
5,210,1490,
5,148,1428,
5,91,1371,
5,40,1320,
4,249,1273,
4,202,1226,
4,162,1186,
248,0,-2048,
248,0,-2048,
4,152,1176,
5,205,1485,
5,140,1420,
5,85,1365,
5,34,1314,
4,248,1272,
4,198,1222,
4,153,1177,
251,95,-1185,
248,0,-2048,
249,143,-1649,
6,20,1556,
5,203,1483,
5,145,1425,
5,89,1369,
5,41,1321,
4,247,1271,
4,201,1225,
3,178,946,
248,0,-2048,
248,0,-2048,
6,23,1559,
5,202,1482,
5,144,1424,
5,87,1367,
5,39,1319,
4,250,1274,
4,199,1223,
4,163,1187,
248,0,-2048,
248,0,-2048,
6,56,1592,
5,230,1510,
5,168,1448,
5,108,1388,
5,58,1338,
4,68,1092,
4,234,1258,
4,186,1210,
248,0,-2048,
248,0,-2048,
1,129,385,
6,39,1575,
5,227,1507,
5,167,1447,
5,113,1393,
5,69,1349,
5,16,1296,
4,224,1248,
252,92,-932,
248,0,-2048,
250,18,-1518,
6,66,1602,
5,248,1528,
5,186,1466,
5,129,1409,
5,82,1362,
5,34,1314,
4,236,1260,
2,77,589,
248,0,-2048,
248,0,-2048,
6,102,1638,
6,22,1558,
5,216,1496,
5,155,1435,
5,105,1385,
5,58,1338,
5,5,1285,
4,219,1243,
248,0,-2048,
248,0,-2048,
6,101,1637,
6,17,1553,
5,209,1489,
5,149,1429,
5,100,1380,
254,199,-313,
5,37,1317,
5,48,1328,
248,0,-2048,
248,0,-2048,
2,39,551,
6,132,1668,
6,60,1596,
5,253,1533,
5,197,1477,
5,148,1428,
5,91,1371,
5,41,1321,
252,252,-772,
248,0,-2048,
251,172,-1108,
6,106,1642,
6,34,1570,
5,227,1507,
5,167,1447,
5,116,1396,
5,65,1345,
5,17,1297,
4,114,1138,
248,0,-2048,
248,137,-1911,
6,24,1560,
5,204,1484,
5,147,1427,
5,90,1370,
5,43,1323,
4,241,1265,
4,202,1226,
4,146,1170,
248,0,-2048,
248,0,-2048,
6,84,1620,
6,2,1538,
5,194,1474,
5,135,1415,
5,84,1364,
5,39,1319,
4,243,1267,
4,201,1225,
248,0,-2048,
248,0,-2048,
4,104,1128,
6,3,1539,
5,193,1473,
5,134,1414,
5,82,1362,
5,38,1318,
4,242,1266,
4,197,1221,
251,100,-1180,
248,0,-2048,
250,169,-1367,
6,43,1579,
5,229,1509,
5,171,1451,
5,112,1392,
5,60,1340,
5,11,1291,
4,220,1244,
3,177,945,
248,0,-2048,
248,0,-2048,
6,24,1560,
5,203,1483,
5,145,1425,
5,89,1369,
5,40,1320,
4,251,1275,
4,201,1225,
4,164,1188,
248,0,-2048,
248,0,-2048,
6,37,1573,
5,211,1491,
5,150,1430,
5,91,1371,
5,42,1322,
4,253,1277,
4,203,1227,
4,165,1189,
248,0,-2048,
248,0,-2048,
3,118,886,
5,236,1516,
5,171,1451,
5,114,1394,
5,59,1339,
5,18,1298,
4,221,1245,
4,177,1201,
250,230,-1306,
248,0,-2048,
249,172,-1620,
6,43,1579,
5,227,1507,
5,166,1446,
5,107,1387,
5,60,1340,
5,10,1290,
4,218,1242,
3,163,931,
248,0,-2048,
248,0,-2048,
6,64,1600,
5,240,1520,
5,179,1459,
5,120,1400,
5,73,1353,
4,155,1179,
4,235,1259,
4,169,1193,
248,0,-2048,
248,0,-2048,
2,105,617,
6,96,1632,
6,26,1562,
5,215,1495,
5,160,1440,
5,108,1388,
5,55,1335,
5,12,1292,
248,0,-2048,
248,0,-2048,
4,71,1095,
6,57,1593,
5,245,1525,
5,185,1465,
5,131,1411,
5,84,1364,
5,32,1312,
4,242,1266,
252,147,-877,
248,0,-2048,
248,214,-1834,
6,90,1626,
6,17,1553,
5,211,1491,
5,151,1431,
5,107,1387,
2,200,712,
5,40,1320,
255,214,-42,
248,0,-2048,
248,0,-2048,
6,132,1668,
6,54,1590,
5,246,1526,
5,185,1465,
5,133,1413,
5,82,1362,
5,33,1313,
4,249,1273,
248,0,-2048,
248,0,-2048,
6,35,1571,
5,211,1491,
5,149,1429,
5,96,1376,
5,44,1324,
3,146,914,
4,243,1267,
4,187,1211,
248,0,-2048,
248,0,-2048,
2,147,659,
6,41,1577,
5,231,1511,
5,170,1450,
5,116,1396,
