First Byte, Second Byte, Brainwave Value, 3
3,226,994,
253,19,-749,
248,0,-2048,
4,166,1190,
4,92,1116,
4,41,1065,
3,218,986,
251,36,-1244,
4,36,1060,
3,232,1000,
3,189,957,
2,27,539,
248,0,-2048,
3,181,949,
4,118,1142,
4,66,1090,
3,202,970,
248,0,-2048,
4,170,1194,
4,100,1124,
4,45,1069,
4,6,1030,
248,0,-2048,
249,52,-1740,
5,36,1316,
4,230,1254,
4,180,1204,
248,0,-2048,
248,152,-1896,
5,112,1392,
5,38,1318,
4,246,1270,
248,0,-2048,
248,0,-2048,
6,87,1623,
6,8,1544,
4,193,1217,
248,0,-2048,
252,76,-948,
6,92,1628,
6,12,1548,
5,209,1489,
251,131,-1149,
248,0,-2048,
6,92,1628,
6,138,1674,
6,69,1605,
5,57,1337,
252,12,-1012,
6,23,1559,
5,200,1480,
5,139,1419,
3,56,824,
248,0,-2048,
255,124,-132,
6,86,1622,
6,19,1555,
5,146,1426,
248,0,-2048,
6,34,1570,
5,200,1480,
5,135,1415,
5,88,1368,
248,0,-2048,
248,0,-2048,
6,84,1620,
6,11,1547,
5,200,1480,
248,191,-1857,
5,98,1378,
5,192,1472,
5,123,1403,
5,73,1353,
248,0,-2048,
248,0,-2048,
6,65,1601,
5,240,1520,
5,178,1458,
254,216,-296,
0,212,212,
5,150,1430,
5,82,1362,
5,27,1307,
254,200,-312,
248,0,-2048,
5,251,1531,
5,184,1464,
5,121,1401,
4,43,1067,
253,20,-748,
5,80,1360,
5,10,1290,
4,214,1238,
3,249,1017,
248,0,-2048,
1,24,280,
5,129,1409,
5,66,1346,
4,240,1264,
248,0,-2048,
5,87,1367,
5,6,1286,
4,204,1228,
4,166,1190,
248,0,-2048,
248,0,-2048,
5,160,1440,
5,90,1370,
5,35,1315,
251,223,-1057,
4,225,1249,
4,252,1276,
4,195,1219,
4,150,1174,
248,0,-2048,
248,0,-2048,
5,145,1425,
5,67,1347,
5,8,1288,
2,85,597,
0,106,106,
4,219,1243,
4,162,1186,
4,114,1138,
255,69,-187,
248,0,-2048,
5,68,1348,
5,45,1325,
4,245,1269,
3,187,955,
250,50,-1486,
4,241,1265,
4,170,1194,
4,120,1144,
3,201,969,
248,0,-2048,
254,25,-487,
5,82,1362,
5,21,1301,
4,217,1241,
251,69,-1211,
4,242,1266,
4,169,1193,
4,118,1142,
4,82,1106,
248,0,-2048,
248,60,-1988,
5,44,1324,
4,234,1258,
4,181,1205,
255,29,-227,
4,176,1200,
4,108,1132,
4,58,1082,
4,20,1044,
251,185,-1095,
248,0,-2048,
4,178,1202,
4,107,1131,
4,57,1081,
2,129,641,
2,54,566,
4,5,1029,
3,211,979,
3,172,940,
1,231,487,
248,0,-2048,
4,66,1090,
3,249,1017,
3,203,971,
3,89,857,
250,23,-1513,
3,212,980,
3,155,923,
3,115,883,
3,81,849,
248,0,-2048,
1,80,336,
4,0,1024,
3,204,972,
3,166,934,
248,200,-1848,
3,230,998,
3,165,933,
3,120,888,
3,91,859,
248,0,-2048,
248,187,-1861,
4,38,1062,
3,236,1004,
3,193,961,
254,133,-379,
2,197,709,
3,172,940,
3,128,896,
3,92,860,
251,70,-1210,
248,0,-2048,
4,42,1066,
3,232,1000,
3,186,954,
1,170,426,
253,148,-620,
3,187,955,
3,136,904,
3,99,867,
1,112,368,
248,0,-2048,
4,53,1077,
3,244,1012,
3,196,964,
3,146,914,
249,124,-1668,
3,208,976,
3,148,916,
3,106,874,
3,76,844,
248,0,-2048,
255,124,-132,
4,20,1044,
3,225,993,
3,184,952,
249,137,-1655,
3,241,1009,
3,179,947,
3,134,902,
3,103,871,
248,0,-2048,
248,0,-2048,
4,56,1080,
3,251,1019,
3,205,973,
255,3,-253,
2,56,568,
3,188,956,
3,141,909,
3,106,874,
252,136,-888,
248,0,-2048,
4,52,1076,
3,241,1009,
3,195,963,
1,116,372,
252,42,-982,
3,210,978,
3,154,922,
3,116,884,
1,253,509,
248,0,-2048,
4,33,1057,
4,10,1034,
3,217,985,
3,173,941,
248,5,-2043,
3,245,1013,
3,182,950,
3,138,906,
3,109,877,
248,0,-2048,
253,187,-581,
4,65,1089,
4,9,1033,
3,224,992,
250,217,-1319,
3,251,1019,
3,209,977,
3,162,930,
3,130,898,
248,0,-2048,
248,0,-2048,
4,77,1101,
4,18,1042,
3,227,995,
254,88,-424,
1,102,358,
3,220,988,
3,171,939,
3,135,903,
253,168,-600,
248,0,-2048,
4,73,1097,
4,3,1027,
3,212,980,
3,61,829,
253,173,-595,
3,192,960,
3,138,906,
3,101,869,
2,152,664,
248,0,-2048,
4,3,1027,
3,214,982,
3,166,934,
3,133,901,
248,60,-1988,
3,197,965,
3,134,902,
3,91,859,
3,67,835,
248,0,-2048,
253,74,-694,
4,6,1030,
3,208,976,
3,167,935,
250,200,-1336,
3,156,924,
3,164,932,
3,118,886,
3,87,855,
248,0,-2048,
248,0,-2048,
4,34,1058,
3,227,995,
3,182,950,
0,51,51,
0,113,113,
3,172,940,
3,124,892,
3,89,857,
254,127,-385,
248,0,-2048,
4,32,1056,
3,217,985,
3,171,939,
3,45,813,
251,63,-1217,
3,176,944,
3,121,889,
3,83,851,
2,171,683,
248,0,-2048,
3,107,875,
3,230,998,
3,182,950,
3,147,915,
248,7,-2041,
3,215,983,
3,150,918,
3,106,874,
3,81,849,
248,0,-2048,
251,215,-1065,
4,28,1052,
3,230,998,
3,186,954,
251,67,-1213,
3,121,889,
3,183,951,
3,137,905,
3,104,872,
248,59,-1989,
248,0,-2048,
4,50,1074,
3,242,1010,
3,197,965,
0,20,20,
255,11,-245,
3,199,967,
3,149,917,
3,112,880,
255,73,-183,
248,0,-2048,
4,65,1089,
3,247,1015,
3,200,968,
3,49,817,
249,212,-1580,
3,217,985,
3,161,929,
3,119,887,
2,248,760,
248,0,-2048,
2,150,662,
4,27,1051,
3,233,1001,
3,195,963,
248,0,-2048,
4,17,1041,
3,203,971,
3,156,924,
3,129,897,
248,0,-2048,
249,195,-1597,
4,100,1124,
4,41,1065,
3,251,1019,
252,45,-979,
3,56,824,
3,243,1011,
3,194,962,
3,157,925,
248,220,-1828,
248,0,-2048,
4,118,1142,
4,51,1075,
4,3,1027,
1,36,292,
254,244,-268,
3,250,1018,
3,198,966,
3,157,925,
0,17,17,
248,0,-2048,
4,121,1145,
4,44,1068,
3,250,1018,
3,185,953,
249,228,-1564,
4,2,1026,
3,198,966,
3,154,922,
3,76,844,
248,0,-2048,
1,147,403,
4,66,1090,
4,12,1036,
3,229,997,
249,89,-1703,
4,24,1048,
3,213,981,
3,168,936,
3,137,905,
248,0,-2048,
250,149,-1387,
4,61,1085,
4,4,1028,
3,215,983,
253,124,-644,
2,112,624,
3,208,976,
3,160,928,
3,123,891,
250,29,-1507,
248,0,-2048,
4,76,1100,
4,9,1033,
3,218,986,
1,96,352,
253,175,-593,
3,220,988,
3,168,936,
3,130,898,
1,4,260,
248,0,-2048,
4,73,1097,
4,1,1025,
3,209,977,
3,154,922,
248,19,-2029,
3,237,1005,
3,176,944,
3,133,901,
3,81,849,
248,0,-2048,
255,190,-66,
4,67,1091,
4,12,1036,
3,227,995,
248,189,-1859,
4,27,1051,
3,229,997,
3,182,950,
3,150,918,
248,0,-2048,
248,0,-2048,
4,121,1145,
4,59,1083,
4,12,1036,
254,23,-489,
2,154,666,
3,251,1019,
3,201,969,
3,165,933,
251,42,-1238,
248,0,-2048,
4,119,1143,
4,50,1074,
4,1,1025,
2,28,540,
253,109,-659,
3,251,1019,
3,198,966,
3,160,928,
1,176,432,
248,0,-2048,
4,101,1125,
4,29,1053,
3,235,1003,
3,186,954,
248,0,-2048,
4,53,1077,
3,236,1004,
3,192,960,
3,130,898,
248,0,-2048,
252,50,-974,
4,177,1201,
4,118,1142,
4,72,1096,
248,0,-2048,
4,100,1124,
4,90,1114,
4,38,1062,
4,3,1027,
248,0,-2048,
248,0,-2048,
4,250,1274,
4,183,1207,
4,131,1155,
0,198,198,
3,57,825,
4,84,1108,
4,32,1056,
3,246,1014,
252,166,-858,
248,0,-2048,
4,186,1210,
4,114,1138,
