First Byte, Second Byte, Brainwave Value, 23
248,0,-2048,
7,255,2047,
7,255,2047,
3,146,914,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
3,10,778,
4,152,1176,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,184,440,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,199,1991,
7,130,1922,
7,39,1831,
248,0,-2048,
252,210,-814,
7,226,2018,
7,138,1930,
7,64,1856,
6,250,1786,
6,185,1721,
6,123,1659,
6,64,1600,
6,11,1547,
248,0,-2048,
248,0,-2048,
7,40,1832,
6,203,1739,
6,133,1669,
6,69,1605,
6,9,1545,
5,209,1489,
5,155,1435,
5,104,1384,
255,141,-115,
248,0,-2048,
252,93,-931,
6,133,1669,
6,57,1593,
5,252,1532,
5,197,1477,
5,138,1418,
5,87,1367,
5,38,1318,
4,224,1248,
248,0,-2048,
248,0,-2048,
6,91,1627,
6,11,1547,
5,205,1485,
5,151,1431,
5,97,1377,
5,44,1324,
4,253,1277,
4,215,1239,
248,0,-2048,
248,0,-2048,
6,3,1539,
5,177,1457,
5,116,1396,
5,60,1340,
5,11,1291,
4,220,1244,
4,177,1201,
4,135,1159,
252,151,-873,
248,0,-2048,
5,120,1400,
5,38,1318,
4,235,1259,
4,185,1209,
4,139,1163,
4,99,1123,
4,57,1081,
4,20,1044,
3,10,778,
248,0,-2048,
4,201,1225,
4,122,1146,
4,69,1093,
4,24,1048,
3,241,1009,
3,202,970,
3,168,936,
3,135,903,
3,112,880,
248,0,-2048,
3,106,874,
3,210,978,
3,161,929,
3,121,889,
3,87,855,
3,56,824,
3,26,794,
2,253,765,
2,231,743,
248,0,-2048,
254,214,-298,
3,71,839,
3,24,792,
2,246,758,
2,216,728,
2,188,700,
2,164,676,
2,139,651,
2,118,630,
254,13,-499,
249,249,-1543,
2,213,725,
2,168,680,
2,136,648,
2,112,624,
2,87,599,
2,66,578,
2,44,556,
2,25,537,
2,16,528,
248,0,-2048,
2,138,650,
2,86,598,
2,55,567,
2,33,545,
252,20,-1004,
248,0,-2048,
2,250,762,
3,123,891,
3,85,853,
248,0,-2048,
248,0,-2048,
248,0,-2048,
252,167,-857,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
253,53,-715,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
2,92,604,
7,255,2047,
6,64,1600,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,13,-2035,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,57,-1991,
248,130,-1918,
248,202,-1846,
249,24,-1768,
7,255,2047,
7,255,2047,
248,22,-2026,
248,68,-1980,
248,152,-1896,
250,132,-1404,
249,57,-1735,
249,66,-1726,
249,140,-1652,
249,226,-1566,
7,255,2047,
7,255,2047,
0,49,49,
248,133,-1915,
248,217,-1831,
253,18,-750,
1,167,423,
249,8,-1784,
249,98,-1694,
249,188,-1604,
7,255,2047,
7,255,2047,
7,255,2047,
248,34,-2014,
248,119,-1929,
252,181,-843,
7,255,2047,
251,106,-1174,
248,151,-1897,
248,243,-1805,
6,8,1544,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,7,-1785,
6,147,1683,
255,164,-92,
248,35,-2013,
248,131,-1917,
251,84,-1196,
7,255,2047,
7,255,2047,
248,203,-1845,
248,0,-2048,
248,41,-2007,
6,73,1609,
7,233,2025,
248,0,-2048,
248,22,-2026,
252,34,-990,
7,255,2047,
7,255,2047,
3,178,946,
248,0,-2048,
248,0,-2048,
7,44,1836,
7,255,2047,
255,174,-82,
248,0,-2048,
248,182,-1866,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
250,218,-1318,
7,255,2047,
250,181,-1355,
248,0,-2048,
248,0,-2048,
250,146,-1390,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
251,35,-1245,
248,0,-2048,
248,0,-2048,
248,58,-1990,
248,142,-1906,
7,255,2047,
7,255,2047,
250,50,-1486,
248,0,-2048,
248,53,-1995,
251,221,-1059,
252,214,-810,
248,168,-1880,
248,254,-1794,
249,78,-1714,
3,137,905,
7,255,2047,
3,34,802,
248,102,-1946,
248,188,-1860,
250,164,-1372,
0,228,228,
249,7,-1785,
249,95,-1697,
249,174,-1618,
255,26,-230,
7,255,2047,
7,255,2047,
248,135,-1913,
248,220,-1828,
250,213,-1323,
7,255,2047,
254,23,-489,
248,252,-1796,
249,86,-1706,
252,67,-957,
7,255,2047,
7,255,2047,
248,222,-1826,
248,98,-1950,
248,215,-1833,
5,54,1334,
2,128,640,
248,149,-1899,
248,244,-1804,
249,77,-1715,
7,255,2047,
7,255,2047,
254,178,-334,
248,68,-1980,
248,154,-1894,
0,60,60,
4,201,1225,
248,140,-1908,
248,237,-1811,
249,66,-1726,
1,251,507,
7,255,2047,
6,83,1619,
248,83,-1965,
248,168,-1880,
253,26,-742,
7,255,2047,
250,70,-1466,
248,207,-1841,
249,41,-1751,
254,10,-502,
7,255,2047,
7,255,2047,
248,26,-2022,
248,115,-1933,
250,74,-1462,
7,255,2047,
0,250,250,
248,122,-1926,
248,216,-1832,
250,69,-1467,
7,255,2047,
7,255,2047,
248,154,-1894,
248,41,-2007,
248,157,-1891,
6,135,1671,
6,81,1617,
248,40,-2008,
248,139,-1909,
248,255,-1793,
7,255,2047,
7,255,2047,
0,100,100,
248,0,-2048,
248,59,-1989,
2,220,732,
7,255,2047,
248,142,-1906,
248,47,-2001,
248,141,-1907,
5,124,1404,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,229,-27,
7,255,2047,
0,233,233,
248,0,-2048,
248,0,-2048,
0,72,72,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,188,-1092,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
250,157,-1379,
7,255,2047,
7,255,2047,
249,68,-1724,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,151,-1897,
248,0,-2048,
248,194,-1854,
7,255,2047,
7,255,2047,
3,185,953,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
255,30,-226,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,69,325,
7,255,2047,
5,179,1459,
248,0,-2048,
248,0,-2048,
0,164,164,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,86,-1194,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,255,-769,
7,255,2047,
7,255,2047,
252,182,-842,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
250,7,-1529,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,178,1202,
248,0,-2048,
248,0,-2048,
6,201,1737,
7,255,2047,
1,60,316,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,66,322,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,249,249,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,123,-1669,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
250,116,-1420,
7,255,2047,
