First Byte, Second Byte, Brainwave Value, 14
7,255,2047,
7,255,2047,
253,100,-668,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,199,199,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
4,228,1252,
248,0,-2048,
248,56,-1992,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
249,73,-1719,
248,0,-2048,
248,0,-2048,
2,215,727,
7,255,2047,
248,93,-1955,
248,0,-2048,
5,220,1500,
7,255,2047,
7,255,2047,
2,245,757,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
251,244,-1036,
248,0,-2048,
248,211,-1837,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,59,1851,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
6,152,1688,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
0,81,81,
248,0,-2048,
248,0,-2048,
253,204,-564,
7,255,2047,
254,179,-333,
248,0,-2048,
253,229,-539,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
2,162,674,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
6,253,1789,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
252,20,-1004,
248,0,-2048,
248,0,-2048,
3,154,922,
7,255,2047,
254,120,-392,
248,0,-2048,
2,35,547,
7,255,2047,
7,255,2047,
6,27,1563,
248,0,-2048,
248,0,-2048,
249,12,-1780,
7,255,2047,
2,13,525,
248,0,-2048,
249,90,-1702,
7,255,2047,
