First Byte, Second Byte, Brainwave Value, 3
1,136,392,
251,125,-1155,
251,37,-1243,
251,95,-1185,
251,150,-1130,
251,199,-1081,
252,23,-1001,
252,20,-1004,
252,58,-966,
252,159,-865,
7,255,2047,
7,255,2047,
7,255,2047,
250,142,-1394,
250,220,-1316,
251,29,-1251,
5,186,1466,
2,27,539,
250,235,-1301,
251,52,-1228,
7,255,2047,
1,22,278,
253,116,-652,
251,10,-1270,
251,78,-1202,
251,137,-1143,
254,37,-475,
4,212,1236,
251,122,-1158,
251,187,-1093,
5,50,1330,
5,141,1421,
1,204,460,
251,77,-1203,
251,152,-1128,
251,212,-1068,
252,9,-1015,
0,0,0,
252,31,-993,
252,84,-940,
255,31,-225,
7,255,2047,
7,255,2047,
255,89,-167,
251,28,-1252,
251,99,-1181,
251,174,-1106,
7,255,2047,
1,51,307,
250,199,-1337,
251,40,-1240,
7,255,2047,
0,164,164,
250,203,-1333,
250,210,-1326,
251,22,-1258,
251,79,-1201,
3,96,864,
7,91,1883,
250,246,-1290,
251,62,-1218,
7,255,2047,
7,59,1851,
2,68,580,
250,116,-1420,
250,194,-1342,
251,4,-1276,
253,110,-658,
6,72,1608,
250,243,-1293,
251,57,-1223,
3,193,961,
7,255,2047,
3,118,886,
250,138,-1398,
250,219,-1317,
251,28,-1252,
251,93,-1187,
7,255,2047,
253,52,-716,
250,222,-1314,
253,3,-765,
7,255,2047,
3,200,968,
250,200,-1336,
250,147,-1389,
250,218,-1318,
251,25,-1255,
7,255,2047,
7,13,1805,
250,124,-1412,
250,216,-1320,
7,255,2047,
252,191,-833,
250,198,-1338,
250,229,-1307,
251,37,-1243,
251,93,-1187,
3,209,977,
7,255,2047,
250,203,-1333,
251,24,-1256,
7,255,2047,
4,140,1164,
7,255,2047,
250,68,-1468,
250,150,-1386,
250,220,-1316,
255,248,-8,
7,255,2047,
250,170,-1366,
250,246,-1290,
1,205,461,
7,255,2047,
3,60,828,
250,148,-1388,
250,191,-1345,
251,9,-1271,
7,255,2047,
7,255,2047,
250,250,-1286,
249,213,-1579,
252,252,-772,
7,255,2047,
4,187,1211,
0,12,12,
249,68,-1724,
249,157,-1635,
5,145,1425,
7,255,2047,
7,255,2047,
248,102,-1946,
248,237,-1811,
7,255,2047,
0,162,162,
254,63,-449,
248,111,-1937,
248,206,-1842,
249,31,-1761,
255,29,-227,
7,255,2047,
248,201,-1847,
249,13,-1779,
7,255,2047,
5,21,1301,
3,227,995,
248,137,-1911,
248,235,-1813,
249,63,-1729,
252,238,-786,
7,255,2047,
249,204,-1588,
248,239,-1809,
254,235,-277,
5,250,1530,
252,248,-776,
