First Byte, Second Byte, Brainwave Value, 2
248,0,-2048,
249,149,-1643,
7,255,2047,
7,255,2047,
4,184,1208,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,138,1162,
248,0,-2048,
248,0,-2048,
1,167,423,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
250,163,-1373,
248,0,-2048,
2,194,706,
7,255,2047,
7,255,2047,
255,141,-115,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
5,132,1412,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
4,35,1059,
7,255,2047,
7,255,2047,
250,179,-1357,
248,0,-2048,
3,68,836,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,31,-1249,
7,255,2047,
7,255,2047,
3,154,922,
248,0,-2048,
248,185,-1863,
7,255,2047,
7,255,2047,
0,87,87,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,44,-2004,
7,255,2047,
7,255,2047,
7,255,2047,
1,149,405,
2,66,578,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
1,232,488,
249,38,-1754,
5,180,1460,
7,225,2017,
7,137,1929,
251,136,-1144,
248,0,-2048,
249,217,-1575,
7,255,2047,
7,254,2046,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
5,50,1330,
248,0,-2048,
249,175,-1617,
7,255,2047,
7,255,2047,
5,192,1472,
248,0,-2048,
248,234,-1814,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
249,166,-1626,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
1,23,279,
248,183,-1865,
7,120,1912,
7,255,2047,
7,208,2000,
1,26,282,
248,0,-2048,
5,32,1312,
7,255,2047,
7,213,2005,
4,160,1184,
248,0,-2048,
254,104,-408,
7,225,2017,
7,129,1921,
5,226,1506,
248,0,-2048,
251,35,-1245,
7,255,2047,
7,171,1963,
7,53,1845,
252,46,-978,
0,57,57,
7,91,1883,
7,2,1794,
6,194,1730,
248,0,-2048,
248,0,-2048,
7,186,1978,
7,90,1882,
7,23,1815,
252,178,-846,
248,0,-2048,
5,152,1432,
7,73,1865,
6,249,1785,
248,22,-2026,
248,0,-2048,
6,234,1770,
7,154,1946,
7,82,1874,
249,199,-1593,
248,0,-2048,
1,33,289,
7,247,2039,
7,157,1949,
1,224,480,
248,0,-2048,
254,108,-404,
7,255,2047,
7,217,2009,
2,53,565,
248,0,-2048,
248,186,-1862,
7,255,2047,
7,255,2047,
7,57,1849,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
255,191,-65,
248,0,-2048,
248,0,-2048,
1,182,438,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
6,232,1768,
7,255,2047,
7,195,1987,
248,0,-2048,
248,0,-2048,
254,190,-322,
7,255,2047,
7,255,2047,
253,74,-694,
248,0,-2048,
5,103,1383,
7,255,2047,
7,255,2047,
4,51,1075,
248,0,-2048,
3,117,885,
7,255,2047,
7,255,2047,
5,196,1476,
248,0,-2048,
255,194,-62,
7,255,2047,
7,255,2047,
7,101,1893,
250,26,-1510,
254,252,-260,
7,255,2047,
7,255,2047,
7,180,1972,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,3,1795,
248,0,-2048,
248,0,-2048,
7,210,2002,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,154,154,
7,255,2047,
7,255,2047,
255,183,-73,
248,0,-2048,
251,157,-1123,
7,255,2047,
7,255,2047,
254,38,-474,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,218,1754,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,201,713,
248,0,-2048,
248,0,-2048,
255,210,-46,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,170,682,
248,0,-2048,
248,0,-2048,
0,200,200,
7,255,2047,
7,255,2047,
248,90,-1958,
248,0,-2048,
1,68,324,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
253,29,-739,
7,255,2047,
7,255,2047,
4,40,1064,
248,0,-2048,
0,38,38,
7,255,2047,
7,255,2047,
255,166,-90,
248,0,-2048,
248,0,-2048,
7,68,1860,
7,255,2047,
7,218,2010,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
249,140,-1652,
248,0,-2048,
