First Byte, Second Byte, Brainwave Value, 26
5,120,1400,
5,41,1321,
4,241,1265,
4,192,1216,
4,147,1171,
4,106,1130,
4,64,1088,
4,24,1048,
254,67,-445,
248,0,-2048,
4,71,1095,
5,25,1305,
4,221,1245,
4,171,1195,
4,128,1152,
4,91,1115,
4,50,1074,
4,8,1032,
2,24,536,
248,0,-2048,
250,171,-1365,
5,66,1346,
5,2,1282,
4,203,1227,
4,156,1180,
4,116,1140,
4,76,1100,
4,34,1058,
4,2,1026,
248,0,-2048,
248,0,-2048,
5,67,1347,
4,253,1277,
4,200,1224,
4,153,1177,
4,112,1136,
4,74,1098,
4,28,1052,
3,250,1018,
248,0,-2048,
248,0,-2048,
5,51,1331,
4,229,1253,
4,176,1200,
4,128,1152,
4,84,1108,
4,48,1072,
4,5,1029,
3,225,993,
254,75,-437,
248,0,-2048,
4,253,1277,
4,184,1208,
4,129,1153,
4,83,1107,
4,40,1064,
4,5,1029,
3,220,988,
3,184,952,
3,3,771,
248,0,-2048,
255,7,-249,
4,182,1206,
4,122,1146,
4,75,1099,
4,34,1058,
3,253,1021,
3,180,948,
3,180,948,
3,147,915,
248,0,-2048,
248,0,-2048,
5,71,1351,
4,251,1275,
4,198,1222,
4,149,1173,
4,106,1130,
4,71,1095,
4,25,1049,
3,247,1015,
248,0,-2048,
248,0,-2048,
4,247,1271,
4,177,1201,
4,122,1146,
4,77,1101,
4,37,1061,
4,4,1028,
3,226,994,
3,183,951,
253,63,-705,
248,0,-2048,
255,117,-139,
5,10,1290,
4,205,1229,
4,156,1180,
4,113,1137,
4,73,1097,
4,34,1058,
3,249,1017,
3,123,891,
248,0,-2048,
253,245,-523,
4,240,1264,
4,178,1202,
4,129,1153,
4,85,1109,
4,44,1068,
4,10,1034,
3,224,992,
3,196,964,
248,0,-2048,
248,0,-2048,
5,13,1293,
4,201,1225,
4,149,1173,
4,103,1127,
4,64,1088,
4,18,1042,
3,243,1011,
3,208,976,
248,0,-2048,
248,0,-2048,
5,43,1323,
5,4,1284,
4,202,1226,
4,153,1177,
4,109,1133,
4,74,1098,
4,41,1065,
3,251,1019,
253,166,-602,
248,0,-2048,
254,203,-309,
5,71,1351,
5,7,1287,
4,213,1237,
4,166,1190,
4,128,1152,
4,86,1110,
4,40,1064,
3,154,922,
248,0,-2048,
250,20,-1516,
5,65,1345,
5,0,1280,
4,202,1226,
4,155,1179,
4,118,1142,
253,221,-547,
4,120,1144,
4,54,1078,
248,0,-2048,
248,0,-2048,
5,180,1460,
5,101,1381,
5,43,1323,
4,248,1272,
4,201,1225,
4,100,1124,
4,122,1146,
4,80,1104,
248,0,-2048,
248,0,-2048,
5,178,1458,
5,104,1384,
5,43,1323,
4,248,1272,
4,200,1224,
4,161,1185,
4,115,1139,
4,73,1097,
1,18,274,
248,0,-2048,
2,248,760,
5,57,1337,
4,251,1275,
4,200,1224,
4,154,1178,
4,119,1143,
3,120,888,
4,51,1075,
3,92,860,
248,0,-2048,
248,0,-2048,
5,114,1394,
5,42,1322,
4,245,1269,
4,196,1220,
4,157,1181,
0,55,55,
4,121,1145,
4,68,1092,
248,0,-2048,
248,0,-2048,
5,195,1475,
5,116,1396,
5,57,1337,
5,6,1286,
4,214,1238,
4,178,1202,
4,125,1149,
4,87,1111,
248,94,-1954,
248,0,-2048,
5,104,1384,
5,114,1394,
5,53,1333,
5,1,1281,
4,209,1233,
4,171,1195,
4,123,1147,
4,80,1104,
255,118,-138,
248,0,-2048,
1,34,290,
5,103,1383,
5,40,1320,
4,243,1267,
4,196,1220,
4,160,1184,
1,196,452,
4,105,1129,
3,84,852,
248,0,-2048,
248,0,-2048,
5,137,1417,
5,69,1349,
5,12,1292,
4,218,1242,
4,177,1201,
4,135,1159,
4,88,1112,
4,54,1078,
248,0,-2048,
248,0,-2048,
5,108,1388,
5,35,1315,
4,234,1258,
4,185,1209,
4,141,1165,
4,105,1129,
4,58,1082,
4,21,1045,
248,122,-1926,
248,0,-2048,
5,59,1339,
5,55,1335,
4,251,1275,
4,202,1226,
4,155,1179,
4,119,1143,
4,73,1097,
4,44,1068,
255,174,-82,
248,0,-2048,
254,37,-475,
5,93,1373,
5,29,1309,
4,233,1257,
4,185,1209,
4,146,1170,
4,104,1128,
4,57,1081,
4,2,1026,
248,0,-2048,
248,0,-2048,
5,103,1383,
5,35,1315,
4,235,1259,
4,187,1211,
4,146,1170,
4,20,1044,
4,65,1089,
4,28,1052,
248,0,-2048,
248,0,-2048,
5,128,1408,
5,51,1331,
4,249,1273,
4,200,1224,
4,154,1178,
4,118,1142,
4,72,1096,
4,33,1057,
249,132,-1660,
248,0,-2048,
5,17,1297,
5,64,1344,
5,4,1284,
4,210,1234,
4,163,1187,
4,124,1148,
4,82,1106,
4,38,1062,
1,250,506,
248,0,-2048,
0,248,248,
5,34,1314,
4,229,1253,
4,178,1202,
4,133,1157,
4,92,1116,
4,54,1078,
4,9,1033,
3,232,1000,
248,0,-2048,
248,0,-2048,
5,54,1334,
4,243,1267,
4,188,1212,
4,141,1165,
4,103,1127,
0,166,166,
4,83,1107,
4,28,1052,
248,0,-2048,
248,0,-2048,
5,153,1433,
5,73,1353,
5,17,1297,
4,220,1244,
4,177,1201,
3,245,1013,
4,123,1147,
4,72,1096,
248,187,-1861,
248,0,-2048,
2,76,588,
5,138,1418,
5,74,1354,
5,21,1301,
4,229,1253,
4,189,1213,
4,147,1171,
4,99,1123,
2,0,512,
248,0,-2048,
255,101,-155,
5,103,1383,
5,39,1319,
4,243,1267,
4,195,1219,
4,154,1178,
4,107,1131,
4,66,1090,
4,33,1057,
248,0,-2048,
248,0,-2048,
5,90,1370,
5,21,1301,
4,224,1248,
4,173,1197,
4,132,1156,
4,97,1121,
4,49,1073,
4,16,1040,
248,0,-2048,
248,0,-2048,
5,107,1387,
5,29,1309,
4,230,1254,
4,181,1205,
4,136,1160,
4,102,1126,
4,55,1079,
4,16,1040,
252,63,-961,
248,0,-2048,
5,28,1308,
5,13,1293,
4,212,1236,
4,163,1187,
4,118,1142,
4,85,1109,
4,4,1028,
4,8,1032,
1,152,408,
248,0,-2048,
251,228,-1052,
5,59,1339,
4,251,1275,
4,200,1224,
4,153,1177,
4,115,1139,
4,74,1098,
4,28,1052,
4,0,1024,
248,0,-2048,
248,0,-2048,
5,88,1368,
5,19,1299,
4,218,1242,
4,170,1194,
4,131,1155,
1,11,267,
4,97,1121,
4,43,1067,
248,0,-2048,
248,0,-2048,
5,157,1437,
5,76,1356,
5,19,1299,
4,224,1248,
4,178,1202,
4,124,1148,
4,104,1128,
4,56,1080,
251,147,-1133,
248,0,-2048,
0,96,96,
5,124,1404,
5,61,1341,
5,8,1288,
4,216,1240,
4,178,1202,
4,132,1156,
4,84,1108,
3,55,823,
248,0,-2048,
249,9,-1783,
5,134,1414,
5,66,1346,
5,10,1290,
4,218,1242,
4,177,1201,
4,135,1159,
4,86,1110,
4,56,1080,
248,0,-2048,
248,0,-2048,
5,146,1426,
5,70,1350,
5,12,1292,
4,218,1242,
4,176,1200,
4,71,1095,
4,92,1116,
4,54,1078,
248,0,-2048,
248,0,-2048,
5,173,1453,
5,106,1386,
5,48,1328,
4,250,1274,
4,202,1226,
4,165,1189,
4,117,1141,
4,74,1098,
254,30,-482,
248,0,-2048,
1,119,375,
5,112,1392,
5,48,1328,
4,251,1275,
4,203,1227,
4,167,1191,
4,88,1112,
4,83,1107,
2,119,631,
248,0,-2048,
248,100,-1948,
5,148,1428,
5,77,1357,
5,22,1302,
4,229,1253,
4,186,1210,
4,115,1139,
4,100,1124,
4,66,1090,
248,0,-2048,
248,0,-2048,
5,184,1464,
5,106,1386,
5,49,1329,
4,252,1276,
4,209,1233,
2,228,740,
4,164,1188,
4,107,1131,
248,0,-2048,
248,0,-2048,
4,210,1234,
5,186,1466,
5,123,1403,
5,69,1349,
5,20,1300,
4,200,1224,
4,202,1226,
4,154,1178,
252,101,-923,
248,0,-2048,
252,114,-910,
5,233,1513,
5,165,1445,
5,106,1386,
5,56,1336,
5,16,1296,
4,145,1169,
4,182,1206,
3,53,821,
248,0,-2048,
248,0,-2048,
5,248,1528,
5,176,1456,
5,116,1396,
5,64,1344,
5,19,1299,
3,151,919,
4,195,1219,
4,149,1173,
248,0,-2048,
248,0,-2048,
6,23,1559,
5,197,1477,
5,135,1415,
5,81,1361,
5,34,1314,
3,66,834,
4,240,1264,
4,181,1205,
248,0,-2048,
248,0,-2048,
6,17,1553,
5,200,1480,
5,137,1417,
5,82,1362,
5,33,1313,
4,208,1232,
4,217,1241,
4,163,1187,
254,133,-379,
248,0,-2048,
254,150,-362,
5,202,1482,
5,134,1414,
5,77,1357,
5,26,1306,
4,244,1268,
3,194,962,
4,167,1191,
2,205,717,
248,0,-2048,
248,0,-2048,
5,215,1495,
5,144,1424,
5,86,1366,
5,34,1314,
4,244,1268,
4,201,1225,
4,151,1175,
4,116,1140,
248,0,-2048,
248,0,-2048,
5,193,1473,
5,115,1395,
5,56,1336,
5,5,1285,
4,214,1238,
4,173,1197,
4,128,1152,
4,87,1111,
248,0,-2048,
248,0,-2048,
5,148,1428,
5,134,1414,
5,71,1351,
5,19,1299,
4,227,1251,
4,188,1212,
4,141,1165,
4,97,1121,
255,132,-124,
248,0,-2048,
251,170,-1110,
5,170,1450,
5,103,1383,
5,49,1329,
4,252,1276,
4,214,1238,
4,4,1028,
4,133,1157,
2,215,727,
248,0,-2048,
248,0,-2048,
5,197,1477,
5,125,1405,
5,69,1349,
5,18,1298,
4,229,1253,
4,154,1178,
4,138,1162,
4,103,1127,
248,0,-2048,
248,0,-2048,
5,248,1528,
5,167,1447,
5,105,1385,
5,52,1332,
5,4,1284,
4,194,1218,
4,172,1196,
4,129,1153,
248,0,-2048,
248,0,-2048,
3,162,930,
5,192,1472,
5,125,1405,
5,71,1351,
5,21,1301,
4,99,1123,
3,75,843,
4,193,1217,
254,38,-474,
248,0,-2048,
249,186,-1606,
6,8,1544,
5,194,1474,
5,133,1413,
5,82,1362,
5,36,1316,
4,245,1269,
4,194,1218,
4,44,1068,
248,0,-2048,
248,0,-2048,
5,243,1523,
5,168,1448,
5,108,1388,
5,57,1337,
5,9,1289,
4,169,1193,
4,176,1200,
4,136,1160,
248,0,-2048,
248,0,-2048,
6,2,1538,
5,173,1453,
5,113,1393,
5,58,1338,
5,10,1290,
2,228,740,
4,183,1207,
4,184,1208,
