First Byte, Second Byte, Brainwave Value, 20
5,124,1404,
5,68,1348,
5,17,1297,
4,231,1255,
2,177,689,
4,164,1188,
4,117,1141,
248,0,-2048,
248,0,-2048,
6,25,1561,
5,199,1479,
5,137,1417,
5,83,1363,
5,32,1312,
4,240,1264,
4,194,1218,
4,152,1176,
250,236,-1300,
248,0,-2048,
5,103,1383,
5,148,1428,
5,85,1365,
5,32,1312,
4,240,1264,
4,199,1223,
4,151,1175,
4,105,1129,
255,25,-231,
248,0,-2048,
248,204,-1844,
5,211,1491,
5,140,1420,
5,84,1364,
5,33,1313,
4,243,1267,
4,200,1224,
4,150,1174,
3,241,1009,
248,0,-2048,
248,0,-2048,
6,32,1568,
5,208,1488,
5,148,1428,
5,91,1371,
5,41,1321,
4,252,1276,
4,202,1226,
4,164,1188,
248,0,-2048,
248,0,-2048,
6,11,1547,
5,203,1483,
5,140,1420,
5,86,1366,
5,35,1315,
4,245,1269,
4,197,1221,
4,154,1178,
253,126,-642,
248,0,-2048,
1,98,354,
5,184,1464,
5,119,1399,
5,65,1345,
5,13,1293,
4,224,1248,
4,178,1202,
4,134,1158,
3,252,1020,
248,0,-2048,
249,71,-1721,
5,156,1436,
5,87,1367,
5,33,1313,
4,236,1260,
4,194,1218,
4,151,1175,
4,104,1128,
4,72,1096,
248,0,-2048,
248,0,-2048,
5,203,1483,
5,124,1404,
5,67,1347,
5,13,1293,
4,221,1245,
4,178,1202,
4,133,1157,
4,93,1117,
248,101,-1947,
248,0,-2048,
5,96,1376,
5,120,1400,
5,58,1338,
5,6,1286,
4,214,1238,
4,98,1122,
3,241,1009,
4,123,1147,
252,61,-963,
248,0,-2048,
248,0,-2048,
6,0,1536,
5,183,1463,
5,125,1405,
5,70,1350,
5,22,1302,
4,230,1254,
4,184,1208,
4,139,1163,
248,0,-2048,
248,0,-2048,
5,219,1499,
5,146,1426,
5,87,1367,
5,35,1315,
4,244,1268,
4,202,1226,
4,152,1176,
4,117,1141,
248,0,-2048,
248,0,-2048,
5,250,1530,
5,184,1464,
5,122,1402,
5,68,1348,
5,19,1299,
4,231,1255,
4,181,1205,
4,139,1163,
251,179,-1101,
248,0,-2048,
0,122,122,
5,197,1477,
5,132,1412,
5,74,1354,
5,24,1304,
4,235,1259,
4,187,1211,
4,144,1168,
2,202,714,
248,0,-2048,
249,58,-1734,
5,195,1475,
5,123,1403,
5,68,1348,
5,18,1298,
4,229,1253,
4,185,1209,
4,135,1159,
4,99,1123,
248,0,-2048,
248,0,-2048,
5,229,1509,
5,151,1431,
5,91,1371,
5,38,1318,
4,246,1270,
4,204,1228,
4,155,1179,
4,117,1141,
248,0,-2048,
248,0,-2048,
5,88,1368,
5,170,1450,
5,107,1387,
5,54,1334,
5,3,1283,
4,219,1243,
4,169,1193,
4,123,1147,
253,108,-660,
248,0,-2048,
250,125,-1411,
5,226,1506,
5,154,1434,
5,99,1379,
5,48,1328,
5,3,1283,
4,212,1236,
4,163,1187,
4,9,1033,
248,0,-2048,
248,0,-2048,
5,230,1510,
5,155,1435,
5,98,1378,
5,44,1324,
5,0,1280,
255,207,-49,
4,245,1269,
4,154,1178,
248,0,-2048,
248,0,-2048,
6,83,1619,
6,0,1536,
5,192,1472,
5,134,1414,
5,82,1362,
5,37,1317,
4,243,1267,
4,197,1221,
248,36,-2012,
248,0,-2048,
1,10,266,
6,11,1547,
5,200,1480,
5,144,1424,
5,88,1368,
4,219,1243,
255,93,-163,
5,32,1312,
254,122,-390,
248,0,-2048,
249,42,-1750,
6,82,1618,
6,7,1543,
5,201,1481,
5,146,1426,
5,99,1379,
3,240,1008,
5,12,1292,
4,151,1175,
248,0,-2048,
248,0,-2048,
6,89,1625,
6,8,1544,
5,202,1482,
5,145,1425,
5,96,1376,
0,84,84,
5,74,1354,
5,20,1300,
248,0,-2048,
248,0,-2048,
2,60,572,
6,116,1652,
6,44,1580,
5,237,1517,
5,181,1461,
5,69,1349,
5,74,1354,
5,55,1335,
250,7,-1529,
248,0,-2048,
248,0,-2048,
6,210,1746,
6,130,1666,
6,57,1593,
5,251,1531,
5,201,1481,
5,148,1428,
5,91,1371,
3,164,932,
248,0,-2048,
248,0,-2048,
6,202,1738,
6,116,1652,
6,53,1589,
