First Byte, Second Byte, Brainwave Value, 11
7,255,2047,
6,37,1573,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
254,213,-299,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
3,155,923,
7,255,2047,
252,14,-1010,
248,0,-2048,
248,0,-2048,
248,72,-1976,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
250,172,-1364,
7,255,2047,
6,112,1648,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
251,227,-1053,
252,90,-934,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
5,42,1322,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
5,71,1351,
7,255,2047,
254,25,-487,
248,0,-2048,
248,0,-2048,
251,88,-1192,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,106,-1942,
7,255,2047,
5,112,1392,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,205,1741,
248,0,-2048,
248,31,-2017,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,231,2023,
248,0,-2048,
248,0,-2048,
7,76,1868,
7,255,2047,
251,101,-1179,
248,0,-2048,
248,0,-2048,
254,150,-362,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,127,-1153,
7,255,2047,
6,1,1537,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
254,43,-469,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,179,1715,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
250,167,-1369,
248,0,-2048,
248,0,-2048,
2,182,694,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,13,269,
7,255,2047,
5,24,1304,
248,0,-2048,
248,0,-2048,
249,84,-1708,
7,255,2047,
7,255,2047,
249,62,-1730,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,66,578,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,21,-2027,
248,0,-2048,
248,0,-2048,
6,72,1608,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,199,-57,
7,255,2047,
1,23,279,
248,0,-2048,
248,0,-2048,
251,109,-1171,
7,255,2047,
7,255,2047,
251,245,-1035,
248,0,-2048,
250,237,-1299,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
255,236,-20,
248,0,-2048,
248,0,-2048,
7,255,2047,
