First Byte, Second Byte, Brainwave Value, 30
1,6,262,
0,120,120,
255,137,-119,
1,32,288,
1,9,265,
0,253,253,
0,249,249,
0,235,235,
0,225,225,
0,217,217,
0,212,212,
0,214,214,
253,90,-678,
0,241,241,
0,218,218,
0,208,208,
0,208,208,
0,202,202,
0,188,188,
0,181,181,
0,176,176,
0,173,173,
255,216,-40,
0,170,170,
0,161,161,
0,154,154,
0,150,150,
0,146,146,
0,140,140,
0,137,137,
0,133,133,
0,131,131,
254,90,-422,
0,178,178,
0,151,151,
0,139,139,
0,135,135,
0,135,135,
0,123,123,
0,119,119,
0,117,117,
0,115,115,
0,56,56,
252,70,-954,
0,177,177,
0,155,155,
0,147,147,
0,145,145,
0,133,133,
0,129,129,
0,124,124,
0,121,121,
0,124,124,
0,70,70,
0,117,117,
0,109,109,
0,106,106,
0,112,112,
0,105,105,
0,99,99,
0,97,97,
0,92,92,
0,96,96,
253,26,-742,
0,131,131,
0,112,112,
0,102,102,
0,103,103,
255,138,-118,
0,102,102,
0,96,96,
0,90,90,
0,90,90,
254,40,-472,
0,140,140,
0,117,117,
0,106,106,
0,104,104,
254,205,-307,
0,124,124,
0,106,106,
0,101,101,
0,98,98,
0,21,21,
255,15,-241,
0,136,136,
0,121,121,
0,115,115,
0,117,117,
0,107,107,
0,101,101,
0,99,99,
0,98,98,
0,102,102,
252,152,-872,
0,138,138,
0,120,120,
0,114,114,
0,115,115,
0,107,107,
0,99,99,
0,97,97,
0,96,96,
0,97,97,
254,105,-407,
0,114,114,
0,99,99,
0,92,92,
0,91,91,
0,88,88,
0,86,86,
0,84,84,
0,82,82,
0,82,82,
252,138,-886,
255,181,-75,
0,151,151,
0,135,135,
0,128,128,
0,128,128,
0,116,116,
0,112,112,
0,107,107,
0,105,105,
0,54,54,
255,29,-227,
0,145,145,
0,129,129,
0,121,121,
0,123,123,
0,116,116,
0,107,107,
0,105,105,
0,103,103,
0,108,108,
251,218,-1062,
0,152,152,
0,132,132,
0,123,123,
0,125,125,
255,115,-141,
0,136,136,
0,123,123,
0,118,118,
0,117,117,
252,198,-826,
0,157,157,
0,135,135,
0,124,124,
0,125,125,
248,0,-2048,
0,236,236,
0,200,200,
0,184,184,
0,177,177,
254,106,-406,
255,234,-22,
0,219,219,
0,202,202,
0,194,194,
252,79,-945,
1,2,258,
0,226,226,
0,210,210,
0,199,199,
0,181,181,
255,252,-4,
0,212,212,
0,196,196,
0,187,187,
0,100,100,
0,197,197,
0,192,192,
0,180,180,
0,171,171,
0,172,172,
250,76,-1460,
0,231,231,
0,203,203,
0,192,192,
0,176,176,
248,56,-1992,
1,22,278,
0,248,248,
0,232,232,
0,225,225,
254,2,-510,
0,246,246,
0,220,220,
0,210,210,
0,205,205,
251,202,-1078,
0,248,248,
0,221,221,
0,209,209,
0,200,200,
255,99,-157,
0,232,232,
0,210,210,
0,197,197,
0,188,188,
0,187,187,
0,176,176,
0,168,168,
0,164,164,
0,160,160,
0,156,156,
0,123,123,
0,164,164,
0,154,154,
0,148,148,
0,150,150,
0,145,145,
0,133,133,
0,130,130,
0,124,124,
0,130,130,
248,100,-1948,
0,219,219,
0,187,187,
0,173,173,
0,75,75,
248,0,-2048,
1,43,299,
1,9,265,
0,248,248,
0,240,240,
254,226,-286,
0,248,248,
0,227,227,
0,216,216,
0,214,214,
251,218,-1062,
1,0,256,
0,228,228,
0,214,214,
0,208,208,
254,164,-348,
248,0,-2048,
1,73,329,
1,40,296,
1,25,281,
250,59,-1477,
255,203,-53,
1,102,358,
1,76,332,
1,59,315,
1,51,307,
255,3,-253,
1,72,328,
1,49,305,
1,35,291,
0,105,105,
255,87,-169,
1,64,320,
1,40,296,
1,26,282,
1,21,277,
254,197,-315,
1,27,283,
1,6,262,
0,250,250,
0,248,248,
255,171,-85,
0,248,248,
0,231,231,
0,221,221,
0,216,216,
252,15,-1009,
1,26,282,
0,248,248,
0,231,231,
0,226,226,
252,31,-993,
1,9,265,
0,236,236,
0,224,224,
0,214,214,
255,115,-141,
253,170,-598,
1,17,273,
0,248,248,
0,236,236,
252,98,-926,
0,208,208,
1,27,283,
1,7,263,
0,250,250,
0,248,248,
255,9,-247,
1,8,264,
0,244,244,
0,233,233,
255,165,-91,
251,39,-1241,
1,56,312,
1,27,283,
1,12,268,
1,7,263,
254,104,-408,
1,18,274,
0,250,250,
0,241,241,
0,241,241,
249,37,-1755,
1,53,309,
1,22,278,
1,6,262,
0,252,252,
253,75,-693,
1,50,306,
1,16,272,
0,253,253,
0,247,247,
250,93,-1443,
1,58,314,
1,22,278,
1,5,261,
0,249,249,
0,8,8,
252,148,-876,
1,50,306,
1,23,279,
1,10,266,
250,222,-1314,
252,230,-794,
1,114,370,
1,84,340,
1,67,323,
1,60,316,
255,11,-245,
1,70,326,
1,48,304,
1,35,291,
0,98,98,
252,123,-901,
1,89,345,
1,60,316,
1,44,300,
1,38,294,
250,28,-1508,
1,101,357,
1,65,321,
1,44,300,
1,36,292,
248,0,-2048,
1,140,396,
1,103,359,
1,83,339,
1,70,326,
255,44,-212,
1,84,340,
1,54,310,
1,40,296,
1,33,289,
250,153,-1383,
1,101,357,
1,64,320,
1,43,299,
1,29,285,
0,136,136,
0,35,35,
1,44,300,
1,24,280,
1,12,268,
255,72,-184,
1,48,304,
1,17,273,
1,1,257,
0,246,246,
0,246,246,
251,213,-1067,
1,32,288,
1,5,261,
0,247,247,
0,211,211,
255,108,-148,
1,8,264,
0,245,245,
0,233,233,
0,228,228,
254,84,-428,
0,242,242,
0,220,220,
0,210,210,
0,209,209,
255,151,-105,
0,205,205,
0,193,193,
0,184,184,
0,181,181,
252,205,-819,
0,237,237,
0,217,217,
0,200,200,
0,195,195,
252,53,-971,
0,244,244,
0,213,213,
0,199,199,
0,192,192,
0,92,92,
255,61,-195,
0,219,219,
0,201,201,
0,193,193,
253,85,-683,
255,73,-183,
1,1,257,
0,235,235,
0,224,224,
0,221,221,
255,172,-84,
0,224,224,
0,208,208,
0,199,199,
0,40,40,
248,155,-1893,
1,42,298,
1,11,267,
0,251,251,
0,246,246,
251,138,-1142,
1,38,294,
1,6,262,
0,246,246,
0,245,245,
248,0,-2048,
1,85,341,
1,48,304,
1,27,283,
1,18,274,
255,40,-216,
1,41,297,
1,12,268,
0,253,253,
0,247,247,
248,219,-1829,
1,64,320,
1,58,314,
1,36,292,
1,22,278,
0,140,140,
254,222,-290,
1,52,308,
1,28,284,
1,17,273,
254,204,-308,
255,199,-57,
1,57,313,
1,35,291,
1,20,276,
1,18,274,
0,147,147,
1,4,260,
0,246,246,
0,236,236,
0,235,235,
0,225,225,
0,213,213,
0,208,208,
0,201,201,
0,200,200,
253,131,-637,
0,226,226,
0,202,202,
0,192,192,
0,192,192,
253,130,-638,
0,212,212,
0,192,192,
0,181,181,
0,176,176,
254,72,-440,
0,218,218,
0,192,192,
0,179,179,
0,173,173,
248,172,-1876,
1,6,262,
0,244,244,
0,226,226,
0,214,214,
0,180,180,
0,224,224,
0,201,201,
0,193,193,
0,185,185,
255,114,-142,
0,136,136,
0,214,214,
0,198,198,
0,188,188,
0,189,189,
255,57,-199,
0,198,198,
0,182,182,
0,173,173,
0,172,172,
252,63,-961,
0,220,220,
0,198,198,
0,186,186,
0,183,183,
255,11,-245,
0,187,187,
0,171,171,
0,165,165,
0,164,164,
0,49,49,
0,154,154,
0,147,147,
0,144,144,
0,139,139,
254,141,-371,
0,179,179,
0,153,153,
0,144,144,
0,138,138,
253,213,-555,
0,173,173,
0,150,150,
0,139,139,
0,134,134,
0,84,84,
255,148,-108,
0,162,162,
0,147,147,
0,138,138,
254,228,-284,
255,142,-114,
0,187,187,
0,170,170,
0,162,162,
0,163,163,
254,139,-373,
0,177,177,
0,161,161,
0,152,152,
0,148,148,
250,69,-1467,
0,220,220,
0,196,196,
0,183,183,
0,179,179,
252,135,-889,
0,227,227,
0,197,197,
0,184,184,
0,183,183,
249,123,-1669,
1,2,258,
0,224,224,
0,209,209,
0,199,199,
255,63,-193,
0,231,231,
0,203,203,
0,193,193,
0,185,185,
252,15,-1009,
0,252,252,
0,220,220,
0,204,204,
0,196,196,
0,170,170,
255,35,-221,
0,218,218,
0,201,201,
0,193,193,
254,226,-286,
251,214,-1066,
1,17,273,
0,247,247,
0,233,233,
0,230,230,
0,178,178,
0,213,213,
0,202,202,
0,196,196,
0,199,199,
253,220,-548,
0,225,225,
0,203,203,
0,195,195,
0,189,189,
252,254,-770,
0,225,225,
0,198,198,
0,186,186,
0,182,182,
254,233,-279,
0,188,188,
0,172,172,
0,165,165,
0,161,161,
255,139,-117,
0,181,181,
0,160,160,
0,151,151,
0,148,148,
254,197,-315,
0,172,172,
0,151,151,
0,144,144,
0,136,136,
0,120,120,
253,243,-525,
0,178,178,
0,161,161,
0,152,152,
255,99,-157,
252,169,-855,
