First Byte, Second Byte, Brainwave Value, 3
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,162,418,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,241,2033,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,246,-1802,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,3,-1021,
7,255,2047,
7,255,2047,
0,103,103,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
251,223,-1057,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,35,1571,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,254,-1026,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,198,-826,
7,255,2047,
7,255,2047,
2,130,642,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,68,-1980,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,42,810,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,195,-61,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,233,233,
7,255,2047,
7,255,2047,
0,11,11,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,84,1620,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
255,175,-81,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
3,200,968,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
6,125,1661,
7,255,2047,
7,255,2047,
0,187,187,
248,0,-2048,
249,186,-1606,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,26,-998,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
254,248,-264,
248,0,-2048,
248,230,-1818,
7,255,2047,
7,255,2047,
7,255,2047,
2,3,515,
248,0,-2048,
7,255,2047,
7,255,2047,
7,245,2037,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
255,27,-229,
248,0,-2048,
251,230,-1050,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,68,1860,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
252,73,-951,
248,0,-2048,
253,83,-685,
7,255,2047,
7,255,2047,
7,255,2047,
252,54,-970,
248,0,-2048,
7,255,2047,
7,255,2047,
5,226,1506,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
1,234,490,
248,0,-2048,
255,227,-29,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
2,2,514,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,213,-1835,
248,0,-2048,
1,0,256,
7,255,2047,
7,255,2047,
7,255,2047,
248,194,-1854,
248,0,-2048,
7,255,2047,
7,255,2047,
3,73,841,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
253,57,-711,
248,0,-2048,
0,133,133,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
255,102,-154,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
2,145,657,
7,255,2047,
7,255,2047,
4,45,1069,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
255,149,-107,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
250,149,-1387,
248,0,-2048,
7,236,2028,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
254,37,-475,
248,0,-2048,
249,252,-1540,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,147,147,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
252,159,-865,
248,0,-2048,
248,233,-1815,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,57,1849,
7,255,2047,
6,85,1621,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
2,25,537,
248,0,-2048,
254,151,-361,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
5,12,1292,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
250,27,-1509,
248,0,-2048,
255,90,-166,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,45,1069,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
254,5,-507,
248,0,-2048,
1,180,436,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
0,215,215,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,232,232,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,51,307,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
251,184,-1096,
248,0,-2048,
5,240,1520,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
1,229,485,
248,0,-2048,
249,212,-1580,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
4,55,1079,
7,255,2047,
7,255,2047,
7,104,1896,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
254,61,-451,
248,0,-2048,
251,29,-1251,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
4,38,1062,
7,255,2047,
6,237,1773,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,86,-1962,
248,0,-2048,
250,19,-1517,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
5,186,1466,
7,255,2047,
7,255,2047,
1,208,464,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
250,72,-1464,
248,0,-2048,
253,71,-697,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,123,1147,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
254,102,-410,
248,0,-2048,
0,228,228,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
1,177,433,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,29,29,
7,255,2047,
7,255,2047,
7,151,1943,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,246,502,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,49,305,
7,255,2047,
7,255,2047,
