First Byte, Second Byte, Brainwave Value, 4
5,37,1317,
4,242,1266,
4,80,1104,
4,152,1176,
4,105,1129,
4,65,1089,
4,2,1026,
248,0,-2048,
248,0,-2048,
5,130,1410,
5,53,1333,
4,170,1194,
249,35,-1757,
5,67,1347,
4,242,1266,
4,185,1209,
4,146,1170,
248,0,-2048,
248,0,-2048,
6,6,1542,
5,185,1465,
5,122,1402,
0,60,60,
5,5,1285,
5,42,1322,
4,241,1265,
4,194,1218,
248,68,-1980,
248,0,-2048,
3,180,948,
5,235,1515,
5,171,1451,
4,148,1172,
2,195,707,
5,69,1349,
5,7,1287,
4,214,1238,
0,193,193,
248,0,-2048,
0,115,115,
5,208,1488,
5,144,1424,
5,87,1367,
2,234,746,
5,10,1290,
4,210,1234,
4,162,1186,
4,113,1137,
248,0,-2048,
248,0,-2048,
5,177,1457,
5,112,1392,
4,115,1139,
251,53,-1227,
5,96,1376,
5,12,1292,
4,212,1236,
4,170,1194,
248,0,-2048,
248,0,-2048,
5,251,1531,
5,176,1456,
5,103,1383,
1,184,440,
4,66,1090,
5,33,1313,
4,228,1252,
4,182,1206,
249,98,-1694,
248,0,-2048,
2,10,522,
5,234,1514,
5,41,1321,
3,177,945,
3,187,955,
5,72,1352,
5,8,1288,
4,214,1238,
1,197,453,
248,0,-2048,
248,87,-1961,
6,24,1560,
5,154,1434,
4,155,1179,
0,154,154,
5,121,1401,
5,51,1331,
4,251,1275,
4,211,1235,
248,0,-2048,
248,0,-2048,
6,65,1601,
5,246,1526,
5,181,1461,
3,156,924,
5,102,1382,
5,38,1318,
4,243,1267,
4,200,1224,
248,0,-2048,
248,0,-2048,
6,8,1544,
5,225,1505,
5,161,1441,
5,10,1290,
5,67,1347,
5,6,1286,
4,214,1238,
4,170,1194,
254,174,-338,
248,0,-2048,
0,162,162,
5,194,1474,
5,129,1409,
5,61,1341,
4,232,1256,
4,234,1258,
4,185,1209,
4,141,1165,
3,242,1010,
248,0,-2048,
248,0,-2048,
5,195,1475,
5,129,1409,
5,69,1349,
3,246,1014,
4,233,1257,
4,182,1206,
4,138,1162,
4,104,1128,
248,0,-2048,
248,0,-2048,
5,209,1489,
5,135,1415,
5,17,1297,
0,208,208,
5,53,1333,
4,233,1257,
4,180,1204,
4,136,1160,
248,0,-2048,
248,0,-2048,
4,64,1088,
5,183,1463,
5,122,1402,
5,42,1322,
5,23,1303,
4,224,1248,
4,177,1201,
4,135,1159,
0,171,171,
248,0,-2048,
250,250,-1286,
5,201,1481,
5,133,1413,
5,74,1354,
4,212,1236,
4,235,1259,
4,188,1212,
4,145,1169,
4,99,1123,
248,0,-2048,
248,0,-2048,
5,214,1494,
5,144,1424,
5,84,1364,
3,202,970,
4,251,1275,
4,198,1222,
4,151,1175,
4,116,1140,
248,0,-2048,
248,0,-2048,
5,226,1506,
5,150,1430,
5,48,1328,
2,80,592,
5,50,1330,
4,232,1256,
4,180,1204,
4,136,1160,
250,248,-1288,
248,0,-2048,
1,212,468,
5,185,1465,
5,121,1401,
5,51,1331,
5,22,1302,
4,224,1248,
4,177,1201,
4,134,1158,
2,211,723,
248,0,-2048,
249,61,-1731,
5,188,1468,
5,100,1380,
5,18,1298,
3,108,876,
4,248,1272,
4,193,1217,
4,146,1170,
4,113,1137,
248,0,-2048,
248,0,-2048,
5,200,1480,
5,130,1410,
5,69,1349,
4,85,1109,
4,230,1254,
4,179,1203,
4,135,1159,
4,98,1122,
248,0,-2048,
248,0,-2048,
5,180,1460,
5,105,1385,
5,44,1324,
4,3,1027,
4,234,1258,
4,172,1196,
4,124,1148,
4,84,1108,
255,27,-229,
248,0,-2048,
0,167,167,
5,112,1392,
4,187,1211,
2,80,592,
1,58,314,
4,249,1273,
4,185,1209,
4,136,1160,
3,250,1018,
248,0,-2048,
248,0,-2048,
5,173,1453,
5,102,1382,
4,200,1224,
255,202,-54,
5,20,1300,
4,210,1234,
4,160,1184,
4,121,1145,
248,0,-2048,
248,0,-2048,
5,211,1491,
5,137,1417,
5,51,1331,
0,181,181,
5,49,1329,
4,230,1254,
4,178,1202,
4,134,1158,
248,245,-1803,
248,0,-2048,
5,81,1361,
5,150,1430,
5,41,1321,
2,131,643,
4,225,1249,
4,246,1270,
4,188,1212,
4,141,1165,
1,134,390,
248,0,-2048,
254,78,-434,
5,156,1436,
5,96,1376,
5,39,1319,
3,226,994,
4,208,1232,
4,155,1179,
4,113,1137,
4,69,1093,
248,0,-2048,
248,0,-2048,
5,179,1459,
5,69,1349,
3,23,791,
250,206,-1330,
5,116,1396,
5,33,1313,
4,228,1252,
4,185,1209,
248,0,-2048,
248,0,-2048,
6,39,1575,
5,220,1500,
5,145,1425,
3,50,818,
5,98,1378,
5,26,1306,
4,230,1254,
4,183,1207,
251,19,-1261,
248,0,-2048,
1,209,465,
5,227,1507,
5,101,1381,
4,90,1114,
5,84,1364,
5,24,1304,
4,227,1251,
4,181,1205,
3,34,802,
248,0,-2048,
250,43,-1493,
5,212,1492,
5,98,1378,
4,192,1216,
2,183,695,
5,34,1314,
4,228,1252,
4,178,1202,
4,141,1165,
248,0,-2048,
248,0,-2048,
5,184,1464,
5,115,1395,
5,55,1335,
2,150,662,
4,249,1273,
4,186,1210,
4,137,1161,
4,99,1123,
248,0,-2048,
248,0,-2048,
5,183,1463,
5,109,1389,
5,23,1303,
1,68,324,
4,97,1121,
4,230,1254,
4,171,1195,
4,124,1148,
254,23,-489,
248,0,-2048,
255,101,-155,
5,171,1451,
4,196,1220,
2,178,690,
4,8,1032,
5,22,1302,
4,217,1241,
4,168,1192,
4,25,1049,
248,0,-2048,
248,57,-1991,
5,193,1473,
5,125,1405,
5,53,1333,
2,131,643,
5,1,1281,
4,198,1222,
4,151,1175,
4,115,1139,
248,0,-2048,
248,0,-2048,
5,146,1426,
5,74,1354,
5,18,1298,
1,129,385,
4,232,1256,
4,164,1188,
4,115,1139,
4,73,1097,
251,8,-1272,
248,0,-2048,
5,112,1392,
5,36,1316,
4,229,1253,
1,183,439,
2,195,707,
4,170,1194,
4,115,1139,
4,70,1094,
1,180,436,
248,0,-2048,
255,147,-109,
5,74,1354,
4,236,1260,
2,137,649,
251,211,-1069,
5,2,1282,
4,187,1211,
4,136,1160,
4,91,1115,
248,0,-2048,
248,0,-2048,
5,169,1449,
5,90,1370,
3,8,776,
248,13,-2035,
5,138,1418,
5,53,1333,
4,247,1271,
4,202,1226,
248,0,-2048,
248,0,-2048,
6,17,1553,
5,195,1475,
5,118,1398,
255,180,-76,
5,82,1362,
5,53,1333,
4,249,1273,
4,201,1225,
252,83,-941,
248,0,-2048,
4,202,1226,
5,187,1467,
5,125,1405,
4,227,1251,
4,128,1152,
4,252,1276,
4,199,1223,
4,152,1176,
3,25,793,
248,0,-2048,
251,149,-1131,
5,171,1451,
4,229,1253,
0,89,89,
248,0,-2048,
5,186,1466,
5,100,1380,
5,37,1317,
4,249,1273,
248,0,-2048,
248,0,-2048,
6,75,1611,
6,1,1537,
5,122,1402,
254,213,-299,
5,183,1463,
5,102,1382,
5,42,1322,
4,251,1275,
248,0,-2048,
248,0,-2048,
6,34,1570,
6,13,1549,
5,112,1392,
2,177,689,
5,156,1436,
5,81,1361,
5,23,1303,
4,230,1254,
254,187,-325,
248,0,-2048,
0,99,99,
5,246,1526,
5,164,1444,
4,236,1260,
5,80,1360,
5,35,1315,
4,236,1260,
4,192,1216,
4,89,1113,
248,0,-2048,
249,221,-1571,
5,184,1464,
5,117,1397,
5,16,1296,
1,90,346,
5,9,1289,
4,203,1227,
4,153,1177,
4,117,1141,
248,0,-2048,
248,0,-2048,
5,139,1419,
5,70,1350,
4,248,1272,
254,75,-437,
5,17,1297,
4,198,1222,
4,145,1169,
4,101,1125,
249,154,-1638,
248,0,-2048,
5,131,1411,
5,100,1380,
3,139,907,
250,79,-1457,
255,36,-220,
5,91,1371,
5,22,1302,
4,224,1248,
1,45,301,
248,0,-2048,
253,228,-540,
5,234,1514,
5,67,1347,
1,201,457,
251,3,-1277,
5,171,1451,
5,96,1376,
5,36,1316,
4,225,1249,
248,0,-2048,
248,0,-2048,
6,57,1593,
5,236,1516,
5,20,1300,
253,115,-653,
5,179,1459,
5,99,1379,
5,40,1320,
4,251,1275,
248,0,-2048,
248,0,-2048,
6,55,1591,
5,232,1512,
5,152,1432,
0,247,247,
5,134,1414,
5,56,1336,
5,1,1281,
4,210,1234,
253,186,-582,
248,0,-2048,
5,166,1446,
5,149,1429,
5,87,1367,
3,193,961,
4,10,1034,
4,241,1265,
