First Byte, Second Byte, Brainwave Value, 14
248,0,-2048,
248,235,-1813,
7,255,2047,
7,255,2047,
255,229,-27,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
5,200,1480,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
4,182,1206,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
4,44,1068,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,159,-1633,
7,255,2047,
7,255,2047,
251,6,-1274,
248,0,-2048,
249,171,-1621,
7,255,2047,
7,255,2047,
253,230,-538,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,230,1766,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
3,220,988,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,214,-810,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,117,-1163,
7,255,2047,
7,255,2047,
251,18,-1262,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
5,3,1283,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,86,1622,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,216,2008,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,141,141,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,189,-1859,
7,255,2047,
7,255,2047,
249,2,-1790,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
0,224,224,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,52,1076,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
4,148,1172,
7,255,2047,
7,255,2047,
248,73,-1975,
248,0,-2048,
252,140,-884,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,250,-1798,
7,255,2047,
7,255,2047,
250,77,-1459,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,13,269,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
6,65,1601,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,146,146,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,42,-982,
7,255,2047,
255,214,-42,
248,0,-2048,
251,26,-1254,
7,255,2047,
7,255,2047,
0,44,44,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,77,1869,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
253,138,-630,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
253,215,-553,
7,255,2047,
7,255,2047,
253,117,-651,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
252,197,-827,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,88,1624,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,59,1851,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
5,140,1420,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,244,500,
7,255,2047,
7,255,2047,
250,102,-1434,
248,0,-2048,
248,101,-1947,
7,255,2047,
7,255,2047,
250,187,-1349,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,21,277,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,234,1258,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,23,-2025,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
4,252,1276,
7,255,2047,
7,255,2047,
250,104,-1432,
248,0,-2048,
253,121,-647,
7,255,2047,
7,255,2047,
249,98,-1694,
248,0,-2048,
251,57,-1223,
7,255,2047,
7,255,2047,
255,201,-55,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,84,852,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,193,1985,
248,0,-2048,
248,0,-2048,
4,183,1207,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
5,251,1531,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,133,-1147,
7,255,2047,
7,255,2047,
