First Byte, Second Byte, Brainwave Value, 32
7,75,1867,
6,247,1783,
254,214,-298,
248,0,-2048,
250,163,-1373,
7,215,2007,
7,124,1916,
7,52,1844,
5,209,1489,
250,195,-1341,
7,21,1813,
6,187,1723,
6,68,1604,
248,0,-2048,
248,0,-2048,
248,0,-2048,
2,217,729,
7,255,2047,
7,253,2045,
248,0,-2048,
7,186,1978,
7,224,2016,
7,146,1938,
248,0,-2048,
248,0,-2048,
248,0,-2048,
1,38,294,
7,255,2047,
7,255,2047,
251,243,-1037,
1,1,257,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
6,42,1578,
253,72,-696,
7,255,2047,
7,217,2009,
0,164,164,
248,0,-2048,
248,0,-2048,
5,146,1426,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
7,39,1831,
7,255,2047,
7,70,1862,
248,0,-2048,
248,0,-2048,
248,0,-2048,
253,93,-675,
7,255,2047,
7,255,2047,
249,215,-1577,
1,13,269,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
253,181,-587,
7,255,2047,
7,255,2047,
5,3,1283,
253,5,-763,
7,255,2047,
7,255,2047,
250,72,-1464,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
7,255,2047,
7,255,2047,
6,17,1553,
248,0,-2048,
248,0,-2048,
2,228,740,
7,255,2047,
7,255,2047,
7,255,2047,
251,107,-1173,
5,199,1479,
7,255,2047,
7,241,2033,
248,0,-2048,
248,0,-2048,
248,0,-2048,
253,57,-711,
7,255,2047,
7,255,2047,
1,64,320,
248,138,-1910,
7,255,2047,
7,255,2047,
253,50,-718,
248,0,-2048,
248,0,-2048,
7,187,1979,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
7,255,2047,
7,255,2047,
6,205,1741,
248,0,-2048,
248,0,-2048,
248,0,-2048,
4,181,1205,
7,255,2047,
7,255,2047,
248,0,-2048,
4,173,1197,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,55,-969,
7,255,2047,
7,255,2047,
7,255,2047,
1,106,362,
2,208,720,
7,255,2047,
7,255,2047,
251,165,-1115,
248,0,-2048,
252,115,-909,
7,255,2047,
7,255,2047,
7,255,2047,
6,253,1789,
250,94,-1442,
7,241,2033,
7,145,1937,
5,120,1400,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,217,2009,
7,151,1943,
248,24,-2024,
7,87,1879,
7,107,1899,
7,33,1825,
248,0,-2048,
248,0,-2048,
251,90,-1190,
7,255,2047,
7,255,2047,
7,184,1976,
253,73,-695,
2,131,643,
7,137,1929,
7,54,1846,
251,19,-1261,
248,0,-2048,
248,0,-2048,
249,237,-1555,
7,255,2047,
7,255,2047,
4,179,1203,
250,95,-1441,
7,255,2047,
7,240,2032,
4,7,1031,
248,0,-2048,
248,0,-2048,
252,51,-973,
7,255,2047,
7,255,2047,
7,255,2047,
248,18,-2030,
7,255,2047,
7,255,2047,
7,38,1830,
248,0,-2048,
248,0,-2048,
7,135,1927,
7,255,2047,
7,255,2047,
7,251,2043,
252,26,-998,
3,209,977,
7,201,1993,
7,120,1912,
248,0,-2048,
248,0,-2048,
254,157,-355,
7,255,2047,
7,255,2047,
7,187,1979,
3,187,955,
252,123,-901,
7,153,1945,
7,65,1857,
0,195,195,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,187,1979,
7,107,1899,
249,114,-1678,
7,152,1944,
7,54,1846,
6,167,1703,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,197,1989,
7,117,1909,
7,51,1843,
250,107,-1429,
6,25,1561,
7,2,1794,
6,185,1721,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,251,2043,
7,224,2016,
7,144,1936,
1,98,354,
3,196,964,
7,55,1847,
6,232,1768,
253,212,-556,
248,0,-2048,
251,215,-1065,
7,199,1991,
7,115,1907,
7,39,1831,
6,112,1648,
248,0,-2048,
7,85,1877,
6,242,1778,
6,75,1611,
248,0,-2048,
248,0,-2048,
249,183,-1609,
7,255,2047,
7,224,2016,
7,152,1944,
248,120,-1928,
6,97,1633,
7,113,1905,
7,38,1830,
248,0,-2048,
248,0,-2048,
255,58,-198,
7,255,2047,
7,213,2005,
7,138,1930,
0,3,3,
2,230,742,
7,71,1863,
6,247,1783,
253,105,-663,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,201,1993,
7,121,1913,
6,41,1577,
248,36,-2012,
7,118,1910,
7,23,1815,
4,55,1079,
248,0,-2048,
248,0,-2048,
7,251,2043,
7,160,1952,
7,83,1875,
7,21,1813,
248,0,-2048,
6,172,1708,
6,249,1785,
6,179,1715,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,234,2026,
7,156,1948,
252,171,-853,
254,178,-334,
7,147,1939,
7,60,1852,
251,138,-1142,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,232,2024,
7,153,1945,
