First Byte, Second Byte, Brainwave Value, 7
7,255,2047,
7,255,2047,
248,181,-1867,
248,0,-2048,
248,30,-2018,
248,109,-1939,
248,181,-1867,
249,12,-1780,
1,92,348,
250,44,-1492,
7,255,2047,
7,255,2047,
250,149,-1387,
248,70,-1978,
248,157,-1891,
248,235,-1813,
249,47,-1745,
249,117,-1675,
251,78,-1202,
249,213,-1579,
2,200,712,
7,255,2047,
251,60,-1220,
249,66,-1726,
249,146,-1646,
249,216,-1576,
250,20,-1516,
250,77,-1459,
250,198,-1338,
250,246,-1290,
252,214,-810,
7,255,2047,
0,189,189,
249,252,-1540,
250,71,-1465,
250,138,-1398,
250,191,-1345,
250,245,-1291,
251,42,-1238,
251,223,-1057,
252,217,-807,
7,255,2047,
6,227,1763,
250,90,-1446,
250,162,-1374,
250,227,-1309,
252,29,-995,
251,51,-1229,
251,105,-1175,
5,5,1285,
254,220,-292,
7,255,2047,
7,255,2047,
249,243,-1549,
250,59,-1477,
250,132,-1404,
250,203,-1333,
250,243,-1293,
251,37,-1243,
6,116,1652,
2,104,616,
7,12,1804,
7,255,2047,
2,25,537,
249,140,-1652,
249,219,-1573,
250,35,-1501,
250,91,-1445,
250,147,-1389,
250,249,-1287,
255,170,-86,
253,54,-714,
7,255,2047,
7,255,2047,
249,159,-1633,
249,238,-1554,
250,56,-1480,
250,121,-1415,
250,166,-1370,
250,222,-1314,
2,17,529,
252,158,-866,
7,255,2047,
7,255,2047,
249,191,-1601,
249,202,-1590,
250,22,-1514,
251,232,-1048,
254,169,-343,
4,236,1260,
7,255,2047,
6,218,1754,
7,255,2047,
7,255,2047,
0,38,38,
248,0,-2048,
248,72,-1976,
249,72,-1720,
0,98,98,
7,255,2047,
7,255,2047,
7,255,2047,
251,169,-1111,
7,255,2047,
7,255,2047,
3,2,770,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,27,-2021,
1,220,476,
249,23,-1769,
7,255,2047,
7,255,2047,
3,172,940,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,53,-1995,
5,132,1412,
