First Byte, Second Byte, Brainwave Value, 23
3,32,800,
3,3,771,
2,240,752,
250,149,-1387,
0,177,177,
3,32,800,
2,244,756,
2,202,714,
2,179,691,
2,98,610,
2,130,642,
2,104,616,
2,87,599,
253,153,-615,
248,132,-1916,
2,209,721,
2,155,667,
2,118,630,
2,91,603,
2,56,568,
2,51,563,
2,26,538,
2,8,520,
2,0,512,
1,176,432,
1,218,474,
1,198,454,
1,183,439,
1,168,424,
1,163,419,
1,145,401,
1,124,380,
1,114,370,
1,103,359,
1,97,353,
1,77,333,
1,66,322,
1,55,311,
1,44,300,
1,40,296,
1,32,288,
1,17,273,
1,7,263,
1,0,256,
0,251,251,
0,242,242,
0,233,233,
0,226,226,
0,216,216,
0,212,212,
0,144,144,
0,199,199,
0,192,192,
0,186,186,
0,187,187,
0,180,180,
0,170,170,
0,169,169,
0,160,160,
0,154,154,
0,109,109,
0,151,151,
0,141,141,
0,138,138,
0,140,140,
0,26,26,
0,137,137,
252,76,-948,
248,0,-2048,
1,20,276,
0,241,241,
0,246,246,
0,227,227,
0,215,215,
0,172,172,
248,0,-2048,
255,189,-67,
1,245,501,
1,211,467,
1,186,442,
1,171,427,
1,156,412,
1,136,392,
1,122,378,
1,112,368,
1,103,359,
1,89,345,
1,75,331,
1,64,320,
1,53,309,
1,43,299,
0,220,220,
1,26,282,
1,13,269,
1,6,262,
1,0,256,
0,247,247,
0,243,243,
254,58,-454,
255,199,-57,
1,34,290,
0,76,76,
1,23,279,
1,0,256,
0,243,243,
0,242,242,
252,47,-977,
1,23,279,
0,250,250,
0,236,236,
0,228,228,
0,226,226,
0,216,216,
0,202,202,
0,197,197,
0,194,194,
0,194,194,
0,182,182,
0,176,176,
0,168,168,
0,164,164,
0,163,163,
0,136,136,
0,150,150,
0,145,145,
0,140,140,
0,145,145,
0,137,137,
0,130,130,
0,125,125,
0,122,122,
0,121,121,
0,97,97,
0,115,115,
0,108,108,
0,106,106,
0,108,108,
0,107,107,
0,101,101,
0,98,98,
0,92,92,
0,91,91,
0,98,98,
0,90,90,
0,84,84,
0,83,83,
0,84,84,
0,68,68,
0,80,80,
0,74,74,
0,72,72,
0,72,72,
0,77,77,
0,75,75,
0,69,69,
0,68,68,
0,67,67,
0,72,72,
0,66,66,
0,64,64,
0,59,59,
0,59,59,
