First Byte, Second Byte, Brainwave Value, 28
4,227,1251,
3,16,784,
253,100,-668,
4,197,1221,
4,131,1155,
4,67,1091,
248,0,-2048,
4,16,1040,
4,160,1184,
4,101,1125,
4,59,1083,
248,0,-2048,
248,0,-2048,
251,180,-1100,
5,211,1491,
5,150,1430,
248,0,-2048,
248,100,-1948,
6,96,1632,
6,13,1549,
5,204,1484,
3,150,918,
248,0,-2048,
252,221,-803,
6,103,1639,
6,27,1563,
249,143,-1649,
248,0,-2048,
6,200,1736,
6,106,1642,
6,38,1574,
5,242,1522,
2,101,613,
3,50,818,
5,160,1440,
5,92,1372,
2,68,580,
248,0,-2048,
5,218,1498,
5,129,1409,
5,65,1345,
5,17,1297,
3,123,891,
254,23,-489,
4,229,1253,
4,162,1186,
4,108,1132,
248,0,-2048,
4,61,1085,
4,177,1201,
4,118,1142,
4,71,1095,
4,29,1053,
3,250,1018,
3,210,978,
3,172,940,
3,145,913,
1,171,427,
3,121,889,
3,71,839,
3,37,805,
3,7,775,
2,240,752,
2,214,726,
2,186,698,
2,155,667,
2,134,646,
2,102,614,
2,101,613,
2,70,582,
2,51,563,
2,32,544,
2,20,532,
1,251,507,
1,36,292,
1,231,487,
1,210,466,
1,199,455,
1,164,420,
1,164,420,
1,148,404,
1,134,390,
1,131,387,
248,0,-2048,
248,0,-2048,
3,58,826,
2,253,765,
2,219,731,
253,47,-721,
2,230,742,
2,180,692,
2,148,660,
2,123,635,
2,103,615,
2,82,594,
2,55,567,
2,33,545,
2,19,531,
0,112,112,
2,17,529,
1,237,493,
1,216,472,
1,199,455,
1,185,441,
1,173,429,
1,155,411,
1,137,393,
1,124,380,
1,114,370,
1,106,362,
1,87,343,
1,74,330,
1,66,322,
1,58,314,
1,49,305,
1,36,292,
1,24,280,
1,16,272,
1,13,269,
1,4,260,
0,245,245,
0,236,236,
0,231,231,
0,228,228,
0,219,219,
0,194,194,
0,202,202,
0,195,195,
0,194,194,
0,188,188,
0,178,178,
0,171,171,
0,167,167,
0,165,165,
0,162,162,
0,154,154,
0,154,154,
0,145,145,
0,141,141,
0,144,144,
0,133,133,
0,130,130,
0,124,124,
0,122,122,
0,123,123,
0,122,122,
0,119,119,
0,109,109,
0,106,106,
0,108,108,
0,102,102,
0,98,98,
0,96,96,
0,93,93,
0,97,97,
0,93,93,
0,38,38,
0,87,87,
0,84,84,
0,86,86,
0,83,83,
0,76,76,
0,75,75,
0,74,74,
0,81,81,
0,76,76,
254,167,-345,
0,90,90,
0,81,81,
0,80,80,
0,80,80,
0,70,70,
0,68,68,
0,67,67,
0,70,70,
0,71,71,
255,248,-8,
0,71,71,
0,61,61,
0,64,64,
0,67,67,
0,59,59,
0,56,56,
0,55,55,
0,56,56,
0,60,60,
255,130,-126,
255,86,-170,
0,92,92,
0,83,83,
0,84,84,
0,76,76,
0,69,69,
0,67,67,
0,67,67,
0,68,68,
0,68,68,
0,68,68,
0,59,59,
0,58,58,
0,65,65,
0,61,61,
0,55,55,
0,55,55,
0,54,54,
0,58,58,
0,56,56,
0,23,23,
0,53,53,
0,50,50,
0,52,52,
0,54,54,
0,48,48,
0,45,45,
0,48,48,
0,49,49,
0,50,50,
0,53,53,
0,48,48,
0,42,42,
0,43,43,
0,49,49,
0,41,41,
0,40,40,
0,40,40,
0,41,41,
0,42,42,
0,45,45,
0,44,44,
0,38,38,
0,38,38,
0,41,41,
0,38,38,
0,38,38,
0,37,37,
0,38,38,
0,43,43,
0,42,42,
255,62,-194,
0,50,50,
0,43,43,
0,45,45,
0,43,43,
0,39,39,
0,39,39,
0,39,39,
0,49,49,
248,0,-2048,
248,0,-2048,
1,234,490,
1,232,488,
1,204,460,
1,25,281,
1,166,422,
1,146,402,
1,131,387,
1,119,375,
1,108,364,
1,88,344,
1,84,340,
1,68,324,
1,59,315,
0,232,232,
1,48,304,
1,29,285,
1,21,277,
1,11,267,
1,5,261,
1,1,257,
0,247,247,
0,233,233,
0,227,227,
0,227,227,
0,215,215,
0,204,204,
0,199,199,
0,194,194,
0,194,194,
0,186,186,
0,155,155,
0,170,170,
0,165,165,
0,165,165,
0,161,161,
0,150,150,
0,146,146,
0,141,141,
0,140,140,
0,136,136,
0,120,120,
0,129,129,
0,122,122,
0,121,121,
0,120,120,
0,114,114,
0,112,112,
0,107,107,
0,105,105,
0,103,103,
0,106,106,
0,100,100,
0,91,91,
0,90,90,
0,90,90,
0,86,86,
0,84,84,
0,83,83,
0,82,82,
0,81,81,
0,83,83,
0,81,81,
0,73,73,
0,71,71,
0,70,70,
0,69,69,
0,68,68,
0,67,67,
0,66,66,
0,68,68,
0,67,67,
255,199,-57,
0,66,66,
0,60,60,
0,60,60,
0,58,58,
0,57,57,
0,56,56,
0,56,56,
0,59,59,
0,57,57,
255,58,-198,
0,71,71,
0,58,58,
0,57,57,
0,56,56,
0,54,54,
0,53,53,
0,52,52,
0,57,57,
255,26,-230,
251,11,-1269,
0,128,128,
0,135,135,
0,119,119,
0,116,116,
0,103,103,
0,99,99,
0,97,97,
0,93,93,
0,91,91,
0,92,92,
0,92,92,
0,83,83,
0,82,82,
0,84,84,
0,80,80,
0,76,76,
0,75,75,
0,74,74,
0,77,77,
0,75,75,
255,197,-59,
0,73,73,
0,69,69,
0,70,70,
0,68,68,
0,64,64,
0,64,64,
0,61,61,
0,65,65,
0,60,60,
0,34,34,
0,60,60,
0,55,55,
0,56,56,
0,56,56,
0,53,53,
0,52,52,
0,52,52,
0,53,53,
0,52,52,
0,57,57,
0,58,58,
0,50,50,
0,50,50,
0,50,50,
0,48,48,
0,45,45,
0,45,45,
0,45,45,
0,48,48,
0,51,51,
0,44,44,
0,42,42,
0,42,42,
0,42,42,
0,41,41,
0,41,41,
0,40,40,
0,41,41,
0,44,44,
0,43,43,
255,61,-195,
0,50,50,
0,43,43,
0,43,43,
0,42,42,
0,40,40,
0,40,40,
0,40,40,
0,48,48,
0,39,39,
253,86,-682,
0,83,83,
0,65,65,
0,59,59,
0,59,59,
0,52,52,
0,52,52,
0,51,51,
0,52,52,
0,53,53,
0,52,52,
0,54,54,
0,45,45,
0,48,48,
0,52,52,
0,44,44,
0,43,43,
0,43,43,
0,44,44,
0,43,43,
255,108,-148,
255,89,-167,
0,83,83,
0,71,71,
0,72,72,
0,65,65,
0,57,57,
0,56,56,
0,56,56,
0,65,65,
0,16,16,
253,185,-583,
0,93,93,
0,80,80,
0,81,81,
0,73,73,
0,67,67,
0,65,65,
0,64,64,
0,68,68,
0,52,52,
253,3,-765,
0,107,107,
0,88,88,
0,86,86,
255,191,-65,
0,82,82,
0,74,74,
0,72,72,
0,72,72,
0,76,76,
255,138,-118,
0,89,89,
0,74,74,
0,73,73,
255,218,-38,
0,83,83,
0,70,70,
0,68,68,
0,67,67,
0,69,69,
0,69,69,
0,68,68,
0,58,58,
0,58,58,
0,66,66,
0,61,61,
0,54,54,
0,54,54,
0,53,53,
0,60,60,
252,253,-771,
248,0,-2048,
0,199,199,
0,167,167,
0,162,162,
255,186,-70,
0,151,151,
0,140,140,
0,134,134,
0,135,135,
0,86,86,
252,155,-869,
0,179,179,
0,153,153,
0,149,149,
254,59,-453,
0,168,168,
0,148,148,
0,138,138,
0,137,137,
248,0,-2048,
248,0,-2048,
250,218,-1318,
2,138,650,
2,103,615,
250,90,-1446,
253,201,-567,
2,169,681,
2,129,641,
2,99,611,
0,136,136,
248,0,-2048,
248,0,-2048,
3,210,978,
3,151,919,
254,152,-360,
248,0,-2048,
4,16,1040,
3,202,970,
3,156,924,
3,129,897,
248,0,-2048,
248,0,-2048,
4,182,1206,
4,106,1130,
2,166,678,
248,0,-2048,
4,136,1160,
4,204,1228,
4,146,1170,
4,103,1127,
252,41,-983,
248,0,-2048,
5,45,1325,
4,233,1257,
4,181,1205,
248,0,-2048,
255,249,-7,
5,23,1303,
4,214,1238,
4,164,1188,
1,168,424,
248,0,-2048,
3,252,1020,
4,205,1229,
4,151,1175,
249,70,-1722,
249,34,-1758,
5,3,1283,
