First Byte, Second Byte, Brainwave Value, 3
248,0,-2048,
248,168,-1880,
7,255,2047,
7,255,2047,
7,69,1861,
248,0,-2048,
248,0,-2048,
249,170,-1622,
7,255,2047,
2,41,553,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
250,157,-1379,
248,0,-2048,
248,0,-2048,
1,155,411,
7,255,2047,
248,0,-2048,
248,0,-2048,
2,101,613,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
3,60,828,
7,255,2047,
251,165,-1115,
248,0,-2048,
248,206,-1842,
7,255,2047,
7,255,2047,
6,91,1627,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
1,76,332,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
254,167,-345,
6,221,1757,
248,0,-2048,
248,0,-2048,
248,63,-1985,
7,255,2047,
7,255,2047,
1,202,458,
248,0,-2048,
248,0,-2048,
0,242,242,
7,255,2047,
248,29,-2019,
248,0,-2048,
249,153,-1639,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,182,-1866,
7,255,2047,
0,0,0,
248,0,-2048,
248,0,-2048,
5,252,1532,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
250,90,-1446,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
6,195,1731,
248,0,-2048,
248,0,-2048,
251,254,-1026,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,159,-1633,
7,255,2047,
7,255,2047,
7,196,1988,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
250,25,-1511,
248,0,-2048,
248,84,-1964,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
4,220,1244,
248,0,-2048,
251,204,-1076,
7,255,2047,
7,255,2047,
7,255,2047,
255,131,-125,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
250,102,-1434,
248,0,-2048,
248,0,-2048,
252,231,-793,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,72,72,
7,255,2047,
7,255,2047,
3,163,931,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
254,124,-388,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,138,1674,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
5,167,1447,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,254,-1794,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
2,21,533,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
249,214,-1578,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
255,6,-250,
248,238,-1810,
7,255,2047,
7,255,2047,
2,230,742,
248,0,-2048,
0,83,83,
7,255,2047,
7,255,2047,
7,255,2047,
250,223,-1313,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,254,2046,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
251,151,-1129,
248,0,-2048,
248,0,-2048,
4,65,1089,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
5,96,1376,
248,0,-2048,
248,0,-2048,
3,48,816,
7,255,2047,
253,6,-762,
248,0,-2048,
1,218,474,
7,255,2047,
7,255,2047,
7,255,2047,
248,216,-1832,
248,0,-2048,
253,159,-609,
7,255,2047,
6,176,1712,
248,0,-2048,
253,27,-741,
7,255,2047,
7,255,2047,
7,255,2047,
254,200,-312,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
254,41,-471,
248,0,-2048,
248,0,-2048,
248,216,-1832,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,218,218,
7,255,2047,
7,255,2047,
2,198,710,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
255,42,-214,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
3,177,945,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,57,1849,
7,255,2047,
7,255,2047,
253,134,-634,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
250,122,-1414,
248,0,-2048,
5,179,1459,
7,255,2047,
7,255,2047,
7,255,2047,
250,41,-1495,
248,0,-2048,
251,115,-1165,
7,255,2047,
6,106,1642,
248,0,-2048,
250,110,-1426,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
255,22,-234,
248,0,-2048,
248,0,-2048,
3,133,901,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,172,-84,
7,255,2047,
7,255,2047,
254,214,-298,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
254,70,-442,
248,0,-2048,
248,214,-1834,
7,255,2047,
7,255,2047,
4,115,1139,
248,0,-2048,
248,0,-2048,
248,0,-2048,
254,233,-279,
3,248,1016,
248,0,-2048,
248,0,-2048,
7,123,1915,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
1,197,453,
248,0,-2048,
248,0,-2048,
248,179,-1869,
7,255,2047,
7,255,2047,
250,56,-1480,
248,0,-2048,
248,0,-2048,
248,1,-2047,
7,255,2047,
251,155,-1125,
248,1,-2047,
248,139,-1909,
7,255,2047,
7,255,2047,
0,182,182,
248,0,-2048,
248,0,-2048,
248,28,-2020,
1,131,387,
1,136,392,
248,53,-1995,
248,150,-1898,
7,255,2047,
7,255,2047,
7,255,2047,
248,55,-1993,
248,0,-2048,
248,2,-2046,
251,4,-1276,
7,255,2047,
248,5,-2043,
248,101,-1947,
250,242,-1294,
7,255,2047,
7,255,2047,
252,78,-946,
248,0,-2048,
248,52,-1996,
250,152,-1384,
7,255,2047,
249,121,-1671,
248,42,-2006,
248,201,-1847,
7,255,2047,
7,255,2047,
251,159,-1121,
