First Byte, Second Byte, Brainwave Value, 9
255,251,-5,
249,91,-1701,
249,167,-1625,
249,242,-1550,
251,82,-1198,
7,255,2047,
251,92,-1188,
249,163,-1629,
250,247,-1289,
7,255,2047,
4,10,1034,
249,53,-1739,
249,135,-1657,
249,213,-1579,
250,24,-1512,
2,103,615,
255,197,-59,
250,31,-1505,
250,111,-1425,
7,255,2047,
4,139,1163,
250,21,-1515,
250,90,-1446,
250,156,-1380,
250,216,-1320,
252,29,-995,
4,184,1208,
250,223,-1313,
251,39,-1241,
254,175,-337,
4,98,1122,
251,75,-1205,
251,95,-1185,
251,152,-1128,
251,202,-1078,
251,254,-1026,
7,250,2042,
251,181,-1099,
251,244,-1036,
252,41,-983,
252,106,-918,
252,119,-905,
252,154,-870,
252,186,-838,
252,219,-805,
252,254,-770,
7,255,2047,
0,171,171,
252,133,-891,
252,186,-838,
254,216,-296,
252,223,-801,
253,12,-756,
253,42,-726,
253,72,-696,
253,105,-663,
7,255,2047,
7,255,2047,
252,82,-942,
252,141,-883,
4,231,1255,
6,209,1745,
254,199,-313,
1,151,407,
253,182,-586,
3,10,778,
7,255,2047,
7,255,2047,
250,114,-1422,
250,85,-1451,
7,21,1813,
7,255,2047,
1,227,483,
249,68,-1724,
249,150,-1642,
249,219,-1573,
250,38,-1498,
7,255,2047,
250,110,-1426,
249,248,-1544,
251,183,-1097,
7,255,2047,
254,229,-283,
249,203,-1589,
250,11,-1525,
250,78,-1458,
250,146,-1390,
7,255,2047,
4,104,1128,
249,218,-1574,
250,44,-1492,
7,245,2037,
1,227,483,
250,60,-1476,
250,57,-1479,
250,122,-1414,
250,187,-1349,
7,255,2047,
7,255,2047,
249,136,-1656,
249,229,-1563,
7,255,2047,
7,255,2047,
1,18,274,
248,190,-1858,
248,236,-1812,
249,62,-1730,
3,248,1016,
7,255,2047,
248,202,-1846,
248,201,-1847,
252,174,-850,
7,255,2047,
0,151,151,
248,179,-1869,
248,184,-1864,
249,11,-1781,
249,203,-1589,
7,255,2047,
254,215,-297,
248,198,-1850,
249,199,-1593,
7,255,2047,
7,255,2047,
2,90,602,
251,195,-1085,
248,89,-1959,
7,61,1853,
7,255,2047,
7,255,2047,
248,0,-2048,
248,133,-1915,
7,255,2047,
7,255,2047,
251,158,-1122,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,242,498,
248,0,-2048,
248,0,-2048,
248,0,-2048,
4,69,1093,
7,255,2047,
249,231,-1561,
248,0,-2048,
4,105,1129,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,91,-1957,
7,255,2047,
3,1,769,
248,0,-2048,
248,246,-1802,
7,255,2047,
7,255,2047,
248,168,-1880,
248,0,-2048,
248,0,-2048,
248,0,-2048,
3,173,941,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,140,140,
7,255,2047,
252,27,-997,
248,0,-2048,
248,0,-2048,
248,56,-1992,
5,135,1415,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,155,-869,
7,255,2047,
4,50,1074,
248,211,-1837,
248,0,-2048,
248,8,-2040,
251,136,-1144,
7,255,2047,
254,236,-276,
248,0,-2048,
251,187,-1093,
7,255,2047,
7,255,2047,
251,210,-1070,
248,0,-2048,
248,0,-2048,
248,9,-2039,
7,255,2047,
6,150,1686,
248,0,-2048,
248,122,-1926,
7,255,2047,
7,255,2047,
2,172,684,
251,203,-1077,
248,0,-2048,
251,36,-1244,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,132,644,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,160,1952,
7,255,2047,
249,154,-1638,
248,0,-2048,
0,3,3,
7,255,2047,
5,29,1309,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,18,-2030,
7,255,2047,
1,118,374,
248,0,-2048,
250,54,-1482,
7,255,2047,
7,255,2047,
252,255,-769,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
255,125,-131,
248,0,-2048,
248,0,-2048,
248,0,-2048,
5,118,1398,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,118,1910,
7,255,2047,
6,228,1764,
249,174,-1618,
248,0,-2048,
248,0,-2048,
253,105,-663,
7,255,2047,
255,84,-172,
248,0,-2048,
252,56,-968,
7,255,2047,
7,255,2047,
248,127,-1921,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
4,166,1190,
248,0,-2048,
248,26,-2022,
7,255,2047,
7,255,2047,
251,178,-1102,
248,0,-2048,
248,0,-2048,
248,0,-2048,
0,188,188,
7,255,2047,
248,0,-2048,
248,0,-2048,
3,177,945,
7,255,2047,
0,144,144,
248,0,-2048,
248,0,-2048,
248,0,-2048,
250,29,-1507,
7,255,2047,
249,75,-1717,
248,0,-2048,
252,60,-964,
7,255,2047,
2,41,553,
248,46,-2002,
248,0,-2048,
248,5,-2043,
249,228,-1564,
7,255,2047,
5,45,1325,
