First Byte, Second Byte, Brainwave Value, 30
248,44,-2004,
7,187,1979,
7,86,1878,
7,6,1798,
6,202,1738,
248,0,-2048,
248,0,-2048,
7,170,1962,
7,4,1796,
255,44,-212,
248,0,-2048,
7,151,1943,
7,44,1836,
6,220,1756,
6,155,1691,
251,117,-1163,
248,0,-2048,
7,104,1896,
7,13,1805,
0,192,192,
248,0,-2048,
255,98,-158,
7,84,1876,
6,250,1786,
6,179,1715,
2,53,565,
248,0,-2048,
0,9,9,
7,96,1888,
1,35,291,
248,0,-2048,
248,0,-2048,
7,217,2009,
7,118,1910,
7,38,1830,
6,192,1728,
248,0,-2048,
248,0,-2048,
7,224,2016,
4,235,1259,
248,0,-2048,
248,0,-2048,
7,221,2013,
7,255,2047,
7,197,1989,
7,129,1921,
248,0,-2048,
248,0,-2048,
7,108,1900,
7,96,1888,
248,247,-1801,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,186,1978,
253,169,-599,
248,0,-2048,
1,178,434,
7,255,2047,
254,230,-282,
248,227,-1821,
6,85,1621,
7,255,2047,
7,209,2001,
7,131,1923,
6,53,1589,
248,0,-2048,
250,173,-1363,
7,255,2047,
3,123,891,
250,163,-1373,
253,72,-696,
7,252,2044,
7,154,1946,
7,74,1866,
7,12,1804,
248,0,-2048,
248,0,-2048,
7,214,2006,
7,48,1840,
254,169,-343,
248,0,-2048,
7,210,2002,
7,105,1897,
7,23,1815,
6,211,1747,
250,42,-1494,
248,0,-2048,
7,107,1899,
7,104,1896,
1,180,436,
248,151,-1897,
2,122,634,
7,83,1875,
6,251,1787,
6,180,1716,
2,64,576,
248,0,-2048,
253,152,-616,
7,119,1911,
2,227,739,
252,141,-883,
254,35,-477,
7,81,1873,
6,244,1780,
6,170,1706,
6,82,1618,
248,0,-2048,
248,0,-2048,
7,148,1940,
4,73,1097,
249,202,-1590,
248,0,-2048,
7,196,1988,
7,89,1881,
7,9,1801,
6,201,1737,
248,0,-2048,
248,0,-2048,
7,171,1963,
7,117,1909,
1,28,284,
253,95,-673,
7,120,1912,
7,16,1808,
6,194,1730,
6,129,1665,
254,47,-465,
248,0,-2048,
2,125,637,
7,68,1860,
2,235,747,
254,42,-470,
3,213,981,
6,227,1763,
6,145,1681,
6,75,1611,
4,246,1270,
248,0,-2048,
248,0,-2048,
7,64,1856,
1,137,393,
248,0,-2048,
248,0,-2048,
7,176,1968,
7,70,1862,
6,246,1782,
6,185,1721,
248,0,-2048,
248,0,-2048,
7,221,2013,
6,124,1660,
253,110,-658,
251,163,-1117,
7,176,1968,
7,71,1863,
6,248,1784,
6,184,1720,
249,164,-1628,
248,0,-2048,
5,36,1316,
7,122,1914,
254,94,-418,
249,53,-1739,
6,176,1712,
7,91,1883,
7,6,1798,
6,193,1729,
2,192,704,
248,0,-2048,
251,106,-1174,
7,147,1939,
0,220,220,
250,15,-1521,
0,205,205,
7,122,1914,
7,32,1824,
6,213,1749,
6,151,1687,
248,0,-2048,
248,0,-2048,
7,151,1943,
5,235,1515,
253,86,-682,
249,166,-1626,
7,129,1921,
7,25,1817,
6,204,1740,
6,141,1677,
248,0,-2048,
248,0,-2048,
7,140,1932,
7,51,1843,
253,253,-515,
248,0,-2048,
7,0,1792,
7,58,1850,
6,232,1768,
6,163,1699,
255,205,-51,
248,0,-2048,
2,150,662,
7,83,1875,
0,90,90,
248,120,-1928,
0,124,124,
7,87,1879,
6,252,1788,
6,180,1716,
5,184,1464,
248,0,-2048,
248,31,-2017,
7,124,1916,
3,192,960,
249,138,-1654,
248,122,-1926,
7,170,1962,
7,69,1861,
6,246,1782,
6,185,1721,
248,0,-2048,
248,0,-2048,
7,181,1973,
7,2,1794,
253,168,-600,
248,0,-2048,
7,184,1976,
7,76,1868,
6,251,1787,
6,184,1720,
251,69,-1211,
248,0,-2048,
6,88,1624,
7,97,1889,
253,243,-525,
248,0,-2048,
4,5,1029,
7,137,1929,
7,49,1841,
6,231,1767,
4,74,1098,
248,0,-2048,
253,220,-548,
7,138,1930,
1,74,330,
248,0,-2048,
249,27,-1765,
7,227,2019,
7,124,1916,
7,45,1837,
6,240,1776,
248,0,-2048,
248,0,-2048,
7,217,2009,
6,156,1692,
253,99,-669,
248,0,-2048,
7,248,2040,
7,140,1932,
7,57,1849,
6,245,1781,
248,0,-2048,
248,0,-2048,
7,124,1916,
7,162,1954,
254,83,-429,
248,0,-2048,
6,135,1671,
7,164,1956,
7,76,1868,
7,5,1797,
255,108,-148,
248,0,-2048,
255,171,-85,
7,195,1987,
1,114,370,
251,238,-1042,
3,244,1012,
7,122,1914,
7,36,1828,
6,217,1753,
6,5,1541,
248,0,-2048,
248,0,-2048,
7,165,1957,
3,231,999,
250,90,-1446,
249,235,-1557,
7,181,1973,
7,80,1872,
7,2,1794,
6,196,1732,
248,0,-2048,
248,0,-2048,
7,208,2000,
7,52,1844,
255,151,-105,
249,44,-1748,
7,102,1894,
7,75,1867,
6,248,1784,
6,181,1717,
249,182,-1610,
248,0,-2048,
1,116,372,
7,146,1938,
251,220,-1060,
248,0,-2048,
5,42,1322,
7,171,1963,
7,83,1875,
7,8,1800,
3,107,875,
248,0,-2048,
248,50,-1998,
7,232,2024,
0,133,133,
251,43,-1237,
255,180,-76,
7,203,1995,
7,107,1899,
7,32,1824,
6,224,1760,
248,0,-2048,
248,0,-2048,
7,255,2047,
5,36,1316,
250,255,-1281,
250,244,-1292,
7,244,2036,
7,138,1930,
7,58,1850,
6,247,1783,
248,0,-2048,
248,0,-2048,
6,242,1778,
7,155,1947,
253,71,-697,
248,27,-2021,
7,120,1912,
7,156,1948,
7,70,1862,
6,253,1789,
0,99,99,
248,0,-2048,
254,158,-354,
7,189,1981,
0,243,243,
251,213,-1067,
4,66,1090,
7,122,1914,
7,35,1827,
6,218,1754,
6,76,1612,
248,0,-2048,
248,0,-2048,
7,162,1954,
3,201,969,
249,155,-1637,
249,255,-1537,
7,185,1977,
7,84,1876,
7,5,1797,
6,198,1734,
248,0,-2048,
248,0,-2048,
7,201,1993,
7,65,1857,
254,84,-428,
248,37,-2011,
7,182,1974,
7,76,1868,
6,249,1785,
6,182,1718,
252,146,-878,
248,0,-2048,
4,133,1157,
7,107,1899,
254,148,-364,
248,0,-2048,
3,232,1000,
7,108,1900,
7,22,1814,
6,204,1740,
4,202,1226,
248,0,-2048,
250,212,-1324,
7,138,1930,
2,72,584,
249,41,-1751,
251,73,-1207,
7,165,1957,
7,67,1859,
6,246,1782,
6,186,1722,
248,0,-2048,
248,0,-2048,
7,192,1984,
6,82,1618,
251,158,-1122,
248,0,-2048,
7,217,2009,
7,107,1899,
7,26,1818,
6,214,1750,
248,150,-1898,
248,0,-2048,
7,129,1921,
7,118,1910,
255,3,-253,
248,0,-2048,
6,217,1753,
7,96,1888,
7,9,1801,
6,195,1731,
2,25,537,
248,0,-2048,
0,180,180,
7,105,1897,
1,240,496,
250,108,-1428,
0,64,64,
7,77,1869,
6,245,1781,
6,171,1707,
6,80,1616,
248,0,-2048,
248,0,-2048,
7,112,1904,
4,73,1097,
248,77,-1971,
248,0,-2048,
7,221,2013,
7,114,1906,
7,32,1824,
6,224,1760,
248,0,-2048,
248,0,-2048,
7,219,2011,
7,88,1880,
252,212,-812,
248,0,-2048,
7,131,1923,
7,151,1943,
7,66,1858,
6,249,1785,
253,194,-574,
248,0,-2048,
4,128,1152,
7,154,1946,
255,83,-173,
248,0,-2048,
1,108,364,
7,185,1977,
7,92,1884,
7,18,1810,
5,162,1442,
248,0,-2048,
251,188,-1092,
7,176,1968,
3,193,961,
249,19,-1773,
248,0,-2048,
7,241,2033,
7,135,1927,
7,54,1846,
6,248,1784,
248,0,-2048,
248,0,-2048,
7,235,2027,
6,234,1770,
253,15,-753,
248,0,-2048,
7,246,2038,
7,136,1928,
7,52,1844,
6,240,1776,
249,168,-1624,
248,0,-2048,
7,125,1917,
7,133,1925,
254,52,-460,
248,0,-2048,
4,39,1063,
7,173,1965,
7,84,1876,
7,9,1801,
3,113,881,
248,0,-2048,
1,21,277,
7,149,1941,
1,139,395,
248,0,-2048,
251,100,-1180,
7,204,1996,
7,106,1898,
7,28,1820,
6,218,1754,
248,0,-2048,
249,87,-1705,
7,155,1947,
6,86,1622,
251,47,-1233,
248,0,-2048,
7,248,2040,
7,138,1930,
7,55,1847,
6,244,1780,
248,0,-2048,
248,0,-2048,
7,186,1978,
7,97,1889,
254,213,-299,
248,0,-2048,
4,198,1222,
7,156,1948,
7,69,1861,
6,250,1786,
0,84,84,
248,0,-2048,
6,194,1730,
7,101,1893,
1,76,332,
248,0,-2048,
251,79,-1201,
7,196,1988,
7,100,1892,
7,24,1816,
6,37,1573,
248,0,-2048,
253,72,-696,
7,149,1941,
4,104,1128,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,202,1994,
7,120,1912,
7,55,1847,
248,0,-2048,
248,0,-2048,
7,250,2042,
7,120,1912,
253,74,-694,
248,0,-2048,
7,9,1801,
7,230,2022,
7,144,1936,
7,70,1862,
251,157,-1123,
248,0,-2048,
7,245,2037,
7,177,1969,
255,44,-212,
248,0,-2048,
253,243,-525,
7,255,2047,
7,194,1986,
7,116,1908,
4,162,1186,
248,0,-2048,
2,244,756,
7,208,2000,
4,147,1171,
248,82,-1966,
248,0,-2048,
7,255,2047,
7,184,1976,
7,102,1894,
7,37,1829,
248,0,-2048,
249,37,-1755,
7,214,2006,
6,230,1766,
251,170,-1110,
248,0,-2048,
7,255,2047,
7,213,2005,
7,128,1920,
7,58,1850,
248,0,-2048,
248,0,-2048,
7,245,2037,
7,153,1945,
254,134,-378,
248,0,-2048,
1,7,263,
7,255,2047,
7,166,1958,
7,90,1882,
0,204,204,
248,0,-2048,
6,93,1629,
7,188,1980,
3,18,786,
248,0,-2048,
248,237,-1811,
7,255,2047,
7,170,1962,
7,91,1883,
6,124,1660,
248,0,-2048,
251,93,-1187,
7,221,2013,
5,240,1520,
251,7,-1273,
248,0,-2048,
7,255,2047,
7,219,2011,
7,134,1926,
7,69,1861,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,161,1953,
254,3,-509,
248,0,-2048,
4,120,1144,
7,255,2047,
7,182,1974,
7,107,1899,
251,252,-1028,
248,0,-2048,
7,189,1981,
7,220,2012,
1,144,400,
248,0,-2048,
253,150,-618,
7,255,2047,
7,192,1984,
7,113,1905,
5,0,1280,
248,0,-2048,
1,247,503,
7,209,2001,
5,23,1303,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,209,2001,
7,124,1916,
7,60,1852,
248,0,-2048,
249,39,-1753,
7,225,2017,
7,68,1860,
253,36,-732,
248,0,-2048,
6,183,1719,
7,235,2027,
7,148,1940,
7,77,1869,
248,22,-2026,
248,0,-2048,
7,255,2047,
7,179,1971,
255,204,-52,
248,0,-2048,
0,104,104,
7,255,2047,
7,176,1968,
7,99,1891,
1,172,428,
248,0,-2048,
5,196,1476,
7,196,1988,
1,243,499,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,232,2024,
7,152,1944,
6,250,1786,
248,0,-2048,
252,29,-995,
7,255,2047,
6,1,1537,
248,211,-1837,
248,0,-2048,
7,255,2047,
7,255,2047,
7,199,1991,
7,131,1923,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,212,2004,
253,43,-725,
248,0,-2048,
5,216,1496,
7,255,2047,
7,217,2009,
7,144,1936,
253,137,-631,
248,0,-2048,
7,229,2021,
7,233,2025,
255,94,-162,
248,0,-2048,
251,138,-1142,
7,255,2047,
7,255,2047,
7,182,1974,
5,152,1432,
248,0,-2048,
0,90,90,
7,255,2047,
4,253,1277,
248,183,-1865,
248,0,-2048,
7,255,2047,
7,255,2047,
7,180,1972,
7,114,1906,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,114,1906,
252,173,-851,
248,0,-2048,
7,116,1908,
7,255,2047,
7,198,1990,
7,124,1916,
249,28,-1764,
248,0,-2048,
7,255,2047,
7,219,2011,
254,135,-377,
248,0,-2048,
0,4,4,
7,255,2047,
7,232,2024,
7,154,1946,
2,164,676,
248,0,-2048,
5,71,1351,
7,242,2034,
4,33,1057,
248,0,-2048,
248,125,-1923,
7,255,2047,
7,202,1994,
7,121,1913,
7,16,1808,
248,0,-2048,
251,119,-1161,
7,228,2020,
6,113,1649,
250,43,-1493,
248,0,-2048,
7,255,2047,
7,248,2040,
7,163,1955,
7,96,1888,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,187,1979,
253,91,-677,
248,0,-2048,
3,90,858,
7,255,2047,
7,209,2001,
7,133,1925,
254,76,-436,
248,0,-2048,
7,172,1964,
7,226,2018,
2,125,637,
248,0,-2048,
251,51,-1229,
7,255,2047,
7,204,1996,
7,124,1916,
5,215,1495,
248,0,-2048,
255,86,-170,
7,231,2023,
4,170,1194,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,254,2046,
7,171,1963,
7,106,1898,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,116,1908,
252,18,-1006,
248,0,-2048,
6,216,1752,
