First Byte, Second Byte, Brainwave Value, 33
6,23,1559,
248,152,-1896,
248,0,-2048,
7,4,1796,
6,170,1706,
4,16,1040,
248,0,-2048,
253,138,-630,
6,199,1735,
6,114,1650,
6,45,1581,
1,9,265,
248,0,-2048,
2,162,674,
6,221,1757,
5,83,1363,
252,217,-807,
248,0,-2048,
6,241,1777,
6,145,1681,
6,73,1609,
5,227,1507,
248,0,-2048,
248,0,-2048,
7,23,1815,
6,170,1706,
0,233,233,
248,0,-2048,
3,226,994,
7,2,1794,
6,173,1709,
6,113,1649,
248,0,-2048,
248,0,-2048,
7,132,1924,
7,81,1873,
255,202,-54,
248,0,-2048,
5,166,1446,
7,65,1857,
6,233,1769,
6,166,1702,
252,95,-929,
248,0,-2048,
1,160,416,
7,119,1911,
4,123,1147,
255,43,-213,
4,236,1260,
6,246,1782,
6,165,1701,
6,97,1633,
5,101,1381,
248,0,-2048,
250,190,-1346,
7,27,1819,
6,42,1578,
255,53,-203,
250,3,-1533,
6,242,1778,
6,147,1683,
6,74,1610,
6,20,1556,
248,0,-2048,
248,0,-2048,
7,4,1796,
6,179,1715,
4,55,1079,
249,136,-1656,
5,217,1497,
6,106,1642,
6,33,1569,
5,228,1508,
250,21,-1515,
248,0,-2048,
6,88,1624,
6,171,1707,
2,214,726,
250,56,-1480,
0,72,72,
6,151,1687,
6,69,1605,
6,3,1539,
2,205,717,
248,0,-2048,
252,202,-822,
6,225,1761,
4,170,1194,
251,133,-1147,
248,0,-2048,
7,10,1802,
6,168,1704,
6,96,1632,
6,36,1572,
248,0,-2048,
248,0,-2048,
7,69,1861,
6,227,1763,
2,18,530,
251,7,-1273,
6,248,1784,
6,148,1684,
6,74,1610,
6,17,1553,
248,0,-2048,
248,0,-2048,
6,210,1746,
6,244,1780,
3,163,931,
254,123,-389,
6,48,1584,
6,120,1656,
6,44,1580,
5,241,1521,
254,233,-279,
248,0,-2048,
254,134,-378,
6,230,1766,
5,141,1421,
2,232,744,
2,192,704,
6,72,1608,
5,251,1531,
5,192,1472,
5,49,1329,
248,0,-2048,
248,0,-2048,
6,203,1739,
6,22,1558,
1,69,325,
252,28,-996,
6,124,1660,
6,35,1571,
5,221,1501,
5,169,1449,
248,0,-2048,
248,0,-2048,
6,236,1772,
6,155,1691,
2,117,629,
252,173,-851,
6,141,1677,
6,49,1585,
5,234,1514,
5,177,1457,
252,107,-917,
248,0,-2048,
3,64,832,
6,153,1689,
4,109,1133,
255,143,-113,
2,249,761,
6,42,1578,
5,225,1505,
5,163,1443,
4,24,1048,
248,0,-2048,
248,111,-1937,
6,166,1702,
5,80,1360,
255,181,-75,
253,217,-551,
6,87,1623,
6,3,1539,
5,195,1475,
5,146,1426,
248,0,-2048,
248,0,-2048,
6,193,1729,
6,108,1644,
1,140,396,
251,188,-1092,
6,115,1651,
6,20,1556,
5,208,1488,
5,151,1431,
249,57,-1735,
248,0,-2048,
6,13,1549,
6,119,1655,
3,74,842,
253,79,-689,
5,32,1312,
6,25,1561,
5,210,1490,
5,150,1430,
2,122,634,
248,0,-2048,
253,221,-547,
6,121,1657,
4,194,1218,
253,79,-689,
249,242,-1550,
6,117,1653,
6,27,1563,
5,216,1496,
5,163,1443,
248,0,-2048,
248,0,-2048,
6,214,1750,
6,116,1652,
2,84,596,
252,5,-1019,
6,125,1661,
6,33,1569,
5,219,1499,
5,166,1446,
248,0,-2048,
248,0,-2048,
6,198,1734,
6,140,1676,
3,117,885,
253,139,-629,
6,51,1587,
6,27,1563,
5,214,1494,
5,155,1435,
255,179,-77,
248,0,-2048,
1,54,310,
6,124,1660,
4,216,1240,
1,44,300,
2,23,535,
6,2,1538,
5,183,1463,
5,122,1402,
4,244,1268,
248,0,-2048,
248,0,-2048,
6,131,1667,
5,203,1483,
0,25,25,
248,0,-2048,
5,199,1479,
6,74,1610,
6,1,1537,
5,201,1481,
248,0,-2048,
248,0,-2048,
6,224,1760,
6,203,1739,
254,155,-357,
252,43,-981,
6,245,1781,
6,154,1690,
6,81,1617,
6,19,1555,
250,67,-1469,
248,0,-2048,
255,205,-51,
7,28,1820,
3,112,880,
2,134,646,
6,188,1724,
6,97,1633,
6,26,1562,
5,224,1504,
4,131,1155,
248,0,-2048,
249,134,-1658,
6,201,1737,
4,241,1265,
253,123,-645,
252,66,-958,
6,164,1700,
6,74,1610,
6,6,1542,
5,211,1491,
248,0,-2048,
248,0,-2048,
6,247,1783,
6,160,1696,
1,114,370,
251,245,-1035,
6,167,1703,
