First Byte, Second Byte, Brainwave Value, 16
248,133,-1915,
248,212,-1836,
249,42,-1750,
249,86,-1706,
249,152,-1640,
250,120,-1416,
7,255,2047,
7,255,2047,
7,255,2047,
248,23,-2025,
248,106,-1942,
248,188,-1860,
2,192,704,
2,102,614,
249,133,-1659,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
250,21,-1515,
248,245,-1803,
248,29,-2019,
250,187,-1349,
7,255,2047,
7,255,2047,
7,255,2047,
248,255,-1793,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,245,2037,
248,0,-2048,
248,0,-2048,
252,118,-906,
7,255,2047,
6,77,1613,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
4,166,1190,
250,237,-1299,
7,11,1803,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,245,2037,
2,55,567,
248,0,-2048,
248,0,-2048,
7,152,1944,
7,255,2047,
7,138,1930,
7,255,2047,
7,43,1835,
7,166,1958,
7,92,1884,
4,216,1240,
248,0,-2048,
248,0,-2048,
2,160,672,
7,255,2047,
7,255,2047,
7,211,2003,
7,146,1938,
7,69,1861,
7,3,1795,
6,202,1738,
248,0,-2048,
248,0,-2048,
251,41,-1239,
7,255,2047,
7,211,2003,
7,133,1925,
7,70,1862,
7,1,1793,
6,186,1722,
6,131,1667,
248,174,-1874,
248,0,-2048,
248,0,-2048,
7,235,2027,
7,148,1940,
7,72,1864,
7,7,1799,
6,198,1734,
6,131,1667,
6,72,1608,
2,193,705,
248,0,-2048,
248,0,-2048,
3,155,923,
6,243,1779,
248,0,-2048,
1,178,434,
6,37,1573,
7,128,1920,
7,40,1832,
3,26,794,
248,0,-2048,
248,0,-2048,
253,4,-764,
7,255,2047,
3,240,1008,
6,224,1760,
6,182,1718,
7,150,1942,
7,67,1859,
6,119,1655,
248,0,-2048,
248,0,-2048,
250,50,-1486,
7,255,2047,
7,255,2047,
7,218,2010,
7,152,1944,
7,77,1869,
7,7,1799,
6,208,1744,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,237,2029,
7,161,1953,
7,92,1884,
7,22,1814,
6,212,1748,
6,150,1686,
255,104,-152,
248,0,-2048,
248,0,-2048,
248,254,-1794,
250,105,-1431,
248,0,-2048,
248,189,-1859,
0,250,250,
7,255,2047,
7,255,2047,
1,172,428,
248,0,-2048,
248,0,-2048,
252,202,-822,
7,255,2047,
254,190,-322,
1,202,458,
7,92,1884,
7,255,2047,
7,255,2047,
6,93,1629,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
2,203,715,
255,253,-3,
7,241,2033,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,245,2037,
249,79,-1713,
248,0,-2048,
248,0,-2048,
2,216,728,
7,255,2047,
0,29,29,
7,255,2047,
7,255,2047,
7,255,2047,
7,231,2023,
0,181,181,
248,0,-2048,
248,0,-2048,
6,129,1665,
7,255,2047,
7,255,2047,
7,255,2047,
7,244,2036,
7,166,1958,
7,92,1884,
7,33,1825,
248,0,-2048,
248,0,-2048,
252,216,-808,
7,255,2047,
7,255,2047,
7,198,1990,
7,129,1921,
7,60,1852,
6,245,1781,
6,189,1725,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,216,2008,
7,140,1932,
7,74,1866,
7,7,1799,
6,193,1729,
6,133,1669,
255,37,-219,
248,0,-2048,
248,0,-2048,
7,240,2032,
7,150,1942,
7,75,1867,
7,5,1797,
6,164,1700,
6,131,1667,
6,71,1607,
2,177,689,
248,0,-2048,
248,0,-2048,
5,80,1360,
7,163,1955,
7,87,1879,
7,11,1803,
6,202,1738,
6,136,1672,
6,75,1611,
5,228,1508,
248,0,-2048,
248,0,-2048,
252,255,-769,
7,181,1973,
7,103,1895,
7,27,1819,
6,219,1755,
6,152,1688,
6,89,1625,
6,40,1576,
248,0,-2048,
248,0,-2048,
248,0,-2048,
5,57,1337,
254,184,-328,
248,0,-2048,
0,246,246,
7,255,2047,
7,255,2047,
7,198,1990,
248,0,-2048,
248,0,-2048,
248,0,-2048,
5,3,1283,
7,255,2047,
251,105,-1175,
6,180,1716,
7,255,2047,
7,255,2047,
7,255,2047,
252,101,-923,
248,0,-2048,
248,0,-2048,
250,22,-1514,
5,152,1432,
248,0,-2048,
248,43,-2005,
2,64,576,
7,255,2047,
7,255,2047,
3,203,971,
248,0,-2048,
248,0,-2048,
248,0,-2048,
255,174,-82,
248,0,-2048,
248,0,-2048,
2,43,555,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
5,86,1366,
3,199,967,
250,93,-1443,
7,213,2005,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
5,81,1361,
7,255,2047,
252,182,-842,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
252,95,-929,
248,0,-2048,
248,0,-2048,
249,6,-1786,
1,26,282,
248,0,-2048,
249,185,-1607,
7,255,2047,
7,255,2047,
7,255,2047,
3,53,821,
248,0,-2048,
248,0,-2048,
251,10,-1270,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
6,192,1728,
0,66,66,
248,0,-2048,
5,226,1506,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
254,146,-366,
4,40,1064,
249,138,-1654,
7,53,1845,
7,255,2047,
7,255,2047,
7,255,2047,
250,180,-1356,
248,0,-2048,
248,0,-2048,
248,255,-1793,
253,217,-551,
248,0,-2048,
248,0,-2048,
3,167,935,
7,255,2047,
7,255,2047,
2,92,604,
248,0,-2048,
248,0,-2048,
248,0,-2048,
2,130,642,
248,0,-2048,
248,0,-2048,
3,180,948,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
3,121,889,
254,202,-310,
248,0,-2048,
5,227,1507,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
249,90,-1702,
248,0,-2048,
248,0,-2048,
249,252,-1540,
7,255,2047,
7,255,2047,
7,255,2047,
248,59,-1989,
248,0,-2048,
248,0,-2048,
250,210,-1326,
3,185,953,
248,0,-2048,
254,252,-260,
7,255,2047,
7,255,2047,
7,255,2047,
2,157,669,
248,0,-2048,
248,0,-2048,
248,0,-2048,
2,242,754,
248,0,-2048,
248,232,-1816,
3,25,793,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
0,163,163,
248,255,-1793,
248,0,-2048,
2,243,755,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
255,83,-173,
252,217,-807,
248,0,-2048,
253,86,-682,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
1,105,361,
7,255,2047,
249,12,-1780,
2,45,557,
7,255,2047,
7,255,2047,
7,255,2047,
0,176,176,
248,0,-2048,
248,0,-2048,
248,0,-2048,
1,89,345,
248,0,-2048,
248,0,-2048,
4,114,1138,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
3,212,980,
254,255,-257,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
252,140,-884,
248,0,-2048,
248,0,-2048,
249,199,-1593,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
249,171,-1621,
0,8,8,
248,0,-2048,
254,27,-485,
7,255,2047,
7,255,2047,
7,255,2047,
254,213,-299,
248,0,-2048,
248,0,-2048,
248,0,-2048,
0,130,130,
248,0,-2048,
248,230,-1818,
7,115,1907,
7,255,2047,
7,255,2047,
7,26,1818,
248,0,-2048,
248,0,-2048,
248,0,-2048,
5,227,1507,
254,183,-329,
252,3,-1021,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
0,203,203,
252,116,-908,
248,0,-2048,
253,219,-549,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
2,129,641,
7,255,2047,
251,164,-1116,
6,180,1716,
7,255,2047,
7,255,2047,
7,255,2047,
254,22,-490,
248,0,-2048,
248,0,-2048,
248,0,-2048,
0,150,150,
248,0,-2048,
248,38,-2010,
3,45,813,
7,255,2047,
7,255,2047,
6,166,1702,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,161,1953,
255,190,-66,
253,196,-572,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
1,211,467,
253,110,-658,
248,0,-2048,
0,87,87,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
253,164,-604,
255,95,-161,
248,0,-2048,
248,59,-1989,
7,255,2047,
7,255,2047,
7,255,2047,
251,36,-1244,
248,0,-2048,
248,0,-2048,
251,6,-1274,
7,255,2047,
248,94,-1954,
253,43,-725,
7,255,2047,
7,255,2047,
7,255,2047,
5,217,1497,
248,0,-2048,
248,0,-2048,
248,0,-2048,
4,151,1175,
249,207,-1585,
248,226,-1822,
4,134,1158,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
5,152,1432,
1,2,258,
248,0,-2048,
4,119,1143,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
249,154,-1638,
249,79,-1713,
248,0,-2048,
249,54,-1738,
7,255,2047,
7,255,2047,
7,255,2047,
250,186,-1350,
248,0,-2048,
248,0,-2048,
252,134,-890,
7,255,2047,
3,177,945,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
4,112,1136,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,117,-1931,
248,0,-2048,
248,0,-2048,
1,112,368,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
5,213,1493,
251,151,-1129,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
6,183,1719,
7,255,2047,
249,251,-1541,
6,144,1680,
7,255,2047,
7,255,2047,
7,255,2047,
250,103,-1433,
248,0,-2048,
248,0,-2048,
248,36,-2012,
253,230,-538,
248,0,-2048,
248,51,-1997,
6,88,1624,
7,255,2047,
7,255,2047,
3,27,795,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
250,44,-1492,
248,146,-1902,
6,220,1756,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
0,7,7,
249,10,-1782,
248,0,-2048,
1,173,429,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
254,52,-460,
254,163,-349,
248,0,-2048,
250,250,-1286,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
253,238,-530,
7,255,2047,
248,0,-2048,
255,125,-131,
7,255,2047,
7,255,2047,
7,255,2047,
2,71,583,
248,0,-2048,
248,0,-2048,
248,0,-2048,
5,244,1524,
248,46,-2002,
250,25,-1511,
7,139,1931,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
6,51,1587,
0,28,28,
248,68,-1980,
6,101,1637,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
254,234,-278,
252,90,-934,
248,0,-2048,
249,246,-1546,
7,255,2047,
