First Byte, Second Byte, Brainwave Value, 16
2,250,762,
248,0,-2048,
248,0,-2048,
248,0,-2048,
252,120,-904,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
254,89,-423,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
251,148,-1132,
7,255,2047,
7,255,2047,
251,195,-1085,
248,0,-2048,
249,72,-1720,
7,255,2047,
0,241,241,
248,0,-2048,
248,0,-2048,
248,87,-1961,
7,255,2047,
7,255,2047,
6,166,1702,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
251,170,-1110,
248,0,-2048,
248,0,-2048,
250,21,-1515,
7,255,2047,
6,151,1687,
248,0,-2048,
248,0,-2048,
254,189,-323,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,89,-1959,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
250,159,-1377,
7,255,2047,
251,146,-1134,
248,0,-2048,
248,0,-2048,
248,79,-1969,
250,27,-1509,
7,255,2047,
249,243,-1549,
248,87,-1961,
248,185,-1863,
7,148,1940,
5,217,1497,
248,99,-1949,
248,194,-1854,
249,22,-1770,
3,169,937,
7,255,2047,
7,255,2047,
248,0,-2048,
248,56,-1992,
5,44,1324,
7,255,2047,
248,0,-2048,
248,23,-2025,
248,111,-1937,
252,68,-956,
7,255,2047,
7,255,2047,
248,10,-2038,
248,0,-2048,
255,140,-116,
7,255,2047,
0,183,183,
248,0,-2048,
248,0,-2048,
249,105,-1687,
7,255,2047,
7,255,2047,
0,106,106,
248,0,-2048,
248,191,-1857,
7,255,2047,
7,105,1897,
248,0,-2048,
248,0,-2048,
252,37,-987,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
4,184,1208,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
3,156,924,
7,255,2047,
3,48,816,
248,0,-2048,
248,0,-2048,
251,9,-1271,
7,255,2047,
7,255,2047,
252,102,-922,
248,0,-2048,
250,156,-1380,
7,255,2047,
3,230,998,
248,0,-2048,
248,0,-2048,
248,205,-1843,
7,255,2047,
7,255,2047,
6,240,1776,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,196,1988,
248,0,-2048,
248,0,-2048,
1,210,466,
7,255,2047,
248,236,-1812,
248,0,-2048,
248,0,-2048,
248,101,-1947,
7,255,2047,
7,255,2047,
248,13,-2035,
248,0,-2048,
251,135,-1145,
7,255,2047,
3,17,785,
248,0,-2048,
248,0,-2048,
250,124,-1412,
7,255,2047,
7,255,2047,
5,128,1408,
248,0,-2048,
248,146,-1902,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,72,-1976,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
250,114,-1422,
248,0,-2048,
248,0,-2048,
3,83,851,
7,255,2047,
7,255,2047,
