First Byte, Second Byte, Brainwave Value, 30
7,132,1924,
252,61,-963,
248,141,-1907,
7,236,2028,
7,137,1929,
7,65,1857,
248,0,-2048,
248,0,-2048,
6,152,1688,
7,250,2042,
7,171,1963,
1,4,260,
248,0,-2048,
7,240,2032,
7,185,1977,
7,103,1895,
254,55,-457,
248,0,-2048,
252,221,-803,
7,255,2047,
7,214,2006,
6,18,1554,
248,0,-2048,
3,244,1012,
7,167,1959,
7,81,1873,
5,184,1464,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,208,2000,
6,247,1783,
249,199,-1593,
250,197,-1339,
7,203,1995,
7,106,1898,
7,39,1831,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,235,2027,
7,140,1932,
253,237,-531,
248,0,-2048,
7,255,2047,
7,227,2019,
7,147,1939,
248,196,-1852,
248,0,-2048,
0,234,234,
7,255,2047,
7,255,2047,
6,224,1760,
248,0,-2048,
255,173,-83,
7,255,2047,
7,168,1960,
1,240,496,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,11,1803,
251,104,-1176,
0,215,215,
7,209,2001,
7,116,1908,
7,4,1796,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,243,2035,
7,23,1815,
251,116,-1164,
248,148,-1900,
7,245,2037,
7,145,1937,
7,72,1864,
248,0,-2048,
248,0,-2048,
6,120,1656,
7,255,2047,
7,186,1978,
3,108,876,
251,68,-1212,
7,157,1949,
7,58,1850,
6,241,1777,
253,20,-748,
248,0,-2048,
253,117,-651,
7,204,1996,
7,126,1918,
5,113,1393,
248,0,-2048,
2,140,652,
7,119,1911,
7,33,1825,
5,23,1303,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,172,1964,
6,233,1769,
249,53,-1739,
248,0,-2048,
7,231,2023,
7,133,1925,
7,61,1853,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,251,2043,
7,165,1957,
0,171,171,
248,0,-2048,
7,255,2047,
7,157,1949,
7,81,1873,
248,0,-2048,
248,0,-2048,
2,39,551,
7,255,2047,
7,201,1993,
6,84,1620,
248,202,-1846,
7,75,1867,
7,100,1892,
7,21,1813,
1,39,295,
248,0,-2048,
248,228,-1820,
7,242,2034,
7,160,1952,
6,201,1737,
248,204,-1844,
248,0,-2048,
7,209,2001,
7,108,1900,
6,192,1728,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,237,2029,
7,131,1923,
255,171,-85,
253,45,-723,
7,145,1937,
7,52,1844,
6,241,1777,
248,0,-2048,
248,0,-2048,
7,9,1801,
7,193,1985,
7,118,1910,
3,242,1010,
249,31,-1761,
7,116,1908,
7,16,1808,
6,197,1733,
251,223,-1057,
248,0,-2048,
253,235,-533,
7,173,1965,
7,97,1889,
5,109,1389,
248,0,-2048,
4,176,1200,
7,56,1848,
6,229,1765,
4,118,1142,
248,0,-2048,
248,0,-2048,
7,213,2005,
7,128,1920,
6,67,1603,
249,37,-1755,
253,138,-630,
7,113,1905,
7,22,1814,
6,211,1747,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,161,1953,
7,67,1859,
255,245,-11,
248,164,-1884,
7,120,1912,
7,22,1814,
6,208,1744,
248,0,-2048,
248,0,-2048,
3,105,873,
7,171,1963,
7,99,1891,
5,185,1465,
249,72,-1720,
7,84,1876,
6,246,1782,
6,170,1706,
0,5,5,
248,0,-2048,
249,57,-1735,
7,162,1954,
7,83,1875,
5,242,1522,
248,40,-2008,
3,245,1013,
7,25,1817,
6,200,1736,
6,26,1562,
248,0,-2048,
248,0,-2048,
7,189,1981,
7,101,1893,
6,189,1725,
251,255,-1025,
0,241,241,
7,20,1812,
6,192,1728,
6,130,1666,
248,0,-2048,
248,0,-2048,
7,91,1883,
7,97,1889,
7,22,1814,
2,140,652,
248,0,-2048,
7,54,1846,
6,211,1747,
6,138,1674,
250,212,-1324,
248,0,-2048,
254,116,-396,
7,129,1921,
7,53,1845,
4,138,1162,
248,0,-2048,
5,168,1448,
7,25,1817,
6,200,1736,
3,200,968,
248,0,-2048,
248,0,-2048,
7,188,1980,
