First Byte, Second Byte, Brainwave Value, 12
248,0,-2048,
6,179,1715,
6,93,1629,
6,28,1564,
5,227,1507,
5,176,1456,
5,21,1301,
5,73,1353,
5,28,1308,
248,0,-2048,
248,0,-2048,
3,80,848,
6,131,1667,
6,59,1595,
6,0,1536,
5,199,1479,
5,136,1416,
5,96,1376,
5,44,1324,
251,40,-1240,
248,0,-2048,
253,135,-633,
6,107,1643,
6,36,1572,
5,231,1511,
5,176,1456,
5,130,1410,
5,74,1354,
5,22,1302,
2,73,585,
248,0,-2048,
248,0,-2048,
6,163,1699,
6,81,1617,
6,13,1549,
5,213,1493,
5,163,1443,
5,113,1393,
5,55,1335,
5,17,1297,
248,0,-2048,
248,0,-2048,
6,113,1649,
6,93,1629,
6,26,1562,
5,221,1501,
5,168,1448,
5,118,1398,
5,64,1344,
5,20,1300,
248,0,-2048,
248,0,-2048,
1,192,448,
6,99,1635,
6,27,1563,
5,224,1504,
5,168,1448,
5,123,1403,
5,67,1347,
5,17,1297,
0,234,234,
248,0,-2048,
248,0,-2048,
6,117,1653,
6,39,1575,
5,233,1513,
5,177,1457,
5,130,1410,
5,77,1357,
5,23,1303,
4,229,1253,
248,0,-2048,
248,0,-2048,
6,152,1688,
6,66,1602,
6,1,1537,
5,198,1478,
5,146,1426,
4,228,1252,
5,49,1329,
5,2,1282,
248,0,-2048,
248,0,-2048,
0,228,228,
6,99,1635,
6,27,1563,
5,225,1505,
5,169,1449,
5,122,1402,
5,68,1348,
5,18,1298,
254,106,-406,
248,0,-2048,
248,0,-2048,
6,131,1667,
6,54,1590,
5,248,1528,
5,189,1469,
5,144,1424,
5,89,1369,
5,36,1316,
4,153,1177,
248,0,-2048,
248,0,-2048,
6,125,1661,
6,44,1580,
5,235,1515,
5,180,1460,
5,129,1409,
5,82,1362,
5,24,1304,
4,242,1266,
248,0,-2048,
248,0,-2048,
5,103,1383,
6,60,1596,
5,250,1530,
5,193,1473,
5,137,1417,
5,71,1351,
5,39,1319,
4,246,1270,
252,25,-999,
248,0,-2048,
251,187,-1093,
6,70,1606,
6,0,1536,
5,195,1475,
5,139,1419,
5,97,1377,
5,10,1290,
5,1,1281,
2,0,512,
248,0,-2048,
248,0,-2048,
6,146,1682,
6,64,1600,
5,253,1533,
5,197,1477,
5,145,1425,
5,96,1376,
5,40,1320,
5,2,1282,
248,0,-2048,
248,0,-2048,
6,5,1541,
6,82,1618,
6,13,1549,
5,211,1491,
5,156,1436,
5,109,1389,
5,54,1334,
5,8,1288,
248,0,-2048,
248,0,-2048,
0,83,83,
6,90,1626,
6,20,1556,
5,216,1496,
5,161,1441,
5,114,1394,
5,58,1338,
5,9,1289,
2,20,532,
248,0,-2048,
248,0,-2048,
6,135,1671,
6,56,1592,
5,248,1528,
5,192,1472,
5,140,1420,
5,91,1371,
5,36,1316,
4,252,1276,
248,0,-2048,
248,0,-2048,
6,83,1619,
6,91,1627,
6,24,1560,
5,220,1500,
5,166,1446,
5,120,1400,
5,64,1344,
5,18,1298,
248,0,-2048,
248,0,-2048,
0,123,123,
6,97,1633,
6,25,1561,
5,221,1501,
5,166,1446,
5,119,1399,
5,67,1347,
5,16,1296,
255,206,-50,
248,0,-2048,
248,0,-2048,
6,131,1667,
6,53,1589,
5,245,1525,
5,187,1467,
5,139,1419,
5,87,1367,
5,34,1314,
4,241,1265,
248,0,-2048,
248,0,-2048,
6,164,1700,
6,91,1627,
6,25,1561,
5,220,1500,
5,168,1448,
5,119,1399,
5,64,1344,
5,19,1299,
248,0,-2048,
248,0,-2048,
1,187,443,
6,104,1640,
6,34,1570,
5,229,1509,
5,172,1452,
5,128,1408,
5,70,1350,
5,22,1302,
253,108,-660,
248,0,-2048,
248,74,-1974,
6,119,1655,
6,44,1580,
5,236,1516,
5,181,1461,
5,134,1414,
5,83,1363,
5,28,1308,
4,19,1043,
248,0,-2048,
248,0,-2048,
6,173,1709,
6,88,1624,
6,22,1558,
5,219,1499,
5,167,1447,
5,35,1315,
5,66,1346,
5,22,1302,
248,0,-2048,
248,0,-2048,
0,38,38,
6,162,1698,
6,89,1625,
6,26,1562,
5,226,1506,
5,178,1458,
5,118,1398,
5,70,1350,
250,168,-1368,
248,0,-2048,
251,150,-1130,
6,149,1685,
6,74,1610,
6,10,1546,
5,210,1490,
5,165,1445,
5,113,1393,
5,61,1341,
0,212,212,
248,0,-2048,
248,0,-2048,
6,217,1753,
6,132,1668,
6,65,1601,
6,4,1540,
5,209,1489,
5,155,1435,
5,99,1379,
5,57,1337,
248,0,-2048,
248,0,-2048,
6,100,1636,
6,130,1666,
6,61,1597,
6,1,1537,
5,200,1480,
5,151,1431,
5,96,1376,
5,48,1328,
248,0,-2048,
248,0,-2048,
251,178,-1102,
6,150,1686,
6,76,1612,
6,12,1548,
5,212,1492,
5,166,1446,
5,114,1394,
5,56,1336,
1,73,329,
248,0,-2048,
248,0,-2048,
6,212,1748,
6,128,1664,
6,60,1596,
6,1,1537,
5,203,1483,
5,150,1430,
5,93,1373,
5,54,1334,
248,0,-2048,
248,0,-2048,
6,192,1728,
6,122,1658,
6,55,1591,
5,249,1529,
5,195,1475,
5,147,1427,
5,88,1368,
5,41,1321,
248,0,-2048,
248,0,-2048,
253,23,-745,
6,139,1675,
6,67,1603,
6,5,1541,
5,203,1483,
5,160,1440,
5,101,1381,
5,49,1329,
255,185,-71,
248,0,-2048,
248,0,-2048,
6,140,1676,
6,65,1601,
6,1,1537,
5,199,1479,
5,152,1432,
5,101,1381,
5,43,1323,
4,214,1238,
248,0,-2048,
248,0,-2048,
6,146,1682,
6,61,1597,
5,252,1532,
5,195,1475,
5,144,1424,
5,97,1377,
5,39,1319,
4,252,1276,
248,0,-2048,
