First Byte, Second Byte, Brainwave Value, 7
250,135,-1401,
250,188,-1348,
250,239,-1297,
251,36,-1244,
5,171,1451,
7,255,2047,
5,67,1347,
249,189,-1603,
250,7,-1529,
250,71,-1465,
250,130,-1406,
250,183,-1353,
250,235,-1301,
251,28,-1252,
0,60,60,
7,255,2047,
7,255,2047,
249,137,-1655,
249,212,-1580,
250,24,-1512,
250,85,-1451,
250,139,-1397,
250,194,-1342,
250,246,-1290,
253,197,-571,
7,255,2047,
7,255,2047,
249,183,-1609,
249,116,-1676,
249,187,-1605,
249,252,-1540,
250,56,-1480,
250,111,-1425,
250,169,-1367,
252,31,-993,
7,255,2047,
7,255,2047,
1,235,491,
249,5,-1787,
249,83,-1709,
249,152,-1640,
249,216,-1576,
250,21,-1515,
250,77,-1459,
250,135,-1401,
7,192,1984,
7,255,2047,
7,255,2047,
249,2,-1790,
249,79,-1713,
249,153,-1639,
249,216,-1576,
250,21,-1515,
250,77,-1459,
250,133,-1403,
251,28,-1252,
7,255,2047,
7,255,2047,
249,59,-1733,
249,137,-1655,
249,211,-1581,
250,15,-1521,
250,73,-1463,
250,127,-1409,
250,184,-1352,
251,235,-1045,
7,255,2047,
7,255,2047,
251,67,-1213,
249,71,-1721,
249,147,-1645,
249,213,-1579,
250,19,-1517,
250,75,-1461,
250,132,-1404,
250,186,-1350,
7,255,2047,
7,255,2047,
2,250,762,
249,88,-1704,
249,165,-1627,
249,233,-1559,
250,36,-1500,
250,93,-1443,
250,150,-1386,
250,203,-1333,
7,213,2005,
7,255,2047,
7,255,2047,
249,26,-1766,
249,105,-1687,
249,178,-1614,
249,239,-1553,
250,43,-1493,
250,101,-1435,
250,155,-1381,
251,254,-1026,
7,255,2047,
7,255,2047,
249,25,-1767,
249,102,-1690,
249,174,-1618,
249,239,-1553,
250,42,-1494,
250,101,-1435,
250,159,-1377,
4,33,1057,
7,255,2047,
7,255,2047,
254,215,-297,
248,197,-1851,
249,21,-1771,
249,92,-1700,
249,155,-1637,
249,218,-1574,
250,27,-1509,
0,118,118,
7,255,2047,
7,255,2047,
7,255,2047,
248,60,-1988,
248,143,-1905,
248,222,-1826,
249,35,-1757,
249,100,-1692,
249,167,-1625,
252,2,-1022,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,79,-1969,
248,159,-1889,
248,234,-1814,
249,46,-1746,
249,111,-1681,
249,175,-1617,
249,239,-1553,
7,255,2047,
7,255,2047,
248,174,-1874,
248,247,-1801,
249,68,-1724,
249,137,-1655,
249,199,-1593,
250,5,-1531,
250,66,-1470,
252,222,-802,
7,255,2047,
7,255,2047,
1,37,293,
248,173,-1875,
248,253,-1795,
249,72,-1720,
249,137,-1655,
249,200,-1592,
250,5,-1531,
250,63,-1473,
7,195,1987,
7,255,2047,
7,255,2047,
248,206,-1842,
249,31,-1761,
249,106,-1686,
249,170,-1622,
249,232,-1560,
250,36,-1500,
250,92,-1444,
252,185,-839,
7,255,2047,
7,255,2047,
248,250,-1798,
249,74,-1718,
249,147,-1645,
249,213,-1579,
250,15,-1521,
250,74,-1462,
250,131,-1405,
250,189,-1347,
7,255,2047,
7,255,2047,
249,189,-1603,
249,100,-1692,
249,172,-1620,
249,239,-1553,
250,42,-1494,
250,100,-1436,
250,155,-1381,
250,211,-1325,
7,255,2047,
7,255,2047,
3,115,883,
249,42,-1750,
249,119,-1673,
249,189,-1603,
249,250,-1542,
250,54,-1482,
250,110,-1426,
250,168,-1368,
7,255,2047,
7,255,2047,
7,255,2047,
248,214,-1834,
249,39,-1753,
249,114,-1678,
249,179,-1613,
249,238,-1554,
250,43,-1493,
250,118,-1418,
7,255,2047,
7,255,2047,
7,255,2047,
248,110,-1938,
248,181,-1867,
249,5,-1787,
249,74,-1718,
249,137,-1655,
249,201,-1591,
250,8,-1528,
252,167,-857,
7,255,2047,
7,255,2047,
253,29,-739,
248,164,-1884,
248,244,-1804,
249,61,-1731,
249,125,-1667,
249,189,-1603,
1,49,305,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,45,-2003,
