First Byte, Second Byte, Brainwave Value, 10
248,0,-2048,
248,0,-2048,
248,5,-2043,
248,85,-1963,
2,199,711,
7,255,2047,
7,255,2047,
7,255,2047,
249,239,-1553,
3,117,885,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
249,143,-1649,
7,255,2047,
7,255,2047,
7,255,2047,
251,231,-1049,
5,219,1499,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
253,6,-762,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
2,1,513,
7,255,2047,
7,255,2047,
6,164,1700,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,2,-2046,
248,76,-1972,
1,244,500,
7,255,2047,
7,255,2047,
7,255,2047,
248,156,-1892,
250,90,-1446,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,25,-2023,
250,103,-1433,
7,255,2047,
7,255,2047,
7,255,2047,
251,213,-1067,
3,133,901,
249,199,-1593,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,106,-1942,
7,255,2047,
7,255,2047,
7,255,2047,
0,55,55,
248,44,-2004,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
4,25,1049,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,36,-2012,
254,195,-317,
7,255,2047,
7,255,2047,
7,255,2047,
250,221,-1315,
5,147,1427,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
252,43,-981,
7,255,2047,
7,255,2047,
7,255,2047,
252,132,-892,
250,248,-1288,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
3,51,819,
251,5,-1275,
250,194,-1342,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
0,215,215,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
249,14,-1778,
7,255,2047,
7,255,2047,
7,255,2047,
1,52,308,
7,255,2047,
3,243,1011,
248,0,-2048,
248,0,-2048,
248,0,-2048,
252,45,-979,
7,255,2047,
7,255,2047,
7,255,2047,
5,177,1457,
249,249,-1543,
248,117,-1931,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
253,251,-517,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,55,-1993,
7,255,2047,
7,255,2047,
7,255,2047,
253,50,-718,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,29,-2019,
7,255,2047,
7,255,2047,
7,255,2047,
7,87,1879,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
252,20,-1004,
6,71,1607,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
6,107,1643,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
254,25,-487,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,19,-2029,
7,255,2047,
7,255,2047,
7,255,2047,
7,252,2044,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,40,-2008,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
253,135,-633,
7,182,1974,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
250,56,-1480,
249,250,-1542,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
249,10,-1782,
7,255,2047,
7,255,2047,
7,255,2047,
255,26,-230,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
251,231,-1049,
4,121,1145,
