First Byte, Second Byte, Brainwave Value, 23
248,0,-2048,
7,234,2026,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,204,-820,
7,255,2047,
7,255,2047,
249,89,-1703,
248,0,-2048,
0,60,60,
7,255,2047,
7,255,2047,
2,151,663,
248,0,-2048,
250,184,-1352,
7,255,2047,
7,255,2047,
1,119,375,
248,0,-2048,
250,99,-1437,
7,255,2047,
7,255,2047,
7,255,2047,
252,220,-804,
1,23,279,
7,255,2047,
7,255,2047,
7,187,1979,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
254,153,-359,
250,5,-1531,
7,255,2047,
7,255,2047,
7,198,1990,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,248,2040,
6,28,1564,
253,194,-574,
7,186,1978,
7,85,1877,
7,9,1801,
253,61,-707,
248,0,-2048,
4,176,1200,
7,161,1953,
7,80,1872,
7,2,1794,
254,25,-487,
6,3,1539,
6,192,1728,
6,116,1652,
4,214,1238,
248,0,-2048,
248,149,-1899,
7,73,1865,
6,244,1780,
6,180,1716,
249,203,-1589,
249,38,-1754,
7,21,1813,
6,180,1716,
6,116,1652,
248,0,-2048,
248,0,-2048,
7,169,1961,
7,73,1865,
7,5,1797,
248,63,-1985,
248,0,-2048,
2,98,610,
7,193,1985,
7,109,1901,
248,0,-2048,
248,0,-2048,
2,141,653,
7,255,2047,
7,218,2010,
253,74,-694,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
0,53,53,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,240,496,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,75,1867,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,74,1866,
248,0,-2048,
248,0,-2048,
255,196,-60,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
2,44,556,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
249,251,-1541,
248,0,-2048,
250,39,-1497,
7,255,2047,
7,255,2047,
250,91,-1445,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,26,794,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,106,874,
248,0,-2048,
248,0,-2048,
4,87,1111,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
254,197,-315,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,20,20,
7,255,2047,
7,255,2047,
248,19,-2029,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
254,183,-329,
