First Byte, Second Byte, Brainwave Value, 9
4,28,1052,
3,244,1012,
3,204,972,
3,171,939,
3,136,904,
3,108,876,
248,0,-2048,
248,0,-2048,
4,212,1236,
4,139,1163,
4,89,1113,
4,44,1068,
4,5,1029,
3,225,993,
3,187,955,
3,154,922,
253,13,-755,
248,0,-2048,
2,199,711,
4,213,1237,
4,156,1180,
4,108,1132,
4,67,1091,
4,26,1050,
3,245,1013,
3,209,977,
3,146,914,
248,0,-2048,
254,8,-504,
4,199,1223,
4,139,1163,
4,91,1115,
4,50,1074,
4,9,1033,
3,228,996,
3,193,961,
3,165,933,
248,0,-2048,
248,0,-2048,
4,169,1193,
4,105,1129,
4,57,1081,
4,17,1041,
3,232,1000,
3,196,964,
3,162,930,
3,131,899,
248,0,-2048,
248,0,-2048,
4,199,1223,
4,128,1152,
4,75,1099,
4,34,1058,
3,249,1017,
3,212,980,
3,178,946,
3,145,913,
254,88,-424,
248,0,-2048,
4,64,1088,
4,162,1186,
4,106,1130,
4,59,1083,
4,20,1044,
3,236,1004,
3,201,969,
3,167,935,
3,88,856,
248,0,-2048,
250,170,-1366,
4,208,1232,
4,147,1171,
4,98,1122,
4,55,1079,
4,16,1040,
3,232,1000,
3,197,965,
3,169,937,
248,0,-2048,
248,0,-2048,
4,199,1223,
4,134,1158,
4,84,1108,
4,41,1065,
4,3,1027,
3,224,992,
3,185,953,
3,154,922,
248,0,-2048,
248,0,-2048,
5,37,1317,
4,225,1249,
4,168,1192,
4,121,1145,
4,77,1101,
4,39,1063,
4,1,1025,
3,219,987,
0,134,134,
248,0,-2048,
3,227,995,
4,212,1236,
4,154,1178,
4,107,1131,
4,66,1090,
4,25,1049,
3,244,1012,
3,209,977,
3,149,917,
248,0,-2048,
249,231,-1561,
4,243,1267,
4,181,1205,
4,132,1156,
4,86,1110,
4,45,1069,
4,8,1032,
3,227,995,
3,197,965,
248,0,-2048,
248,0,-2048,
4,252,1276,
4,184,1208,
4,133,1157,
4,88,1112,
4,48,1072,
4,8,1032,
3,228,996,
3,193,961,
250,148,-1388,
248,0,-2048,
5,5,1285,
4,185,1209,
4,131,1155,
4,85,1109,
4,43,1067,
4,4,1028,
3,224,992,
3,187,955,
0,130,130,
248,0,-2048,
2,40,552,
4,212,1236,
4,153,1177,
4,106,1130,
4,65,1089,
4,23,1047,
3,242,1010,
3,204,972,
3,169,937,
248,0,-2048,
248,0,-2048,
5,2,1282,
4,193,1217,
4,141,1165,
4,98,1122,
4,55,1079,
4,18,1042,
3,234,1002,
3,204,972,
248,0,-2048,
248,0,-2048,
4,246,1270,
4,177,1201,
4,123,1147,
4,81,1105,
4,39,1063,
4,2,1026,
3,218,986,
3,186,954,
248,40,-2008,
248,0,-2048,
5,19,1299,
4,233,1257,
4,179,1203,
4,131,1155,
4,87,1111,
4,48,1072,
4,8,1032,
3,228,996,
1,4,260,
248,0,-2048,
254,4,-508,
5,28,1308,
4,224,1248,
4,172,1196,
4,129,1153,
4,85,1109,
4,44,1068,
4,7,1031,
3,234,1002,
248,0,-2048,
249,92,-1700,
5,7,1287,
4,199,1223,
4,149,1173,
4,104,1128,
4,61,1085,
4,23,1047,
3,242,1010,
3,210,978,
248,0,-2048,
248,0,-2048,
5,55,1335,
4,234,1258,
4,180,1204,
4,132,1156,
4,89,1113,
4,49,1073,
4,9,1033,
3,229,997,
1,233,489,
248,0,-2048,
2,252,764,
4,213,1237,
4,154,1178,
4,106,1130,
4,65,1089,
4,23,1047,
3,242,1010,
3,205,973,
3,181,949,
248,0,-2048,
250,126,-1410,
4,187,1211,
4,128,1152,
4,76,1100,
4,35,1059,
3,251,1019,
3,214,982,
3,180,948,
3,150,918,
248,0,-2048,
248,0,-2048,
4,169,1193,
4,103,1127,
4,53,1077,
4,10,1034,
3,228,996,
3,193,961,
3,157,925,
3,125,893,
252,58,-966,
